鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),和興路26巷15弄1~30號,37.38,都市：其他:第三種住宅區。,,,1100208,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810624,110.0,3,2,2,有,無,19400000,176364,,0.0,0,其他增建；,RPSOMLOJLHGGFAA07DA,91.15,2.16,10.45,有,
文山區,房地(土地+建物),指南路三段91~120號,25.73,都市：其他:第三種住宅區。,,,1100120,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,113.19,3,1,2,有,有,18000000,159025,,0.0,0,,RPOQMLQKLHGGFAA17DA,65.23,4.35,7.63,有,
文山區,車位,指南路三段61~90號,0.0,,,,1100120,土地0建物1車位1,,,其他,,,,25.1,0,0,0,有,有,1650000,,坡道機械,25.1,1650000,僅車位交易；,RPPQMLQKLHGGFAA27DA,0.0,0.0,0.0,有,001
中正區,房地(土地+建物),愛國東路110巷1~30號,13.27,都市：其他:第三之一種住宅區(中正紀念堂特定專用區)及第三種住宅區及第三種住宅區(中正紀念堂特定專用區)。,,,1100116,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,0741022,75.6,0,0,0,無,無,23540000,311376,,0.0,0,,RPTPMLNLLHGGFAA37DA,50.72,0.0,0.0,無,
文山區,土地,政大段三小段241~270地號,159.5,都市：其他:第三種住宅區。,,,1100220,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67550000,423511,,0.0,0,,RPXPMLOLLHGGFAA87DA,0.0,0.0,0.0,無,002
文山區,土地,政大段三小段241~270地號,159.5,都市：其他:第三種住宅區。,,,1100220,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67550000,423511,,0.0,0,,RPOQMLOLLHGGFAA07DA,0.0,0.0,0.0,無,002
文山區,房地(土地+建物)+車位,忠順街一段31~60號,17.84,都市：其他:第三種住宅區。,,,1100306,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011106,99.34,2,2,1,有,有,16300000,164083,塔式車位,11.89,0,夾層；其他增建；,RPPPMLMLLHGGFAA86DA,51.18,6.65,5.34,有,004
文山區,房地(土地+建物),興隆路三段255巷1~30號,204.03,都市：其他:第二種住宅區。,,,1100223,土地4建物1車位0,全,二層,透天厝,見使用執照,鋼筋混凝土造,0700905,231.5,6,3,3,有,有,34550000,149244,,0.0,0,,RPVNMLKMLHGGFAA17DA,180.99,32.44,18.02,無,
大同區,房地(土地+建物)+車位,承德路三段122巷1~30號,34.78,都市：其他:第四種住宅區。,,,1100304,土地1建物1車位1,七層，見其他登記事項,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090824,197.91,3,2,2,有,有,34200000,172806,升降機械,1.48,0,,RPSOMLKMLHGGFBA07DA,95.02,8.3,10.27,有,
