編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPQMLQKLHGGFAA27DA,7,25.10,共有部分，本共有部分之項目有停車空間、防空避難室兼停車空間等２項,鋼筋混凝土造,103年5月13日,十一層,
RPSOMLOJLHGGFAA07DA,29,103.76,住家用,鋼筋混凝土造,81年6月24日,八層,四層
RPSOMLOJLHGGFAA07DA,29,6.24,共有部分,鋼筋混凝土造,81年6月24日,八層,
RPVNMLRJKHGGFCA67DA,,99.36,見其他登記事項,鋼筋混凝土造,109年4月24日,十五層,九層
RPVNMLRJKHGGFCA67DA,,71.98,見其他登記事項,鋼筋混凝土造,109年4月24日,十五層,
RPTPMLNLLHGGFAA37DA,35,12.44,共有部分,鋼筋混凝土造,74年10月22日,十二層,
RPTPMLNLLHGGFAA37DA,35,12.44,共有部分,鋼筋混凝土造,74年10月22日,十二層,
RPTPMLNLLHGGFAA37DA,35,25.36,店舖,鋼筋混凝土造,74年10月22日,十二層,一層
RPTPMLNLLHGGFAA37DA,35,25.36,店舖,鋼筋混凝土造,74年10月22日,十二層,一層
RPSOMLKMLHGGFBA07DA,1,113.59,住家用,鋼筋混凝土造,109年8月24日,七層,七層 見其他登記事項
RPSOMLKMLHGGFBA07DA,1,84.32,本共有部分之項目有門廳、樓梯、１０人份電梯供行動不便者使用電梯、機械停車昇降道兼無障礙停車位、無障礙下車區、梯廳、雨遮、無障礙樓梯、無障礙電梯（１０人）、電梯機房、水箱、防空避難室、電信機房及泵浦區等十四項。,鋼筋混凝土造,109年8月24日,七層,
RPOQMLQKLHGGFAA17DA,7,77.21,住家用,鋼筋混凝土造,103年5月13日,十一層,十一層
RPOQMLQKLHGGFAA17DA,7,16.17,共有部分，本共有部分之項目有機械房、機車停車空間、陽台、管委會使用空間、管理委員室、管理室、台電配電場所、發電機房、台電管道間、電信機房、消防機房、水箱（Ａ）、水箱（Ｂ）等１３項,鋼筋混凝土造,103年5月13日,十一層,
RPOQMLQKLHGGFAA17DA,7,19.81,共有部分，共有部分，本共有部分之項目有（甲、乙）梯、供行動不便者使用升降機、１１人份升降機、梯廳、Ｂ梯梯廳、丙梯、機房、消防水塔、水箱等９項,鋼筋混凝土造,103年5月13日,十一層,
RPVNMLKMLHGGFAA17DA,39,231.40,見使用執照,鋼筋混凝土造,70年9月5日,二層,一層 二層 屋頂突出物 水箱 停車場 地下一層
RPVNMLKMLHGGFAA17DA,24,.04,住家用,鋼筋混凝土造,86年4月18日,四層,一層
RPVNMLKMLHGGFAA17DA,24,.05,共有部分,鋼筋混凝土造,86年4月18日,四層,
RPVNMLKMLHGGFAA17DA,24,.01,共有部分,鋼筋混凝土造,86年4月18日,四層,
RPPPMLMLLHGGFAA86DA,8,31.59,住家用,鋼筋混凝土造,101年11月6日,九層,三層
RPPPMLMLLHGGFAA86DA,8,31.59,住家用,鋼筋混凝土造,101年11月6日,九層,三層
RPPPMLMLLHGGFAA86DA,8,9.58,見其他登記事項,鋼筋混凝土造,101年11月6日,九層,
RPPPMLMLLHGGFAA86DA,8,9.58,見其他登記事項,鋼筋混凝土造,101年11月6日,九層,
RPPPMLMLLHGGFAA86DA,8,2.56,見其他登記事項,鋼筋混凝土造,101年11月6日,九層,
RPPPMLMLLHGGFAA86DA,8,2.56,見其他登記事項,鋼筋混凝土造,101年11月6日,九層,
RPPPMLMLLHGGFAA86DA,8,5.94,見其他登記事項,鋼筋混凝土造,101年11月6日,九層,
RPPPMLMLLHGGFAA86DA,8,5.94,見其他登記事項,鋼筋混凝土造,101年11月6日,九層,
RPXRMLOLLHGGFCA28DA,40,85.54,住家用,鋼筋混凝土造,69年12月20日,四層,四層
RPXNMLPJLHGGFCA77DA,2,80.71,住家用,鋼筋混凝土造,107年12月19日,九層,七層
RPXNMLPJLHGGFCA77DA,2,70.15,見其他登記事項,鋼筋混凝土造,107年12月19日,九層,
RPQPMLOLKHGGFCA27DA,6,222.46,住家用,鋼筋混凝土造,103年8月27日,二十三層,四層
RPQPMLOLKHGGFCA27DA,6,58.71,本共有部分之項目計有電梯、緊急升降梯供行動不便者使用電梯、走道、門廳、梯廳、機車停車空間、陽台、消防機房、消防水箱、機械室、排煙室、梯廳、機電設備空間、水箱、汽車停車空間、車道、機電設備空間Ａ、機電設備空間（緊急發電室）、電表室、台電配電場所、梯廳（排煙室）、防災中心、甲梯安全梯、乙梯安全梯、機電設備空間Ｂ、機電設備空間Ｂ（電信機房）、蓄水池共計２７項,鋼筋混凝土造,103年8月27日,二十三層,
RPQPMLOLKHGGFCA27DA,6,25.44,本共有部分之項目計有甲１安全梯、甲２安全梯、停獎管理員室、梯廳、樓梯間、陽台、排煙室共計７項,鋼筋混凝土造,103年8月27日,二十三層,
RPQPMLOLKHGGFCA27DA,6,146.83,本共有部分之項目計有停車空間、車道、防空避難室兼汽車停車空間共計３項,鋼筋混凝土造,103年8月27日,二十三層,
RPXOMLKMLHGGFCA67DA,6,37.90,本共有部分項目有防空避難室兼停車空間、汽車坡道、停車空間等３項。,鋼骨造,103年12月29日,四十二層,
RPSNMLPLLHGGFCA47DA,45,9.68,共有部分,鋼筋混凝土造,65年6月23日,七層,
RPSNMLPLLHGGFCA47DA,45,124.14,住家用,鋼筋混凝土造,65年6月23日,七層,六層
RPTOMLKMLHGGFCA27DA,39,105.46,住家用,鋼筋混凝土造,70年10月21日,五層,三層
RPTPMLQLLHGGFCA87DA,31,106.91,住家用,鋼筋混凝土造,79年1月19日,五層,四層
RPORMLPLLHGGFCA47DA,18,83.61,住家用,鋼筋混凝土造,91年11月28日,八層,四層
RPORMLPLLHGGFCA47DA,18,38.88,共有部分,鋼筋混凝土造,91年11月28日,八層,
RPORMLPLLHGGFCA47DA,18,14.62,共有部分,鋼筋混凝土造,91年11月28日,八層,
RPPNMLKMLHGGFCA76DA,24,14.93,住家用,鋼筋混凝土造,85年9月4日,十二層,五層 電梯樓梯間
RPPNMLKMLHGGFCA76DA,24,27.72,住家用,鋼筋混凝土造,85年9月4日,十二層,五層 電梯樓梯間
RPPNMLKMLHGGFCA76DA,24,2.38,共有部分,鋼筋混凝土造,85年9月4日,十三層,
RPPNMLKMLHGGFCA76DA,24,4.43,共有部分,鋼筋混凝土造,85年9月4日,十三層,
RPRNMLTLLHGGFCA77DA,1,.09,一般零售業（甲組）,鋼筋混凝土造,108年11月11日,九層,一層
RPRNMLTLLHGGFCA77DA,1,32.15,住家用,鋼筋混凝土造,108年11月11日,九層,六層
