交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
車位,臺北市文山區指南路三段61~90號,1090220,土地0建物0車位1,,,其他,6,25.48,0,0,0,有,有,1600000,,1600000,001
車位,指南路三段61~90號,1090720,土地0建物1車位1,,,其他,6,36.12,0,0,0,無,有,1800000,,1800000,001
車位,指南路三段61~90號,1100120,土地0建物1車位1,,,其他,7,25.1,0,0,0,有,有,1650000,,1650000,001
土地,政大段三小段151~180地號,1071120,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,82200000,257680,0,002
土地,政大段三小段241~270地號,1100220,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,67550000,423511,0,002
土地,政大段三小段241~270地號,1100220,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,67550000,423511,0,002
房地(土地+建物),台北市文山區忠順街一段31~60號,1020506,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),0,87.45,2,2,1,有,有,15800000,180675,0,004
房地(土地+建物),臺北市文山區忠順街一段31~60號,1021006,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),1,87.45,2,2,1,有,有,15880000,181589,0,004
房地(土地+建物)+車位,忠順街一段31~60號,1100306,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),8,99.34,2,2,1,有,有,16300000,164083,0,004
房地(土地+建物)+車位,臺北市內湖區成功路四段91~120號,991225,土地2建物1車位4,四層,二十三層,住宅大樓(11層含以上有電梯),0,453.44,0,0,0,無,有,83880000,250098,7200000,005
房地(土地+建物)+車位,成功路四段91~120號,1100125,土地2建物1車位4,四層,二十三層,住宅大樓(11層含以上有電梯),6,453.44,4,2,3,有,有,85000000,187456,10000000,005
房地(土地+建物)+車位,臺北市內湖區行善路181巷31~60號,1080605,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),1,150.86,2,2,2,有,有,30850000,235196,1300000,006
房地(土地+建物)+車位,行善路181巷31~60號,1100305,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),2,150.86,2,2,2,有,有,33800000,224049,0,006
房地(土地+建物),台北市中山區松江路85巷1~30號,1010811,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),36,133.82,4,0,4,有,有,25500000,190561,0,007
房地(土地+建物),臺北市中山區松江路85巷1~30號,1040811,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),39,133.82,4,2,2,有,有,43500000,325064,0,007
房地(土地+建物),松江路85巷1~30號,1100311,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),45,133.82,4,2,2,有,有,42680000,318936,0,007
房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄31~60號,1050220,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),13,137.12,3,2,2,有,有,23000000,167736,0,008
房地(土地+建物)+車位,民權東路六段180巷42弄31~60號,1100220,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),18,137.12,3,2,2,有,有,21200000,154609,0,008
車位,臺北市中山區植福路286巷1~30號,1081019,土地0建物0車位6,,,其他,5,227.39,0,0,0,有,有,24000000,,0,009
車位,臺北市中山區植福路286巷1~30號,1090519,土地0建物0車位1,,,其他,5,37.9,0,0,0,有,有,3400000,,3400000,009
車位,植福路286巷1~30號,1090819,土地1建物1車位1,,,其他,6,37.9,0,0,0,有,有,3600000,,3600000,009
車位,植福路286巷1~30號,1100319,土地1建物1車位1,,,其他,6,37.9,0,0,0,有,有,3400000,,3400000,009
車位,植福路286巷1~30號,1100319,土地1建物1車位1,,,其他,6,37.9,0,0,0,有,有,3400000,,3400000,009
房地(土地+建物)+車位,臺北市內湖區成功路五段450巷22弄1~30號,1020902,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),15,111.72,3,2,1,有,有,19000000,170068,0,010
房地(土地+建物)+車位,臺北市內湖區成功路五段450巷22弄1~30號,1041102,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),17,111.72,1,2,1,有,有,25000000,223774,0,010
房地(土地+建物)+車位,成功路五段450巷22弄1~30號,1100302,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),22,111.72,3,2,1,有,有,19200000,171858,0,010
土地,中南段四小段241~270地號,1100226,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2000000,179051,0,011
土地,中南段四小段241~270地號,1100226,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,223814,0,011
房地(土地+建物)+車位,臺北市松山區三民路80巷1~30號,1030304,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),10,224.05,4,2,2,有,有,46880000,209239,0,013
房地(土地+建物),三民路80巷1~30號,1100304,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),16,224.05,4,2,2,有,有,47000000,209775,0,013
土地,中南段二小段1~30地號,1090309,土地6建物0車位0,,,其他,0,0.0,0,0,0,有,無,5500000,191304,0,014
土地,中南段二小段241~270地號,1100309,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1900000,198330,0,014
