編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXPMLOLLHGGFAA87DA,政大段三小段,48.00,都市：其他:第三種住宅區。,2,1,持分移轉
RPXPMLOLLHGGFAA87DA,政大段三小段,79.00,都市：其他:第三種住宅區。,2,1,持分移轉
RPXPMLOLLHGGFAA87DA,政大段三小段,32.50,都市：其他:第三種住宅區。,2,1,持分移轉
RPOQMLOLLHGGFAA07DA,政大段三小段,48.00,都市：其他:第三種住宅區。,2,1,持分移轉
RPOQMLOLLHGGFAA07DA,政大段三小段,79.00,都市：其他:第三種住宅區。,2,1,持分移轉
RPOQMLOLLHGGFAA07DA,政大段三小段,32.50,都市：其他:第三種住宅區。,2,1,持分移轉
RPSOMLOJLHGGFAA07DA,華興段四小段,37.38,都市：其他:第三種住宅區。,10000,295,持分移轉
RPVNMLRJKHGGFCA67DA,東湖段一小段,25.29,都市：其他:第三種住宅區。,100000,297,持分移轉
RPTPMLNLLHGGFAA37DA,南海段一小段,6.63,都市：其他:第三之一種住宅區(中正紀念堂特定專用區)及第三種住宅區及第三種住宅區(中正紀念堂特定專用區)。,87356,37,持分移轉
RPTPMLNLLHGGFAA37DA,南海段一小段,6.63,都市：其他:第三之一種住宅區(中正紀念堂特定專用區)及第三種住宅區及第三種住宅區(中正紀念堂特定專用區)。,87356,37,持分移轉
RPSOMLKMLHGGFBA07DA,大同段一小段,34.78,都市：其他:第四種住宅區。,10000,2070,持分移轉
RPOQMLQKLHGGFAA17DA,政大段二小段,25.73,都市：其他:第三種住宅區。,100000,860,持分移轉
RPVNMLKMLHGGFAA17DA,公訓段三小段,.03,都市：其他:第二種住宅區。,5460,1,持分移轉
RPVNMLKMLHGGFAA17DA,公訓段三小段,.00,都市：其他:第二種住宅區。,341250,10,持分移轉
RPVNMLKMLHGGFAA17DA,公訓段三小段,33.00,都市：其他:第二種住宅區。,1,1,全筆移轉
RPVNMLKMLHGGFAA17DA,公訓段三小段,171.00,都市：其他:第二種住宅區。,1,1,全筆移轉
RPPPMLMLLHGGFAA86DA,實踐段二小段,8.92,都市：其他:第三種住宅區。,20000,322,持分移轉
RPPPMLMLLHGGFAA86DA,實踐段二小段,8.92,都市：其他:第三種住宅區。,20000,322,持分移轉
RPXRMLOLLHGGFCA28DA,文德段二小段,34.72,都市：其他:第三種住宅區。,32,1,持分移轉
RPXRMLOLLHGGFCA28DA,文德段二小段,.16,都市：其他:道路用地(公共設施用地)。65/4/15,32,1,持分移轉
RPXNMLPJLHGGFCA77DA,潭美段五小段,34.21,都市：其他:住宅區。,100000,4985,持分移轉
