編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPQMLQKLHGGFAA27DA,坡道機械,1650000,25.10,地下二樓
RPVNMLRJKHGGFCA67DA,坡道平面,2500000,35.06,
RPSOMLKMLHGGFBA07DA,升降機械,0,1.48,
RPPPMLMLLHGGFAA86DA,塔式車位,0,11.89,
RPXNMLPJLHGGFCA77DA,其他,0,25.22,
RPQPMLOLKHGGFCA27DA,坡道平面,2500000,,
RPQPMLOLKHGGFCA27DA,坡道平面,2500000,,
RPQPMLOLKHGGFCA27DA,坡道平面,2500000,,
RPQPMLOLKHGGFCA27DA,坡道平面,2500000,,
RPXOMLKMLHGGFCA67DA,坡道平面,0,37.90,
RPORMLPLLHGGFCA47DA,坡道機械,0,,
RPRNMLTLLHGGFCA77DA,塔式車位,0,,
RPQPMLKMLHGGFCA07DA,坡道平面,1930000,,
RPVPMLKMLHGGFCA57DA,坡道機械,0,19.00,
RPWNMLKMLHGGFDA57DA,坡道平面,0,,
RPUNMLMKLHGGFEA47DA,坡道平面,2600000,38.17,
RPUNMLMKLHGGFEA47DA,坡道平面,2600000,38.17,
RPROMLPLLHGGFEA67DA,升降機械,0,17.97,
RPROMLPLLHGGFEA67DA,升降機械,0,17.97,
RPROMLPLLHGGFEA67DA,升降平面,0,35.39,
RPOOMLQLLHGGFEA47DA,坡道平面,0,,
RPOOMLQLLHGGFEA47DA,坡道平面,0,,
RPUNMLQKLHGGFFA97DA,坡道平面,0,,地下一樓
RPUNMLQKLHGGFFA97DA,坡道機械,0,,地下二樓
RPUNMLQKLHGGFFA97DA,坡道機械,0,,地下二樓
RPUNMLTLLHGGFFA38DA,升降機械,890000,,地下一樓
RPPOMLKMLHGGFAA76EA,坡道平面,2500000,35.58,
RPROMLKMLHGGFAA96EA,坡道平面,2500000,31.69,
RPROMLKMLHGGFAA96EA,坡道平面,2500000,31.69,
RPQOMLKMLHGGFAA86EA,坡道平面,2000000,27.17,
RPSPMLTLLHGGFCA18EA,塔式車位,0,,
RPOPMLKMLHGGFCA96EA,坡道平面,1800000,45.26,地下二樓
RPSQMLKMLHGGFCA47EA,坡道平面,0,,
RPOOMLTKLHGGFDA67EA,坡道平面,3000000,,地下二樓
RPSOMLOLLHGGFDA67EA,坡道平面,3200000,38.81,地下三樓
RPUNMLKMLHGGFEA57EA,坡道平面,0,,
RPROMLKMLHGGFEA37EA,坡道平面,2800000,30.70,
RPVNMLRKKHGGFEA08EA,坡道平面,2000000,45.49,地下二樓
RPVNMLRKKHGGFEA08EA,坡道平面,2000000,45.49,地下三樓
RPXNMLTLLHGGFFA78EA,升降機械,0,11.93,地下二樓
RPWPMLKMLHGGFFA08EA,升降機械,0,29.41,地下二樓
RPWPMLKMLHGGFFA08EA,升降機械,0,29.41,地下二樓
RPWPMLKMLHGGFFA08EA,升降機械,0,29.41,地下二樓
RPWPMLKMLHGGFFA08EA,升降機械,0,29.41,地下二樓
RPXPMLKMLHGGFFA18EA,升降平面,0,39.50,地下五樓含以下
RPROMLLMLHGGFFA57EA,升降平面,2450000,,地下二樓
RPPOMLOLLHGGFFA57EA,坡道平面,0,32.28,地下二樓
RPPOMLOLLHGGFFA57EA,坡道平面,0,32.28,地下五樓含以下
RPOPMLLMLHGGFEA27EA,坡道平面,2000000,38.89,
RPRPMLLMLHGGFEA57EA,坡道平面,2080000,36.22,地下二樓
RPRPMLLJMHGGFDA27EA,坡道平面,0,,
RPQNMLLJMHGGFDA96EA,升降機械,1500000,,
RPWNMLLMLHGGFCA67EA,坡道平面,2600000,,地下一樓
RPVOMLOLLHGGFDA97EA,坡道平面,2800000,,
RPPPMLLJMHGGFCA96EA,坡道平面,0,17.85,
RPTPMLKMLHGGFCA47EA,坡道平面,2500000,35.06,
RPSPMLLMLHGGFCA47EA,坡道平面,1600000,42.27,地下三樓
RPTNMLLMLHGGFAA17EA,坡道平面,0,,
RPQOMLLJMHGGFAA76EA,坡道平面,2300000,45.58,
RPQOMLLJMHGGFAA76EA,坡道平面,2200000,40.13,
RPOOMLTJLHGGFFA67DA,坡道平面,0,29.05,
RPOOMLTJLHGGFFA67DA,坡道平面,0,29.05,
RPPPMLKMLHGGFEA17DA,升降機械,2300000,26.08,
RPPPMLKMLHGGFEA17DA,一樓平面,0,3.26,
RPPOMLRKKHGGFAA17EA,坡道機械,1500000,25.25,
RPOPMLKMLHGGFEA07DA,一樓平面,0,3.26,
RPOPMLKMLHGGFEA07DA,升降機械,2300000,26.07,
RPQQMLTLLHGGFEA18DA,坡道平面,0,36.21,
RPQQMLTLLHGGFEA18DA,坡道平面,0,36.21,
RPSOMLLMLHGGFEA47DA,坡道平面,0,27.44,地下四樓
RPSOMLLMLHGGFEA47DA,坡道平面,0,27.44,地下四樓
RPSOMLLMLHGGFEA47DA,坡道平面,0,23.62,地下四樓
RPRNMLTLLHGGFEA97DA,坡道平面,0,29.97,
RPXNMLPLLHGGFEA18DA,塔式車位,0,,
RPTQMLPKLHGGFEA97DA,坡道平面,0,33.43,
RPUPMLPLLHGGFDA97DA,坡道平面,0,,
RPRNMLQLLHGGFDA57DA,坡道平面,0,33.58,地下二樓
RPRNMLQLLHGGFDA57DA,坡道平面,0,33.58,地下二樓
RPRNMLQLLHGGFDA57DA,坡道平面,0,33.58,地下三樓
RPRNMLQLLHGGFDA57DA,坡道平面,0,33.58,地下三樓
RPUQMLTKLHGGFDA38DA,坡道平面,0,,地下四樓
RPVOMLSJLHGGFDA08DA,坡道平面,0,34.72,
RPVOMLSJLHGGFDA08DA,坡道平面,0,34.72,
RPVOMLSJLHGGFDA08DA,坡道平面,0,34.72,
RPRRMLKMLHGGFCA37DA,坡道平面,0,,地下五樓含以下
RPVOMLLMLHGGFCA57DA,升降平面,0,39.55,
RPWOMLTLLHGGFCA38DA,升降機械,900000,5.08,地下二樓
RPUQMLQLLHGGFCA08DA,坡道機械,0,,
RPPNMLLMLHGGFBA76DA,坡道平面,2800000,35.94,
