鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),河堤段二小段301~330地號,3.5,商,,,1091126,土地2建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,42.39,1,1,1,有,無,10980000,259023,,0.0,0,,RPWNMLOJLHGGFAA37CB
大同區,房地(土地+建物),大同段二小段361~390地號,4.68,商,,,1060916,土地3建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,42.47,1,1,1,有,無,9000000,211914,,0.0,0,,RPTOMLPJLHGGFBA37CB
大同區,房地(土地+建物),大同段二小段361~390地號,4.68,商,,,1060916,土地3建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,42.47,1,1,1,有,無,9000000,211914,,0.0,0,,RPVOMLPJLHGGFBA57CB
大同區,房地(土地+建物),大同段二小段361~390地號,4.68,商,,,1060921,土地3建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,42.6,1,1,1,有,無,9080000,213146,,0.0,0,,RPWOMLPJLHGGFBA67CB
大同區,房地(土地+建物)+車位,大同段二小段361~390地號,4.73,商,,,1060920,土地3建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.07,1,1,1,有,無,10680000,215645,塔式車位,7.5,1500000,,RPXOMLPJLHGGFBA77CB
大同區,房地(土地+建物)+車位,大同段二小段361~390地號,11.87,商,,,1070107,土地3建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.36,3,1,1,有,無,22580000,196332,塔式車位,7.5,1600000,,RPOPMLPJLHGGFBA96CB
大同區,房地(土地+建物)+車位,大同段二小段361~390地號,11.87,商,,,1070309,土地3建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.36,3,1,1,有,無,22610000,196612,塔式車位,7.5,1600000,,RPPPMLPJLHGGFBA07CB
大同區,房地(土地+建物)+車位,大同段二小段361~390地號,11.87,商,,,1070319,土地3建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.36,3,1,1,有,無,22700000,196519,塔式車位,7.5,1700000,,RPQPMLPJLHGGFBA17CB
大同區,房地(土地+建物)+車位,大同段二小段361~390地號,11.87,商,,,1070208,土地3建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.36,3,1,1,有,無,22700000,197455,塔式車位,7.5,1600000,,RPRPMLPJLHGGFBA27CB
