編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLOJLHGGFAA37CB,河堤段二小段,.04,都市：住,100000,999,持分移轉
RPWNMLOJLHGGFAA37CB,河堤段二小段,3.46,都市：商,100000,999,持分移轉
RPOPMLPJLHGGFBA96CB,大同段二小段,6.28,都市：商,10000,231,持分移轉
RPOPMLPJLHGGFBA96CB,大同段二小段,5.14,都市：商,10000,231,持分移轉
RPOPMLPJLHGGFBA96CB,大同段二小段,.45,都市：住,10000,231,持分移轉
RPVOMLPJLHGGFBA57CB,大同段二小段,2.47,都市：商,10000,91,持分移轉
RPVOMLPJLHGGFBA57CB,大同段二小段,2.02,都市：商,10000,91,持分移轉
RPVOMLPJLHGGFBA57CB,大同段二小段,.18,都市：住,10000,91,持分移轉
RPTOMLPJLHGGFBA37CB,大同段二小段,2.47,都市：商,10000,91,持分移轉
RPTOMLPJLHGGFBA37CB,大同段二小段,2.02,都市：商,10000,91,持分移轉
RPTOMLPJLHGGFBA37CB,大同段二小段,.18,都市：住,10000,91,持分移轉
RPRPMLPJLHGGFBA27CB,大同段二小段,6.28,都市：商,10000,231,持分移轉
RPRPMLPJLHGGFBA27CB,大同段二小段,5.14,都市：商,10000,231,持分移轉
RPRPMLPJLHGGFBA27CB,大同段二小段,.45,都市：住,10000,231,持分移轉
RPPPMLPJLHGGFBA07CB,大同段二小段,6.28,都市：商,10000,231,持分移轉
RPPPMLPJLHGGFBA07CB,大同段二小段,5.14,都市：商,10000,231,持分移轉
RPPPMLPJLHGGFBA07CB,大同段二小段,.45,都市：住,10000,231,持分移轉
RPQPMLPJLHGGFBA17CB,大同段二小段,6.28,都市：商,10000,231,持分移轉
RPQPMLPJLHGGFBA17CB,大同段二小段,5.14,都市：商,10000,231,持分移轉
RPQPMLPJLHGGFBA17CB,大同段二小段,.45,都市：住,10000,231,持分移轉
RPSPMLPJLHGGFBA37CB,大同段二小段,2.37,都市：商,10000,87,持分移轉
RPSPMLPJLHGGFBA37CB,大同段二小段,1.94,都市：商,10000,87,持分移轉
RPSPMLPJLHGGFBA37CB,大同段二小段,.17,都市：住,10000,87,持分移轉
RPWOMLPJLHGGFBA67CB,大同段二小段,2.47,都市：商,10000,91,持分移轉
RPWOMLPJLHGGFBA67CB,大同段二小段,2.02,都市：商,10000,91,持分移轉
RPWOMLPJLHGGFBA67CB,大同段二小段,.18,都市：住,10000,91,持分移轉
RPXOMLPJLHGGFBA77CB,大同段二小段,2.50,都市：商,10000,92,持分移轉
RPXOMLPJLHGGFBA77CB,大同段二小段,2.05,都市：商,10000,92,持分移轉
RPXOMLPJLHGGFBA77CB,大同段二小段,.18,都市：住,10000,92,持分移轉
RPTPMLPJLHGGFBA47CB,大同段二小段,2.37,都市：商,10000,87,持分移轉
RPTPMLPJLHGGFBA47CB,大同段二小段,1.94,都市：商,10000,87,持分移轉
RPTPMLPJLHGGFBA47CB,大同段二小段,.17,都市：住,10000,87,持分移轉
RPUPMLPJLHGGFBA57CB,大同段二小段,2.37,都市：商,10000,87,持分移轉
RPUPMLPJLHGGFBA57CB,大同段二小段,1.94,都市：商,10000,87,持分移轉
RPUPMLPJLHGGFBA57CB,大同段二小段,.17,都市：住,10000,87,持分移轉
RPXPMLPJLHGGFBA87CB,大同段二小段,2.45,都市：商,10000,90,持分移轉
RPXPMLPJLHGGFBA87CB,大同段二小段,2.00,都市：商,10000,90,持分移轉
RPXPMLPJLHGGFBA87CB,大同段二小段,.18,都市：住,10000,90,持分移轉
RPWPMLPJLHGGFBA77CB,大同段二小段,5.30,都市：商,10000,195,持分移轉
RPWPMLPJLHGGFBA77CB,大同段二小段,4.34,都市：商,10000,195,持分移轉
RPWPMLPJLHGGFBA77CB,大同段二小段,.38,都市：住,10000,195,持分移轉
RPOQMLPJLHGGFBA07CB,大同段二小段,2.45,都市：商,10000,90,持分移轉
RPOQMLPJLHGGFBA07CB,大同段二小段,2.00,都市：商,10000,90,持分移轉
RPOQMLPJLHGGFBA07CB,大同段二小段,.18,都市：住,10000,90,持分移轉
RPPQMLPJLHGGFBA17CB,大同段二小段,2.45,都市：商,10000,90,持分移轉
RPPQMLPJLHGGFBA17CB,大同段二小段,2.00,都市：商,10000,90,持分移轉
RPPQMLPJLHGGFBA17CB,大同段二小段,.18,都市：住,10000,90,持分移轉
RPVPMLPJLHGGFBA67CB,大同段二小段,2.37,都市：商,10000,87,持分移轉
RPVPMLPJLHGGFBA67CB,大同段二小段,1.94,都市：商,10000,87,持分移轉
RPVPMLPJLHGGFBA67CB,大同段二小段,.17,都市：住,10000,87,持分移轉
RPQQMLPJLHGGFBA27CB,大同段二小段,2.45,都市：商,10000,90,持分移轉
RPRQMLPJLHGGFBA37CB,大同段二小段,2.47,都市：商,10000,91,持分移轉
RPQQMLPJLHGGFBA27CB,大同段二小段,2.00,都市：商,10000,90,持分移轉
RPRQMLPJLHGGFBA37CB,大同段二小段,2.02,都市：商,10000,91,持分移轉
RPQQMLPJLHGGFBA27CB,大同段二小段,.18,都市：住,10000,90,持分移轉
RPRQMLPJLHGGFBA37CB,大同段二小段,.18,都市：住,10000,91,持分移轉
RPSQMLPJLHGGFBA47CB,大同段二小段,3.81,都市：商,10000,140,持分移轉
RPSQMLPJLHGGFBA47CB,大同段二小段,3.12,都市：商,10000,140,持分移轉
RPSQMLPJLHGGFBA47CB,大同段二小段,.27,都市：住,10000,140,持分移轉
RPUQMLPJLHGGFBA67CB,大同段二小段,3.75,都市：商,10000,138,持分移轉
RPUQMLPJLHGGFBA67CB,大同段二小段,3.07,都市：商,10000,138,持分移轉
RPUQMLPJLHGGFBA67CB,大同段二小段,.27,都市：住,10000,138,持分移轉
RPVQMLPJLHGGFBA77CB,大同段二小段,3.75,都市：商,10000,138,持分移轉
RPVQMLPJLHGGFBA77CB,大同段二小段,3.07,都市：商,10000,138,持分移轉
RPVQMLPJLHGGFBA77CB,大同段二小段,.27,都市：住,10000,138,持分移轉
RPWQMLPJLHGGFBA87CB,大同段二小段,4.38,都市：商,10000,161,持分移轉
RPWQMLPJLHGGFBA87CB,大同段二小段,3.58,都市：商,10000,161,持分移轉
RPWQMLPJLHGGFBA87CB,大同段二小段,.32,都市：住,10000,161,持分移轉
RPXQMLPJLHGGFBA97CB,大同段二小段,4.38,都市：商,10000,161,持分移轉
RPXQMLPJLHGGFBA97CB,大同段二小段,3.58,都市：商,10000,161,持分移轉
RPXQMLPJLHGGFBA97CB,大同段二小段,.32,都市：住,10000,161,持分移轉
RPPRMLPJLHGGFBA27CB,大同段二小段,4.38,都市：商,10000,161,持分移轉
RPPRMLPJLHGGFBA27CB,大同段二小段,3.58,都市：商,10000,161,持分移轉
RPPRMLPJLHGGFBA27CB,大同段二小段,.32,都市：住,10000,161,持分移轉
RPORMLPJLHGGFBA17CB,大同段二小段,4.38,都市：商,10000,161,持分移轉
RPORMLPJLHGGFBA17CB,大同段二小段,3.58,都市：商,10000,161,持分移轉
RPORMLPJLHGGFBA17CB,大同段二小段,.32,都市：住,10000,161,持分移轉
RPTRMLPJLHGGFBA67CB,大同段二小段,4.38,都市：商,10000,161,持分移轉
RPTRMLPJLHGGFBA67CB,大同段二小段,3.58,都市：商,10000,161,持分移轉
RPTRMLPJLHGGFBA67CB,大同段二小段,.32,都市：住,10000,161,持分移轉
RPQRMLPJLHGGFBA37CB,大同段二小段,4.35,都市：商,10000,160,持分移轉
RPQRMLPJLHGGFBA37CB,大同段二小段,3.56,都市：商,10000,160,持分移轉
RPQRMLPJLHGGFBA37CB,大同段二小段,.31,都市：住,10000,160,持分移轉
RPRRMLPJLHGGFBA47CB,大同段二小段,4.38,都市：商,10000,161,持分移轉
