鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區吉林路14巷1~30號,0.0,住,,,1100206,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030402,107.97999999999999,2,2,2,有,有,有,57750,535,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQNMLLJLHGGFCA76CC
中山區,建物,臺北市中山區中山北路一段83巷31~60號,0.0,商,,,1100225,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970314,80.63,2,1,1,有,有,有,42000,521,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPRNMLLJLHGGFCA86CC
中山區,建物,臺北市中山區松江路63巷1~30號,0.0,商,,,1100226,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070831,55.09,1,1,1,有,有,有,43000,781,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPSNMLLJLHGGFCA96CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1100224,土地0建物1車位0,八層,18,辦公商業大樓,商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,有,有,50000,751,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPTNMLLJLHGGFCA07CC
中山區,建物,臺北市中山區林森北路61~90號,0.0,商,,,1100301,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961106,194.2,3,2,2,有,有,有,59639,307,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPVNMLLJLHGGFCA27CC
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1100219,土地0建物1車位0,八層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1011112,64.72,1,1,1,有,有,有,45000,695,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPWNMLLJLHGGFCA37CC
中山區,建物,臺北市中山區南京東路二段91~120號,0.0,商,,,1100226,土地0建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990917,81.9,1,1,1,有,有,有,45500,556,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPXNMLLJLHGGFCA47CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1100226,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,105.34,1,1,1,有,有,有,50000,475,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPOOMLLJLHGGFCA66CC
中山區,建物,臺北市中山區建國北路二段1~30號,0.0,住,,,1100202,土地0建物1車位0,十三層,14,辦公商業大樓,商業用,鋼筋混凝土造,0950713,60.0,1,1,1,有,有,有,40000,667,,0.0,0,含管理費、稅金或水電等費用。；,RPPOMLLJLHGGFCA76CC
