編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLJLHGGFCA37CC,8,41.48,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPWNMLLJLHGGFCA37CC,8,23.24,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPRNMLLJLHGGFCA86CC,13,54.58,住家用,鋼筋混凝土造,97年3月14日,十五層,
RPRNMLLJLHGGFCA86CC,13,20.28,共有部分,鋼筋混凝土造,97年3月14日,十五層,
RPRNMLLJLHGGFCA86CC,13,5.77,共有部分,見其他登記事項,97年3月14日,十五層,
RPPOMLLJLHGGFCA76CC,15,41.27,商業用,鋼筋混凝土造,95年7月13日,十四層,
RPPOMLLJLHGGFCA76CC,15,4.38,共有部分,鋼筋混凝土造,95年7月13日,十四層,
RPPOMLLJLHGGFCA76CC,15,4.90,共有部分,鋼筋混凝土造,95年7月13日,十四層,
RPPOMLLJLHGGFCA76CC,15,9.45,共有部分,鋼筋混凝土造,95年7月13日,十四層,
RPQOMLLJLHGGFCA86CC,10,30.21,住家用,見其他登記事項,99年9月17日,十八層,
RPQOMLLJLHGGFCA86CC,10,3.76,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPQOMLLJLHGGFCA86CC,10,1.13,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPQOMLLJLHGGFCA86CC,10,10.26,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPTNMLLJLHGGFCA07CC,11,44.96,商業用,鋼筋混凝土造,98年9月16日,十八層,
RPTNMLLJLHGGFCA07CC,11,9.31,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPTNMLLJLHGGFCA07CC,11,9.76,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPTNMLLJLHGGFCA07CC,11,2.59,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPSNMLLJLHGGFCA96CC,2,38.20,住家用,鋼筋混凝土造,107年8月31日,九層,
RPSNMLLJLHGGFCA96CC,2,16.89,見其他登記事項,鋼筋混凝土造,107年8月31日,九層,
RPXNMLLJLHGGFCA47CC,10,54.03,住家用,見其他登記事項,99年9月17日,十八層,
RPXNMLLJLHGGFCA47CC,10,7.66,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPXNMLLJLHGGFCA47CC,10,2.03,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPXNMLLJLHGGFCA47CC,10,18.18,見其他登記事項,見其他登記事項,99年9月17日,十八層,
RPOOMLLJLHGGFCA66CC,10,68.89,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPOOMLLJLHGGFCA66CC,10,16.72,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPOOMLLJLHGGFCA66CC,10,19.73,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPVNMLLJLHGGFCA27CC,13,98.13,住家用,鋼筋混凝土造,96年11月6日,十四層,
RPVNMLLJLHGGFCA27CC,13,15.38,共有部分,鋼筋混凝土造,96年11月6日,十四層,
RPVNMLLJLHGGFCA27CC,36,53.92,共有部分,鋼筋混凝土造,74年1月25日,五層,
RPVNMLLJLHGGFCA27CC,13,26.77,共有部分,鋼筋混凝土造,96年11月6日,十四層,
RPQNMLLJLHGGFCA76CC,7,69.77,住家用,鋼筋混凝土造,103年4月2日,七層,
RPQNMLLJLHGGFCA76CC,7,36.43,見其他登記事項,鋼筋混凝土造,103年4月2日,七層,
RPQNMLLJLHGGFCA76CC,7,1.78,見其他登記事項,鋼筋混凝土造,103年4月2日,七層,
