編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLLJLHGGFCA37CC,中山段二小段,.00,都市：商,,,
RPRNMLLJLHGGFCA86CC,正義段三小段,.00,都市：商,,,
RPRNMLLJLHGGFCA86CC,正義段三小段,.00,都市：商,,,
RPPOMLLJLHGGFCA76CC,長春段二小段,.00,都市：住,,,
RPPOMLLJLHGGFCA76CC,長春段二小段,.00,都市：住,,,
RPQOMLLJLHGGFCA86CC,長安段三小段,.00,都市：商,,,
RPQOMLLJLHGGFCA86CC,長安段三小段,.00,都市：商,,,
RPQOMLLJLHGGFCA86CC,長安段三小段,.00,都市：商,,,
RPTNMLLJLHGGFCA07CC,吉林段四小段,.00,都市：商,,,
RPSNMLLJLHGGFCA96CC,長安段三小段,.00,都市：住,,,
RPSNMLLJLHGGFCA96CC,長安段三小段,.00,都市：商,,,
RPXNMLLJLHGGFCA47CC,長安段三小段,.00,都市：商,,,
RPXNMLLJLHGGFCA47CC,長安段三小段,.00,都市：商,,,
RPXNMLLJLHGGFCA47CC,長安段三小段,.00,都市：商,,,
RPOOMLLJLHGGFCA66CC,德惠段四小段,.00,都市：商,,,
RPVNMLLJLHGGFCA27CC,正義段二小段,.00,都市：商,,,
RPVNMLLJLHGGFCA27CC,正義段二小段,.00,都市：商,,,
RPQNMLLJLHGGFCA76CC,長安段三小段,.00,都市：住,,,
RPROMLLJLHGGFCA96CC,長安段三小段,.00,都市：商,,,
RPROMLLJLHGGFCA96CC,長安段三小段,.00,都市：商,,,
RPROMLLJLHGGFCA96CC,長安段三小段,.00,都市：商,,,
RPTOMLLJLHGGFCA17CC,碧湖段四小段,129.15,都市：住,,,
RPQNMLLJLHGGFBA66CC,漢中段二小段,.00,都市：商,,,
RPSNMLLJLHGGFDA07CC,寶清段四小段,.00,都市：其他:聯合開發區(捷),,,
RPPNMLLJLHGGFBA56CC,市府段一小段,.00,都市：商,,,
RPQNMLLJLHGGFDA86CC,信義段三小段,.00,都市：其他:信義計畫特定專用區,,,
RPRNMLLJLHGGFDA96CC,延吉段一小段,.00,都市：商,,,
RPRNMLLJLHGGFDA96CC,延吉段一小段,.00,都市：商,,,
RPRNMLLJLHGGFDA96CC,延吉段一小段,.00,都市：住,,,
RPPNMLLJLHGGFDA76CC,敦化段四小段,.00,都市：住,,,
RPPNMLLJLHGGFDA76CC,敦化段四小段,.00,都市：住,,,
RPRNMLLJLHGGFBA76CC,市府段一小段,.00,都市：其他:轉運站用地(公共設施用地),,,
RPRNMLLJLHGGFBA76CC,市府段一小段,.00,都市：其他:轉運站用地(公共設施用地),,,
RPPNMLLJLHGGFEA86CC,關渡段二小段,.00,都市：住,,,
RPPNMLLJLHGGFEA86CC,關渡段二小段,.00,都市：住,,,
RPSNMLLJLHGGFFA27CC,龍泉段一小段,.00,都市：商,,,
RPWNMLLJLHGGFFA67CC,復興段三小段,.00,都市：住,,,
RPWNMLMJLHGGFAA27CC,萬慶段二小段,.00,都市：住,,,
RPXNMLMJLHGGFFA87CC,仁愛段一小段,.00,都市：商,,,
RPUPMLLJLHGGFFA67CC,辛亥段一小段,.00,都市：住,,,
RPVNMLMJLHGGFFA67CC,仁愛段二小段,6.60,都市：商,,,
RPTNMLMJLHGGFFA47CC,龍泉段二小段,.00,都市：其他:道路用地,,,
RPTNMLLJLHGGFAA86CC,福和段一小段,.00,都市：住,,,
RPUOMLMJLHGGFAA17CC,興安段二小段,.00,都市：商,,,
RPQOMLMJLHGGFFA27CC,仁愛段四小段,.00,都市：住,,,
RPUNMLLJLHGGFDA37DC,福德段三小段,.00,都市：住,,,
RPPOMLMJLHGGFFA17CC,仁愛段六小段,.00,都市：住,,,
RPPOMLMJLHGGFFA17CC,仁愛段六小段,.00,都市：住,,,
RPTOMLMJLHGGFEA47CC,天山段二小段,.00,都市：商,,,
RPWNMLMJLHGGFDA57CC,寶清段二小段,.00,都市：商,,,
RPVNMLMJLHGGFDA47CC,西松段一小段,.00,都市：住,,,
RPUPMLMJLHGGFEA67CC,蘭雅段二小段,.00,都市：住,,,
RPTNMLMJLHGGFDA27CC,信義段二小段,.00,都市：商,,,
RPUOMLMJLHGGFEA57CC,芝山段一小段,.00,都市：住,,,
RPRPMLMJLHGGFEA37CC,振興段二小段,.00,都市：商,,,
RPRPMLMJLHGGFEA37CC,振興段二小段,.00,都市：住,,,
RPPOMLMJLHGGFDA96CC,民生段,204.00,都市：住,,,
RPVNMLMJLHGGFBA27CC,圓環段三小段,.00,都市：商,,,
RPQOMLMJLHGGFDA07CC,美仁段二小段,5.27,都市：商,,,
RPWNMLMJLHGGFBA37CC,龍山段二小段,.00,都市：商,,,
RPWNMLMJLHGGFBA37CC,龍山段二小段,.00,都市：商,,,
RPWNMLMJLHGGFBA37CC,龍山段二小段,.00,都市：商,,,
RPPOMLMJLHGGFBA76CC,青年段一小段,.00,都市：住,,,
RPWNMLMJLHGGFCA47CC,吉林段五小段,.00,都市：商,,,
RPUOMLMJLHGGFCA37CC,康寧段三小段,.00,都市：住,,,
RPTOMLMJLHGGFCA27CC,長安段三小段,.00,都市：住,,,
RPTNMLMJLHGGFCA17CC,康寧段三小段,.00,都市：其他:交通用地(公共設施用地),,,
RPVOMLMJLHGGFCA47CC,長安段二小段,.00,都市：商,,,
RPXPMLMJLHGGFCA77CC,中山段二小段,.00,都市：商,,,
RPQQMLMJLHGGFCA17CC,長安段三小段,.00,都市：商,,,
RPQQMLMJLHGGFCA17CC,長安段三小段,.00,都市：商,,,
RPPQMLMJLHGGFCA07CC,榮星段四小段,.00,都市：住,,,
RPPQMLMJLHGGFCA07CC,榮星段四小段,.00,都市：住,,,
RPUNMLNJLHGGFCA37CC,中山段一小段,.00,都市：商,,,
RPOOMLNJLHGGFCA86CC,正義段三小段,.00,都市：商,,,
RPPPMLNJLHGGFCA07CC,吉林段四小段,.00,都市：商,,,
RPUOMLNJLHGGFCA47CC,西湖段四小段,.00,都市：工,,,
RPROMLNJLHGGFCA17CC,康寧段四小段,.00,都市：住,,,
RPROMLNJLHGGFCA17CC,康寧段四小段,.00,都市：其他:公園用地(公共設施用地),,,
RPUPMLNJLHGGFCA57CC,中山段一小段,.00,都市：商,,,
RPROMLNJLHGGFCA17CC,康寧段四小段,.00,都市：其他:公園用地(公共設施用地),,,
RPTPMLNJLHGGFCA47CC,文德段五小段,.00,都市：工,,,
RPROMLNJLHGGFCA17CC,康寧段三小段,.00,都市：住,,,
RPVPMLNJLHGGFCA67CC,文德段五小段,.00,都市：工,,,
RPWQMLNJLHGGFCA87CC,正義段二小段,.00,都市：商,,,
RPTQMLNJLHGGFCA57CC,長安段四小段,.00,都市：住,,,
RPSQMLNJLHGGFCA47CC,西湖段四小段,.00,都市：工,,,
RPXQMLNJLHGGFCA97CC,中山段二小段,.00,都市：商,,,
RPPNMLNJLHGGFBA76CC,臨沂段三小段,.00,都市：商,,,
RPPRMLNJLHGGFCA27CC,大湖段二小段,.00,都市：住,,,
RPPRMLNJLHGGFCA27CC,大湖段二小段,.00,都市：住,,,
RPUNMLNJLHGGFBA27CC,大龍段三小段,.00,都市：住,,,
RPSNMLNJLHGGFBA07CC,直興段二小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPQNMLNJLHGGFBA86CC,城中段一小段,.00,都市：商,,,
RPWNMLNJLHGGFBA47CC,直興段三小段,.00,都市：商,,,
RPWNMLNJLHGGFBA47CC,直興段三小段,.00,都市：商,,,
RPTOMLNJLHGGFDA47CC,南港段四小段,.00,都市：住,,,
RPTOMLNJLHGGFDA47CC,南港段四小段,.00,都市：其他:道路用地,,,
RPVNMLNJLHGGFDA57CC,南港段四小段,.00,都市：住,,,
RPWNMLNJLHGGFDA67CC,三興段三小段,.00,都市：商,,,
RPVOMLNJLHGGFDA67CC,寶清段一小段,21.52,都市：住,,,
RPVOMLNJLHGGFDA67CC,寶清段一小段,3.44,都市：其他:道路用地,,,
RPPPMLNJLHGGFDA17CC,三興段三小段,.00,都市：商,,,
RPPPMLNJLHGGFDA17CC,三興段三小段,.00,都市：住,,,
RPPPMLNJLHGGFDA17CC,三興段三小段,.00,都市：其他:道路用地(公共設施用地),,,
RPPPMLNJLHGGFDA17CC,三興段三小段,.00,都市：其他:道路用地(公共設施用地),,,
RPPPMLNJLHGGFDA17CC,三興段三小段,.00,都市：商,,,
RPRPMLNJLHGGFDA37CC,信義段三小段,.00,都市：其他:特定業務區,,,
RPTPMLNJLHGGFDA57CC,逸仙段三小段,.00,都市：住,,,
RPTPMLNJLHGGFDA57CC,逸仙段三小段,.00,都市：商,,,
RPUPMLNJLHGGFDA67CC,祥和段三小段,.00,都市：住,,,
RPUNMLNJLHGGFEA57CC,天母段三小段,.00,都市：商,,,
RPSPMLNJLHGGFDA47CC,吳興段三小段,.00,都市：住,,,
RPWNMLNJLHGGFEA77CC,大業段三小段,.00,都市：商,,,
RPXNMLNJLHGGFEA87CC,三合段,.00,都市：住,,,
RPQOMLNJLHGGFEA27CC,三玉段一小段,.00,都市：住,,,
RPQOMLNJLHGGFEA27CC,三玉段一小段,.00,都市：住,,,
RPQOMLNJLHGGFEA27CC,三玉段一小段,.00,都市：住,,,
RPQPMLNJLHGGFEA37CC,三玉段二小段,.00,都市：住,,,
RPTPMLNJLHGGFEA67CC,秀山段一小段,98.80,都市：住,,,
RPTPMLNJLHGGFEA67CC,秀山段一小段,71.82,都市：住,,,
RPTPMLNJLHGGFEA67CC,秀山段一小段,.80,都市：住,,,
RPWPMLNJLHGGFEA97CC,開明段二小段,.00,都市：商,,,
RPQQMLNJLHGGFEA47CC,光華段二小段,.00,都市：住,,,
