鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),興大路396巷121~150號,325.0,都市：其他:第二種住宅區,,,1091201,土地4建物1車位0,全,二層,透天厝,店房、住房,加強磚造,0691013,203.16,6,4,4,有,無,32000000,157511,,0.0,0,頂樓加蓋；其他增建；,RPVNMLSKJHGGFAB67DA,203.16,0.0,0.0,無,
南區,房地(土地+建物)+車位,南和二街1~30號,18.71,都市：其他:第一種住宅區,,,1100203,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,126.9,3,2,2,有,有,6500000,51221,坡道機械,2.93,0,,RPSNMLOJKHGGFAB96DA,77.72,11.95,0.0,有,0001
南區,房地(土地+建物),福田二街268巷61~90號,98.88,都市：其他:第二種住宅區,,,1091205,土地3建物1車位0,全,四層,透天厝,住宅．停車空間,鋼筋混凝土造,0850815,289.65000000000003,5,2,4,有,無,15000000,51787,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPRNMLPJKIPFFAB87DA,226.67,44.31,0.0,無,
西區,房地(土地+建物),自治街207巷1~30號,112.0,都市：其他:第二種住宅區,,,1091125,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0560629,102.0,5,2,2,有,無,17880000,175294,,0.0,0,頂樓加蓋；其他增建；,RPVOMLPJLHGGFAB57DA,102.0,0.0,0.0,無,
西區,房地(土地+建物),精誠路421~450號,17.69,都市：其他:第二種住宅區,,,1100228,土地1建物1車位0,一層，騎樓，地下層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831014,119.14,3,1,1,有,有,9350000,78479,,0.0,0,未登記建物；,RPUQMLQKLHGGFAB87DA,106.04,4.72,0.0,有,
東區,房地(土地+建物),精武路91巷1~30號,29.46,都市：其他:第二種住宅區,,,1100322,土地3建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0760923,36.76,1,1,1,有,無,2800000,76170,,0.0,0,頂樓加蓋；其他增建；,RPXNMLPLLHGGFAB87DA,32.0,4.76,0.0,無,
西區,房地(土地+建物)+車位,五權西路一段211~240號,33.51,都市：其他:第一種商業區,,,1100306,土地2建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0971028,259.09,3,2,2,有,有,27150000,104790,坡道平面,46.28,0,,RPTOMLPLLHGGFAB57DA,130.02,23.8,0.0,有,
南區,房地(土地+建物),美村路二段121~150號,35.5,都市：其他:第二種住宅區,,,1100312,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0600205,55.81,2,2,2,有,無,3800000,68088,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLQLLHGGFAB87DA,55.82,0.0,0.0,無,
西區,房地(土地+建物),大業北路1~30號,26.51,都市：其他:第三種住宅區。,,,1100304,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771221,144.0,3,2,2,有,有,11000000,76389,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTLLHGGFAB18DA,94.96,11.34,0.0,有,
東區,房地(土地+建物)+車位,東英十五街260巷1~30號,29.38,都市：其他:道路用地,,,1100111,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810508,162.51999999999998,3,2,2,有,有,7800000,47994,坡道平面,0.0,0,,RPXNMLTLLHGGFAB28DA,107.44,10.25,0.0,有,0002
西區,房地(土地+建物),向上路一段289巷1~30號,6.11,都市：其他:第二種住宅區,,,1100310,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821124,38.22,0,0,0,無,有,2100000,54945,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLTLLHGGFAB67DA,20.66,5.1,0.0,有,0003
西區,房地(土地+建物),民生路451~480號,20.64,都市：其他:第二種住宅區,,,1100224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740529,105.67999999999999,4,3,3,有,無,5900000,55829,,0.0,0,頂樓加蓋；,RPROMLTLLHGGFAB77DA,84.37,11.51,0.0,無,0004
西區,房地(土地+建物),三民路一段50巷1~30號,2.75,都市：其他:第一種商業區,,,1100315,土地2建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,35.55,1,1,1,有,有,1860000,52321,,0.0,0,,RPOPMLTLLHGGFAB57DA,19.37,3.94,0.0,有,0005
南區,房地(土地+建物)+車位,忠明南路781~810號,15.76,都市：其他:第三種住宅區。,,,1100209,土地1建物1車位4,二十四層,四十二層,住宅大樓(11層含以上有電梯),辦公室,鋼骨造,0821218,382.78999999999996,3,0,1,有,有,14900000,38925,坡道機械,0.0,0,,RPPNMLKMLHGGFAB66DA,230.25,37.39,0.0,有,
東區,房地(土地+建物),建興街31~60號,64.0,都市：其他:第二種住宅區,,,1100317,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0620108,114.75,4,2,2,有,無,2680000,23355,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQLLHGGFAB27DA,114.75,0.0,0.0,無,
西區,房地(土地+建物)+車位,公益路61~90號,42.46,都市：其他:第二種住宅區,,,1100308,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071120,299.70000000000005,2,2,2,有,有,38800000,149370,坡道平面,69.4,4400000,,RPVNMLQLLHGGFAB77DA,123.41,31.46,0.0,有,
南區,房地(土地+建物),南昌街31~60號,28.24,都市：其他:第二種住宅區,,,1100120,土地5建物1車位0,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0800725,231.70999999999998,3,2,2,有,無,6500000,28052,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLKMLHGGFAB76DA,194.37,14.58,0.0,無,
南區,房地(土地+建物)+車位,學府路151~180號,8.93,都市：其他:第二種住宅區,,,1100205,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831207,116.79,3,2,2,有,無,5500000,47093,坡道機械,0.0,0,,RPQOMLKMLHGGFAB86DA,66.39,7.29,0.0,無,
西區,房地(土地+建物)+車位,大忠南街61~90號,12.19,都市：其他:第二種住宅區,,,1100316,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0960705,137.10999999999999,3,2,2,有,有,12580000,91751,坡道平面,23.41,0,,RPROMLKMLHGGFAB96DA,70.52,11.83,0.0,有,
