編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLSKJHGGFAB67DA,40,101.58,店房、住房,加強磚造,69年10月13日,二層,一層 二層
RPTQMLQLLHGGFAB87DA,50,55.81,住家用,見其他登記事項,60年2月5日,二層,一層 二層 騎樓
RPVNMLSKJHGGFAB67DA,40,101.58,店房、住房,加強磚造,69年10月13日,二層,一層 二層
RPTOMLPLLHGGFAB57DA,12,153.82,集合住宅,鋼筋混凝土造,97年10月28日,十四層,十層
RPTOMLPLLHGGFAB57DA,12,33.25,共用,鋼筋混凝土造,97年10月28日,十四層,
RPSNMLOJKHGGFAB96DA,27,2.94,管理員室，停車空間,鋼筋混凝土造,83年7月18日,十二層,地下一層
RPTOMLPLLHGGFAB57DA,12,72.02,共用,鋼筋混凝土造,97年10月28日,十四層,
RPSNMLOJKHGGFAB96DA,27,86.73,住家用,鋼筋混凝土造,83年7月18日,十二層,八層
RPSNMLOJKHGGFAB96DA,27,31.75,防空避難室、開放空間、樓梯間、機械室、水塔,鋼筋混凝土造,83年7月18日,十二層,
RPSNMLOJKHGGFAB96DA,27,5.49,停車空間,鋼筋混凝土造,83年7月18日,十二層,
RPUQMLQKLHGGFAB87DA,26,110.76,住家用,鋼筋混凝土造,83年10月14日,七層,一層 騎樓 地下層
RPUQMLQKLHGGFAB87DA,26,8.38,防空避難室．人行道．水箱．梯間．機械室,鋼筋混凝土造,83年10月14日,七層,
RPWNMLTLLHGGFAB18DA,32,104.81,住家用,鋼筋混凝土造,77年12月21日,七層,三層
RPWNMLTLLHGGFAB18DA,32,1.49,集合住宅,鋼筋混凝土造,77年12月21日,七層,一層
RPWNMLTLLHGGFAB18DA,32,37.70,共有部份,鋼筋混凝土造,77年12月21日,七層,
RPXNMLPLLHGGFAB87DA,33,36.76,住商用,鋼筋混凝土造,76年9月23日,二層,一層 二層
RPVOMLPJLHGGFAB57DA,53,102.00,住家用,見其他登記事項,56年6月29日,二層,一層 二層
RPRNMLPJKIPFFAB87DA,24,18.67,共同使用,鋼筋混凝土造,85年8月15日,四層,
RPRNMLPJKIPFFAB87DA,24,270.98,住宅．停車空間,鋼筋混凝土造,85年8月15日,四層,一層 二層 三層 四層 地下層
RPXNMLTLLHGGFAB28DA,29,117.69,住家用,鋼筋混凝土造,81年5月8日,十三層,七層
RPXNMLTLLHGGFAB28DA,29,3.58,梯間、水箱、機械房、開放空間,鋼筋混凝土造,81年5月8日,十三層,
RPXNMLTLLHGGFAB28DA,29,41.25,停車空間、防空避難室、機械房、水塔、梯間,鋼筋混凝土造,81年5月8日,十三層,
RPQOMLTLLHGGFAB67DA,27,25.76,住家用,鋼筋混凝土造,82年11月24日,八層,七層
RPQOMLTLLHGGFAB67DA,27,12.46,梯間，走道，機械室，水箱，防空避難室，停車空間,鋼筋混凝土造,82年11月24日,八層,
RPQNMLQLLHGGFAB27DA,48,114.75,住家用,見其他登記事項,62年1月8日,二層,一層 二層 騎樓
RPROMLTLLHGGFAB77DA,36,95.88,住家用,鋼筋混凝土造,74年5月29日,五層,五層
