交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,臺中市南區南和二街1~30號,1080503,土地1建物2車位1,八層,十二層,住宅大樓(11層含以上有電梯),25,126.9,3,2,2,有,有,6400000,50433,0,0001
房地(土地+建物)+車位,南和二街1~30號,1100203,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),27,126.9,3,2,2,有,有,6500000,51221,0,0001
房地(土地+建物)+車位,東英十五街260巷1~30號,1090811,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),28,162.51999999999998,3,2,2,有,有,6630000,40795,0,0002
房地(土地+建物)+車位,東英十五街260巷1~30號,1100111,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),29,162.51999999999998,3,2,2,有,有,7800000,47994,0,0002
房地(土地+建物),臺中市西區向上路一段289巷1~30號,1071110,土地1建物1車位0,七層,八層,套房(1房1廳1衛),25,38.22,1,1,1,有,有,1850000,48404,0,0003
房地(土地+建物),向上路一段289巷1~30號,1100310,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),27,38.22,0,0,0,無,有,2100000,54945,0,0003
房地(土地+建物),臺中市西區民生路451~480號,1071124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),33,105.67999999999999,3,2,2,有,無,4500000,42581,0,0004
房地(土地+建物),民生路451~480號,1100224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),36,105.67999999999999,4,3,3,有,無,5900000,55829,0,0004
房地(土地+建物),三民路一段50巷1~30號,1090415,土地2建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),25,35.55,1,1,1,有,有,1460000,41069,0,0005
房地(土地+建物),三民路一段50巷1~30號,1100315,土地2建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),26,35.55,1,1,1,有,有,1860000,52321,0,0005
房地(土地+建物)+車位,遼寧路二段31~60號,1090822,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),27,149.61,3,2,2,有,有,7000000,46788,0,0006
房地(土地+建物)+車位,遼寧路二段31~60號,1100222,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),27,149.61,4,2,2,有,有,7460000,49863,0,0006
房地(土地+建物),錦南街31~60號,1090709,土地8建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),35,86.99,3,2,1,有,有,4500000,51730,0,0007
房地(土地+建物),錦南街31~60號,1100309,土地8建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),36,86.99,3,2,2,有,有,6200000,71273,0,0007
房地(土地+建物)+車位,臺中市北屯區太和一街121~150號,1081106,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),4,178.51,3,2,2,有,有,8500000,47616,0,0008
房地(土地+建物)+車位,太和一街121~150號,1100306,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),5,178.51,3,2,2,有,有,10050000,56299,0,0008
房地(土地+建物)+車位,環太東路451~480號,1071021,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),0,153.21,3,2,2,有,有,7520000,49637,1100000,0009
房地(土地+建物)+車位,環太東路451~480號,1100221,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),1,153.21,3,2,2,有,有,8700000,56785,0,0009
房地(土地+建物)+車位,平德路103巷1~30號,1090707,土地1建物1車位1,一層,七層,公寓(5樓含以下無電梯),26,104.09,3,2,1,有,無,4800000,46114,0,0010
