編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPTQMLQLLHGGFAB87DA,下橋子頭段,35.50,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,153.00,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,153.00,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,2.00,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,2.00,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,4.00,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,4.00,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,3.50,都市：其他:第二種住宅區,2,1,持分移轉
RPVNMLSKJHGGFAB67DA,頂橋子頭段,3.50,都市：其他:第二種住宅區,2,1,持分移轉
RPTOMLPLLHGGFAB57DA,土庫段,4.80,都市：其他:第二種住宅區,1000000,19932,持分移轉
RPSNMLOJKHGGFAB96DA,下橋子頭段,18.71,都市：其他:第一種住宅區,20000,40,持分移轉
RPTOMLPLLHGGFAB57DA,土庫段,28.70,都市：其他:第一種商業區,1000000,19932,持分移轉
RPUQMLQKLHGGFAB87DA,大益段,17.69,都市：其他:第二種住宅區,1000,134,持分移轉
RPWNMLTLLHGGFAB18DA,大益段,26.51,都市：其他:第三種住宅區。,10000,149,持分移轉
RPXNMLPLLHGGFAB87DA,東勢子段,1.84,都市：其他:第二種住宅區,10000,329,持分移轉
RPXNMLPLLHGGFAB87DA,東勢子段,8.62,都市：其他:第二種住宅區,10000,329,持分移轉
RPXNMLPLLHGGFAB87DA,東勢子段,19.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPVOMLPJLHGGFAB57DA,後8257子段,109.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPVOMLPJLHGGFAB57DA,後8257子段,3.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPRNMLPJKIPFFAB87DA,樹子腳段,20.11,都市：其他:第二種住宅區,27,1,持分移轉
RPRNMLPJKIPFFAB87DA,樹子腳段,72.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPRNMLPJKIPFFAB87DA,樹子腳段,6.77,都市：其他:第二種住宅區,75,1,持分移轉
RPXNMLTLLHGGFAB28DA,旱溪段,27.08,都市：其他:第一種住宅區,100000,859,持分移轉
RPXNMLTLLHGGFAB28DA,旱溪段,2.29,都市：其他:道路用地,100000,859,持分移轉
RPQOMLTLLHGGFAB67DA,土庫段,6.11,都市：其他:第二種住宅區,10000,86,持分移轉
RPQNMLQLLHGGFAB27DA,頂橋子頭段,64.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPROMLTLLHGGFAB77DA,土庫段,20.64,都市：其他:第二種住宅區,10000,431,持分移轉
RPOPMLTLLHGGFAB57DA,公館段,1.48,都市：其他:第二種住宅區,1000000,466,持分移轉
RPOPMLTLLHGGFAB57DA,公館段,1.28,都市：其他:第一種商業區,1000000,466,持分移轉
RPPOMLKMLHGGFAB76DA,下橋子頭段,4.85,都市：其他:第二種住宅區,100000,705,持分移轉
RPPOMLKMLHGGFAB76DA,下橋子頭段,2.43,都市：其他:第二種住宅區,100000,705,持分移轉
RPPOMLKMLHGGFAB76DA,下橋子頭段,19.89,都市：其他:第二種住宅區,100000,705,持分移轉
RPPOMLKMLHGGFAB76DA,下橋子頭段,.73,都市：其他:第二種住宅區,100000,705,持分移轉
RPPOMLKMLHGGFAB76DA,下橋子頭段,.35,都市：其他:第二種住宅區,100000,705,持分移轉
RPVNMLQLLHGGFAB77DA,後8257子段,42.46,都市：其他:第二種住宅區,100000,2684,持分移轉
RPQOMLKMLHGGFAB86DA,正義段九小段,4.37,都市：其他:第一種商業區,10000,56,持分移轉
RPQOMLKMLHGGFAB86DA,正義段九小段,4.56,都市：其他:第二種住宅區,10000,56,持分移轉
RPXOMLKLKHGGFBB47DA,水源段,49.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPXOMLKLKHGGFBB47DA,水源段,6.64,都市：其他:第二種住宅區,100000,1779,持分移轉
RPXOMLKLKHGGFBB47DA,水源段,4.96,都市：其他:第二種住宅區,100000,1779,持分移轉
RPXOMLKLKHGGFBB47DA,水源段,5.85,都市：其他:第二種住宅區,100000,1779,持分移轉
RPROMLKMLHGGFAB96DA,土庫段,12.19,都市：其他:第二種住宅區,10000,22,持分移轉
RPPNMLKMLHGGFAB66DA,下橋子頭段,15.76,都市：其他:第三種住宅區。,10000,56,持分移轉
RPOQMLMJLHGGFBB86DA,北屯段,11.71,都市：其他:第三種住宅區。,10000,54,持分移轉
RPQRMLNJLHGGFBB27DA,賴厝82bb段,17.49,都市：其他:第二種住宅區,10000,507,持分移轉
RPSQMLOJLHGGFBB47DA,賴厝82bb段,2.67,都市：其他:第一種商業區,10000,14,持分移轉
RPORMLPJLHGGFBB27DA,松竹段,18.85,都市：其他:第二種住宅區,10000,34,持分移轉
RPPRMLPJLHGGFBB37DA,乾溝子段,.63,都市：其他:第二種住宅區,100,1,持分移轉
RPPRMLPJLHGGFBB37DA,乾溝子段,13.60,都市：其他:第二種住宅區,100,17,持分移轉
RPPRMLPJLHGGFBB37DA,乾溝子段,.91,都市：其他:第二種住宅區,100,1,持分移轉
RPWNMLKKLHGGFBB27DA,陳平段,11.91,都市：其他:第二種住宅區,100000,786,持分移轉
RPPTMLTKLHGGFBB08DA,松茂段,19.95,都市：其他:第二種住宅區,20000,102,持分移轉
RPQSMLPKLHGGFBB67DA,錦村段,40.20,都市：其他:第二種住宅區,5,1,持分移轉
RPQSMLPKLHGGFBB67DA,錦村段,.09,非都市： ; 非都市編定：,2170,10,持分移轉
RPQSMLPKLHGGFBB67DA,錦村段,3.84,非都市： ; 非都市編定：,2170,10,持分移轉
RPPNMLMLLHGGFBB86DA,水源段,.14,非都市： ; 非都市編定：,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,水源段,8.84,都市：其他:第二種住宅區,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,錦村段,11.05,都市：其他:第二種住宅區,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,錦村段,.05,都市：其他:第二種住宅區,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,錦村段,1.26,都市：其他:第二種住宅區,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,錦村段,.02,非都市： ; 非都市編定：,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,錦村段,.01,非都市： ; 非都市編定：,90960,74,持分移轉
RPPNMLMLLHGGFBB86DA,錦村段,.00,非都市： ; 非都市編定：,90960,74,持分移轉
RPQQMLPJLHGGFBB37DA,乾溝子段,18.02,都市：其他:第二之一種商業區,200000,1264,持分移轉
RPQQMLPJLHGGFBB37DA,乾溝子段,18.02,都市：其他:第二之一種商業區,200000,1264,持分移轉
RPQQMLPJLHGGFBB37DA,乾溝子段,.92,非都市： ; 非都市編定：,423360,1339,持分移轉
RPQQMLPJLHGGFBB37DA,乾溝子段,.92,非都市： ; 非都市編定：,423360,1339,持分移轉
RPQQMLPJLHGGFBB37DA,乾溝子段,1.02,非都市： ; 非都市編定：,423360,1339,持分移轉
