鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物)+車位,中和段271~300地號,14.44,住,,,1100122,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.7,2,1,1,有,無,11470000,107135,坡道平面,38.64,1500000,,RPPSMLSJLHGGFCB87CB
西屯區,房地(土地+建物)+車位,中和段271~300地號,14.58,住,,,1100122,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.75,2,1,1,有,無,11750000,111242,坡道平面,36.26,1350000,,RPQSMLSJLHGGFCB97CB
西屯區,房地(土地+建物)+車位,中和段271~300地號,10.4,住,,,1100118,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.02,1,1,1,有,無,8800000,111479,坡道平面,38.64,1400000,,RPXNMLTJLHGGFCB28CB
西屯區,房地(土地+建物),中和段271~300地號,10.4,住,,,1100118,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,66.38,1,1,1,有,無,6880000,103646,,0.0,0,,RPOOMLTJLHGGFCB47CB
西屯區,房地(土地+建物),中和段271~300地號,18.36,商,,,1100122,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,107.61,0,0,0,無,無,19920000,185113,,0.0,0,,RPVPMLTJLHGGFCB28CB
西屯區,房地(土地+建物)+車位,中和段271~300地號,18.5,商,,,1100122,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,145.73,0,0,0,無,無,20960000,177724,坡道平面,37.36,1700000,,RPOQMLTJLHGGFCB67CB
西屯區,房地(土地+建物)+車位,中和段271~300地號,14.44,住,,,1100121,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.42,2,1,1,有,無,11880000,108317,坡道平面,37.36,1800000,,RPORMLTJLHGGFCB77CB
西屯區,房地(土地+建物)+車位,中和段271~300地號,19.58,住,,,1100126,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.91,3,2,2,有,無,15790000,112226,坡道平面,37.36,1700000,,RPRRMLTJLHGGFCB08CB
西屯區,房地(土地+建物),中和段271~300地號,18.63,商,,,1100203,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,108.85,0,0,0,無,無,19400000,178227,,0.0,0,,RPTRMLTJLHGGFCB28CB
西屯區,房地(土地+建物)+車位,中和段271~300地號,14.58,住,,,1100221,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.85,2,1,1,有,無,12400000,116590,坡道平面,37.36,1500000,,RPURMLTJLHGGFCB38CB
