鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺中市北區東光東街1~30號,17.49,住,,,1100205,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801024,114.87,3,1,2,有,有,有,11700,102,,0.0,0,,RPWOMLMJLHGGFBB57CC
北區,建物,臺中市北區育樂街31~60號,0.0,商,,,1100226,土地0建物1車位0,七層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080513,93.65,2,2,1,有,無,有,21000,224,,0.0,0,108年度台中市政府包租代管計畫,RPXOMLMJLHGGFBB67CC
北屯區,房地(土地+建物)+車位,臺中市北屯區景和街331~360號,26.11,住,,,1100221,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040205,139.94,3,2,2,有,有,有,25000,179,坡道平面,22.6,0,,RPPPMLMJLHGGFBB96CC
北區,建物,臺中市北區山西路一段61~90號,0.0,住,,,1100222,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880624,52.05,1,1,1,有,無,有,14000,269,,0.0,0,108年度台中市政府包租代管計畫,RPUPMLMJLHGGFBB47CC
北區,建物,臺中市北區中正路361~390號,0.0,商,,,1100225,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840412,30.25,1,0,1,有,無,有,7800,258,,0.0,0,108年度台中市政府包租代管計畫,RPXPMLMJLHGGFBB77CC
北區,建物,臺中市北區臺灣大道一段631~660號,0.0,商,,,1100225,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840412,92.55000000000001,2,2,1,有,無,有,18000,194,,0.0,0,108年度台中市政府包租代管計畫,RPOQMLMJLHGGFBB96CC
北屯區,建物,臺中市北屯區太順路121~150號,0.0,住,,,1100206,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070427,110.64,2,2,1,有,有,有,17000,154,坡道機械,20.66,0,,RPPSMLMJLHGGFBB27CC
南屯區,房地(土地+建物)+車位,臺中市南屯區文心路一段301~330號,16.48,住,,,1100205,土地1建物2車位1,七層,13,辦公商業大樓,商業用,鋼筋混凝土造,0830120,149.24,0,0,0,無,有,有,33000,221,坡道機械,0.0,0,,RPTOMLMJLHGGFCB37CC
西屯區,房地(土地+建物),臺中市西屯區市政北二路271~300號,16.08,其他,,,1100208,土地1建物1車位0,十一層,35,辦公商業大樓,見其他登記事項,見其他登記事項,1070131,256.02,0,0,0,無,有,有,73500,287,,0.0,0,,RPUOMLMJLHGGFCB47CC
西屯區,房地(土地+建物),臺中市西屯區漢口路二段121~150號,41.42,住,,,1100209,土地1建物1車位0,十一層,12,辦公商業大樓,商業用,鋼筋混凝土造,0780301,342.74,0,0,0,無,有,有,65000,190,,0.0,0,,RPSPMLMJLHGGFCB37CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段751~780號,23.61,住,,,1100209,土地1建物1車位1,十層,13,辦公商業大樓,商業用,鋼筋混凝土造,0810331,226.64,0,0,0,無,有,有,35000,154,坡道機械,0.0,0,,RPUPMLMJLHGGFCB57CC
南屯區,房地(土地+建物),臺中市南屯區南屯區嶺東南路151~180號,14.19,住,,,1100205,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090814,96.98,3,1,1,有,有,無,19000,196,,0.0,0,,RPORMLMJLHGGFCB17CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道二段871~900號,7.16,住,,,1100205,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951124,80.36,2,1,1,有,有,有,19000,236,,0.0,0,,RPPRMLMJLHGGFCB27CC
南屯區,房地(土地+建物),臺中市南屯區大進街481~510號,171.0,住,,,1100223,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0760902,268.28,0,0,0,無,無,有,70000,261,,0.0,0,113年05月01日起至115年04月30日止，租金調整為73500元/月,RPQRMLMJLHGGFCB37CC
西屯區,房地(土地+建物),臺中市西屯區朝馬五街1~30號,78.02,住,,,1100223,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0870907,209.24,5,1,3,有,無,有,45000,215,,0.0,0,,RPURMLMJLHGGFCB77CC
西屯區,建物,臺中市西屯區福星路181~210號,0.0,住,,,1100206,土地0建物1車位0,見其他登記事項,14,店面(店鋪),住商用,鋼筋混凝土造,0801120,181.39000000000001,3,2,3,有,有,有,35000,193,,0.0,0,含增建或未登記建物。；租期內含免租裝潢期。,RPVSMLMJLHGGFCB97CC
大雅區,房地(土地+建物)+車位,臺中市大雅區中山北路421~450號,61.86,住,,,1100228,土地2建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830412,233.64,3,2,2,有,有,有,16000,68,坡道機械,0.0,0,含管理費,RPQNMLMJLHGGFHB47CC
