編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLNLLHGGFBC47DA,39,66.93,住家用,鋼筋混凝土造,70年11月9日,五層,三層
RPXNMLMKLHGGFBC67DA,36,48.93,商業用,鋼筋混凝土造,74年8月22日,五層,一層 騎樓
RPXNMLPLLHGGFBC08DA,25,55.11,住家用,鋼筋混凝土造,84年11月11日,五層,五層
RPPPMLRKLHGGFBC57DA,38,102.57,住家用,鋼筋混凝土造,71年10月30日,五層,五層
RPXNMLPLLHGGFBC08DA,25,1.96,共用部份,鋼筋混凝土造,84年11月11日,五層,
RPROMLTLLHGGFBC97DA,40,58.52,商業用,鋼筋混凝土造,69年10月14日,四層,一層
RPQOMLTLLHGGFBC87DA,32,132.14,住家用,加強磚造,78年7月3日,二層,一層 二層
RPWNMLKMLHGGFBC57DA,25,31.78,住家用,鋼筋混凝土造,85年4月26日,十六層,三層
RPWNMLKMLHGGFBC57DA,25,6.02,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPWNMLKMLHGGFBC57DA,25,3.75,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPPNMLTLLHGGFBC67DA,12,.02,住家用,鋼筋混凝土造,97年12月26日,六層,六層
RPPNMLTLLHGGFBC67DA,12,.76,共用部份,鋼筋混凝土造,97年12月26日,六層,
RPPNMLTLLHGGFBC67DA,12,55.93,住家用,鋼筋混凝土造,98年2月9日,六層,二層
RPPNMLTLLHGGFBC67DA,12,10.19,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPPNMLTLLHGGFBC67DA,12,6.67,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPPNMLTLLHGGFBC67DA,12,.01,見其他登記事項,鋼筋混凝土造,98年2月9日,六層,地下一層
RPPNMLTLLHGGFBC67DA,12,.10,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPPNMLTLLHGGFBC67DA,12,1.79,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPOOMLPLKHGGFCC27DA,41,93.15,住家用,鋼筋混凝土造,69年7月17日,四層,四層
RPWNMLOLLHGGFCC97DA,33,.04,共用部份,鋼筋混凝土造,76年12月24日,五層,
RPWNMLOLLHGGFCC97DA,33,121.45,住家用,鋼筋混凝土造,76年12月24日,五層,二層
RPWNMLOLLHGGFCC97DA,33,7.03,共用部份,鋼筋混凝土造,76年12月24日,五層,
RPVNMLPLLHGGFCC97DA,36,116.01,住家用,鋼筋混凝土造,73年9月18日,五層,五層
RPVNMLPLLHGGFCC97DA,36,2.74,共用部份,鋼筋混凝土造,73年9月18日,五層,
RPOOMLKMLHGGFBC86DA,25,94.81,住家用,鋼筋混凝土造,84年11月16日,五層,五層
RPOOMLKMLHGGFBC86DA,25,38.87,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPPOMLKMLHGGFBC96DA,46,62.40,住家用,鋼筋混凝土加強磚造,63年11月11日,四層,三層
RPPOMLTLLHGGFBC77DA,31,115.20,住家用,鋼筋混凝土造,78年10月18日,四層,三層
RPPOMLTLLHGGFBC77DA,31,3.36,共用部份,鋼筋混凝土造,78年10月18日,四層,
RPUNMLOLLHGGFBC67DA,44,69.44,住家用,鋼筋混凝土加強磚造,66年8月23日,四層,二層
RPQNMLQJLHGGFBC27DA,,100.48,見其他登記事項,鋼筋混凝土造,109年5月13日,九層,六層
RPQNMLQJLHGGFBC27DA,,21.63,見其他登記事項,鋼筋混凝土造,109年5月13日,九層,
RPQNMLQJLHGGFBC27DA,,62.11,見其他登記事項,鋼筋混凝土造,109年5月13日,九層,
RPXNMLNLLHGGFBC87DA,38,144.63,辦公室,鋼筋混凝土造,72年5月30日,十一層,四層
RPXNMLNLLHGGFBC87DA,38,18.01,共用部份,鋼筋混凝土造,72年5月30日,十一層,
RPXNMLNLLHGGFBC87DA,38,12.63,共用部份,鋼筋混凝土造,72年5月30日,十一層,
RPXNMLNLLHGGFBC87DA,38,14.18,共用部份,鋼筋混凝土造,72年5月30日,十一層,
RPSNMLQJLHGGFBC47DA,,65.78,見其他登記事項,鋼筋混凝土造,109年5月13日,九層,三層
RPSNMLQJLHGGFBC47DA,,12.67,見其他登記事項,鋼筋混凝土造,109年5月13日,九層,
RPSNMLQJLHGGFBC47DA,,17.83,見其他登記事項,鋼筋混凝土造,109年5月13日,九層,
RPROMLQLLHGGFCC77DA,30,22.59,防空避難兼停車場,鋼筋混凝土造,80年8月26日,十七層,地下二層
RPPNMLKMLHGGFCC96DA,7,105.69,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,八層
RPPNMLKMLHGGFCC96DA,7,19.67,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,
RPPNMLKMLHGGFCC96DA,7,34.66,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,
RPPNMLKMLHGGFCC96DA,7,25.04,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,
RPQNMLKMLHGGFCC07DA,12,126.13,見其他登記事項,鋼筋混凝土造,98年7月16日,九層,二層
RPQNMLKMLHGGFCC07DA,12,66.76,見其他登記事項,鋼筋混凝土造,98年7月16日,十一層,
RPQOMLKMLHGGFCC17DA,40,133.10,住家用,鋼筋混凝土造,70年5月18日,四層,四層
RPQNMLKMLHGGFBC07EA,37,96.98,住家用,鋼筋混凝土造,73年8月13日,五層,五層
RPOOMLTLLHGGFCC77DA,5,46.87,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,十一層
RPOOMLTLLHGGFCC77DA,5,60.51,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,
RPWNMLKMLHGGFCC67DA,45,75.87,住家用,鋼筋混凝土加強磚造,64年12月22日,四層,三層
RPPNMLKMLHGGFCC07EA,33,117.95,住家用,鋼筋混凝土造,77年1月20日,五層,三層
RPXNMLKMLHGGFCC77DA,45,58.25,住家用,加強磚造,65年4月21日,二層,二層
RPPNMLLJMHGGFCC96EA,60,26.98,住家用,磚造,,一層,一層
RPPNMLKMLHGGFBC86DA,3,62.73,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,七層
RPPNMLKMLHGGFBC86DA,3,31.89,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPUOMLMKLHGGFBC47DA,39,71.19,住家用,鋼筋混凝土造,70年12月14日,五層,二層
RPPOMLRKLHGGFBC47DA,27,104.89,住家用,鋼筋混凝土造,83年4月29日,七層,七層
RPPOMLRKLHGGFBC47DA,27,13.68,共用部份,鋼筋混凝土造,83年4月29日,七層,
RPPOMLRKLHGGFBC47DA,27,15.00,共用部份,鋼筋混凝土造,83年4月29日,七層,
RPVNMLSKLHGGFBC08DA,26,107.93,住家用,鋼筋混凝土造,84年5月25日,七層,二層
RPVNMLSKLHGGFBC08DA,26,20.92,共用部份,鋼筋混凝土造,84年5月25日,七層,
RPOOMLPLLHGGFBC27DA,25,47.73,住家用,鋼筋混凝土造,85年3月9日,十五層,二層
RPOOMLPLLHGGFBC27DA,25,47.73,住家用,鋼筋混凝土造,85年3月9日,十五層,二層
RPOOMLPLLHGGFBC27DA,25,8.47,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPOOMLPLLHGGFBC27DA,25,8.47,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPQNMLSLLHGGFBC67DA,44,83.49,住家用,鋼筋混凝土加強磚造,66年8月23日,五層,五層
RPUNMLTLLHGGFBC18DA,24,76.76,住家用,鋼筋混凝土造,85年11月29日,二十三層,三層
RPUNMLTLLHGGFBC18DA,24,10.41,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPUNMLTLLHGGFBC18DA,24,4.02,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPUNMLTLLHGGFBC18DA,24,6.25,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPVNMLTLLHGGFBC28DA,29,84.00,住家用,鋼筋混凝土造,81年1月7日,五層,四層
RPWNMLKKLHGGFBC37DA,2,93.61,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,八層
RPWNMLKKLHGGFBC37DA,2,17.53,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPWNMLKKLHGGFBC37DA,2,43.54,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPXNMLNJLHGGFBC67DA,34,64.35,集合住宅,鋼筋混凝土造,75年10月13日,五層,三層
RPXNMLNJLHGGFBC67DA,34,5.02,共用部份,鋼筋混凝土造,75年10月13日,五層,
RPXNMLOLLHGGFCC08DA,26,97.00,住家用,鋼筋混凝土造,84年1月17日,五層,三層
RPXNMLOLLHGGFCC08DA,26,23.31,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPXNMLOLLHGGFCC08DA,26,2.91,壹層：辦公室．超級市場；貳層至肆層：辦公室,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPXNMLSKLHGGFBC28DA,49,67.31,住家用,鋼筋混凝土加強磚造,60年12月31日,四層,四層
RPOOMLNLLHGGFBC07DA,26,90.34,住家用,鋼筋混凝土造,83年11月8日,五層,五層
RPOOMLNLLHGGFBC07DA,26,2.12,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPOOMLOLLHGGFCC27DA,39,43.73,住家用,鋼筋混凝土造,71年2月13日,五層,五層
RPOOMLOLLHGGFCC27DA,39,43.73,住家用,鋼筋混凝土造,71年2月13日,五層,五層
