交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,基隆市中正區調和街271~300號,1060110,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),0,154.68,3,2,2,有,有,9060000,59649,900000,001
房地(土地+建物)+車位,調和街271~300號,1100310,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),2,154.68,3,2,2,有,有,9500000,61417,0,001
房地(土地+建物),基隆市信義區東信路61~90號,1031101,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),33,66.93,3,1,1,有,無,2500000,37352,0,002
房地(土地+建物),基隆市信義區東信路61~90號,1060701,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),36,66.93,3,1,1,有,無,2700000,40341,0,002
房地(土地+建物),東信路61~90號,1091201,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),39,66.93,3,1,1,有,無,3000000,44823,0,002
房地(土地+建物),基隆市中正區中船路112巷30弄1~30號,1051206,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),21,57.07,1,1,1,有,無,1500000,26284,0,003
房地(土地+建物),中船路112巷30弄1~30號,1100206,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),25,57.07,0,0,0,無,無,1300000,22779,0,003
房地(土地+建物),基隆市中正區新豐街303巷14弄1~30號,1031022,土地1建物1車位0,全,二層,透天厝,25,132.14,4,2,2,有,無,6500000,49190,0,004
房地(土地+建物),新豐街303巷14弄1~30號,1100222,土地1建物1車位0,全,二層,透天厝,32,132.14,5,2,4,有,無,9350000,70758,0,004
房地(土地+建物),基隆市信義區深澳坑路1~30號,1070619,土地4建物1車位0,三層,十六層,套房(1房1廳1衛),22,41.54,1,1,1,有,有,1150000,27684,0,005
房地(土地+建物),深澳坑路1~30號,1100319,土地4建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),25,41.54,1,1,1,有,有,1750000,42128,0,005
房地(土地+建物),基隆市中正區豐稔街87巷31~60號,1031005,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),40,62.4,3,2,1,有,無,1300000,20833,0,006
房地(土地+建物),豐稔街87巷31~60號,1100305,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),46,62.4,3,2,1,有,無,2100000,33654,0,006
房地(土地+建物),基隆市信義區深澳坑路1~30號,1041206,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),26,118.56,3,2,2,有,無,2130000,17966,0,007
房地(土地+建物),深澳坑路1~30號,1100306,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),31,118.56,5,3,4,有,無,4950000,41751,0,007
房地(土地+建物),基隆市仁愛區愛三路61~90號,1030404,土地10建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),31,189.45,0,0,0,無,有,9500000,50145,0,008
房地(土地+建物),基隆市仁愛區愛三路61~90號,1081004,土地10建物1車位0,四層,十一層,辦公商業大樓,36,189.45,0,0,0,無,有,15600000,82344,0,008
房地(土地+建物),愛三路61~90號,1100304,土地10建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),38,189.45,0,0,0,無,有,11800000,62286,0,008
車位,基隆市安樂區樂利三街181~210號,1020520,土地0建物0車位1,地下二層,十七層,住宅大樓(11層含以上有電梯),22,22.59,0,0,0,有,有,600000,,600000,009
車位,基隆市安樂區樂利三街181~210號,1060220,土地0建物0車位1,地下二層,十七層,其他,25,22.59,0,0,0,有,有,550000,,550000,009
車位,基隆市安樂區樂利三街181~210號,1070720,土地0建物0車位1,地下二層,十七層,其他,27,22.59,0,0,0,有,有,500000,,500000,009
車位,樂利三街181~210號,1100320,土地7建物1車位1,地下二層,十七層,其他,30,22.59,0,0,0,有,有,500000,,500000,009
車位,樂利三街181~210號,1100320,土地7建物1車位1,地下二層,十七層,其他,30,22.59,0,0,0,有,有,550000,,550000,009
房地(土地+建物)+車位,基隆市暖暖區暖暖里暖暖街281巷1~30號,1020816,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),0,185.05,3,2,2,有,有,9580000,56387,1100000,010
房地(土地+建物)+車位,暖暖街281巷1~30號,1100316,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),7,185.05,3,1,2,有,有,12000000,64847,0,010
土地,成功段451~480地號,1080107,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,2500000,25030,0,011
土地,成功段451~480地號,1100207,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,25030,0,011
房地(土地+建物),基隆市信義區正信路1~30號,1051013,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),32,96.98,8,8,8,有,無,4400000,45370,0,012
房地(土地+建物),正信路1~30號,1100313,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),37,96.98,8,0,8,有,無,4000000,41246,0,012
房地(土地+建物)+車位,基隆市暖暖區源遠路391~420號,1021023,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),0,107.38,2,1,1,有,無,4650000,52127,950000,013
房地(土地+建物)+車位,源遠路391~420號,1100223,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),5,107.38,2,1,1,有,有,5500000,51220,0,013
房地(土地+建物),基隆市信義區深溪路38巷1~30號,1050215,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),0,94.62,3,1,1,有,有,5380000,56859,0,014
房地(土地+建物),深溪路38巷1~30號,1090715,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),3,94.62,3,1,1,有,有,6600000,69753,0,014
房地(土地+建物),深溪路38巷1~30號,1100315,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),3,94.62,3,1,1,有,有,6700000,70810,0,014
房地(土地+建物),基隆市信義區東信路121~150號,1040621,土地4建物2車位0,二層,五層,公寓(5樓含以下無電梯),34,144.0,4,2,2,有,無,5000000,34722,0,015
房地(土地+建物),東信路121~150號,1091021,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),39,71.19,2,1,1,有,無,3000000,42141,0,015
房地(土地+建物),東信路121~150號,1100221,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),39,71.19,3,2,1,有,無,3100000,43545,0,015
房地(土地+建物),基隆市信義區深溪路36巷70弄1~30號,1041011,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),20,128.85000000000002,4,2,2,有,有,4100000,31820,0,016
房地(土地+建物),深溪路36巷70弄1~30號,1100211,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),26,128.85000000000002,4,2,2,有,有,5150000,39969,0,016
房地(土地+建物),基隆市仁愛區自來街13巷1~30號,1021209,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),36,83.49,3,1,1,有,無,1600000,19164,0,017
