編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXNMLMKLHGGFBC67DA,光明段,12.40,都市：其他:住宅區,10,1,持分移轉
RPTNMLNLLHGGFBC47DA,光明段,20.00,都市：其他:住宅區,10,2,持分移轉
RPXNMLPLLHGGFBC08DA,港灣段三小段,16.80,都市：其他:住宅區,5,1,持分移轉
RPPPMLRKLHGGFBC57DA,東明段,9.20,都市：其他:道路用地,25,1,持分移轉
RPPPMLRKLHGGFBC57DA,東明段,30.92,都市：其他:住宅區,25,1,持分移轉
RPROMLTLLHGGFBC97DA,福祿段,18.79,都市：其他:住宅區,21726,639,持分移轉
RPQOMLTLLHGGFBC87DA,調和段,91.47,都市：其他:住宅區(住二),1000,35,持分移轉
RPWNMLKMLHGGFBC57DA,深美段,6.89,都市：其他:住宅區(住四),50000,35,持分移轉
RPWNMLKMLHGGFBC57DA,深美段,.04,都市：其他:保護區,50000,35,持分移轉
RPWNMLKMLHGGFBC57DA,深美段,.36,都市：其他:住宅區(住三),50000,35,持分移轉
RPWNMLKMLHGGFBC57DA,祥豐段,.06,都市：其他:住宅區(住四),50000,35,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,.08,都市：其他:住宅區(住一),10000,2,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,19.37,都市：其他:住宅區(住一),10000,307,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,.66,都市：其他:住宅區(住一),10000,2,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,.12,都市：其他:住宅區(住一),10000,2,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,.08,都市：其他:住宅區(住一),10000,2,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,.39,都市：其他:住宅區(住一),10000,2,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,12.55,都市：其他:住宅區(住一),10000,307,持分移轉
RPPNMLTLLHGGFBC67DA,調和段,18.87,都市：其他:住宅區(住一),10000,307,持分移轉
RPOOMLPLKHGGFCC27DA,德育段,37.76,都市：其他:住宅區(住三),16,1,持分移轉
RPOOMLPLKHGGFCC27DA,德育段,1.37,都市：其他:道路用地,16,1,持分移轉
RPWNMLOLLHGGFCC97DA,安國段,27.79,都市：其他:商業區,10000,211,持分移轉
RPVNMLPLLHGGFCC97DA,仁德段,29.58,都市：其他:住宅區(住二),500,7,持分移轉
RPVNMLPLLHGGFCC97DA,仁德段,.02,都市：其他:道路用地,60,1,持分移轉
RPVNMLPLLHGGFCC97DA,仁德段,5.43,都市：其他:住宅區(住二),500,7,持分移轉
RPVNMLPLLHGGFCC97DA,仁德段,2.56,都市：其他:道路用地,500,7,持分移轉
RPVNMLPLLHGGFCC97DA,仁德段,.20,都市：其他:道路用地,60,1,持分移轉
RPVNMLPLLHGGFCC97DA,仁德段,1.90,都市：其他:住宅區(住二),60,1,持分移轉
RPOOMLKMLHGGFBC86DA,光明段,36.78,都市：其他:住宅區,10000,29,持分移轉
RPOOMLKMLHGGFBC86DA,光明段,.03,都市：其他:機關用地,10000,29,持分移轉
RPOOMLKMLHGGFBC86DA,光明段,.20,都市：其他:機關用地,10000,29,持分移轉
RPOOMLKMLHGGFBC86DA,光明段,.04,都市：其他:機關用地,10000,29,持分移轉
RPOOMLKMLHGGFBC86DA,光明段,.09,都市：其他:道路用地,10000,29,持分移轉
RPOOMLKMLHGGFBC86DA,光明段,.05,都市：其他:機關用地,10000,29,持分移轉
RPPOMLKMLHGGFBC96DA,祥豐段,23.00,都市：其他:住宅區(住一),4,1,持分移轉
RPPOMLTLLHGGFBC77DA,深美段,36.98,都市：其他:住宅區(住四),10000,587,持分移轉
RPUNMLOLLHGGFBC67DA,成功段,14.60,都市：其他:住宅區,5,1,持分移轉
RPUNMLOLLHGGFBC67DA,成功段,4.40,都市：其他:道路用地,5,1,持分移轉
RPUNMLOLLHGGFBC67DA,成功段,2.20,都市：其他:道路用地,5,1,持分移轉
RPUNMLOLLHGGFBC67DA,成功段,1.60,都市：其他:道路用地,5,1,持分移轉
RPQNMLQJLHGGFBC27DA,福祿段,44.91,都市：其他:住宅區,100000,516,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,.60,都市：其他:商業區(商四),42000,214,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,1.95,都市：其他:商業區(商四),42000,344,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,.19,都市：其他:商業區(商四),20000,218,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,1.14,都市：其他:商業區(商四),20000,322,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,.25,都市：其他:商業區(商四),42000,542,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,2.18,都市：其他:商業區(商四),42000,542,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,.28,都市：其他:商業區(商四),42000,618,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,4.25,都市：其他:商業區(商四),42000,628,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,.25,都市：其他:商業區(商四),42000,542,持分移轉
RPXNMLNLLHGGFBC87DA,中央段二小段,4.09,都市：其他:商業區(商四),42000,542,持分移轉
RPSNMLQJLHGGFBC47DA,福祿段,29.94,都市：其他:住宅區,100000,344,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.44,都市：其他:住宅區(住二),100000000,10000,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.00,都市：其他:停車場用地,100000000,10000,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.00,都市：其他:住宅區(住二),100000000,10000,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.08,都市：其他:道路用地,100000000,10000,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.01,都市：其他:機關用地,100000000,10000,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.00,都市：其他:車站用地,100000000,10000,持分移轉
RPROMLQLLHGGFCC77DA,新城段,.00,都市：其他:道路用地,100000000,10000,持分移轉
RPPNMLKMLHGGFCC96DA,暖暖段暖暖小段,34.91,都市：其他:住宅區(住三),100000,1198,持分移轉
RPQNMLKMLHGGFCC07DA,源遠段,61.47,都市：其他:住宅區(住三),100000,442,持分移轉
RPQNMLKMLHGGFCC07DA,源遠段,.13,都市：其他:道路用地,100000,442,持分移轉
RPQOMLKMLHGGFCC17DA,五堵段五堵北小段,51.00,都市：其他:住宅區,4,1,持分移轉
RPPNMLKMLHGGFBC96EA,成功段,41.82,都市：其他:道路用地,6000,2436,持分移轉
RPPNMLKMLHGGFBC96EA,成功段,58.06,都市：其他:住宅區,6000,2436,持分移轉
RPQNMLKMLHGGFBC07EA,福祿段,29.52,都市：其他:住宅區,10000,231,持分移轉
RPOOMLTLLHGGFCC77DA,源遠段,14.07,都市：其他:住宅區(住三),100000,402,持分移轉
RPWNMLKMLHGGFCC67DA,大華段,24.75,都市：其他:商業區(商三),4,1,持分移轉
RPPNMLKMLHGGFCC07EA,德育段,31.80,都市：其他:住宅區(住三),10,1,持分移轉
RPXNMLKMLHGGFCC77DA,源遠段,30.00,都市：其他:住宅區(住三),2,1,持分移轉
RPXNMLKMLHGGFCC77DA,源遠段,9.00,都市：其他:道路用地,2,1,持分移轉
RPPNMLKMLHGGFBC86DA,深澳段,27.99,都市：其他:住宅區(住四),100000,177,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,1034.27,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,282.36,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,656.73,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,60.45,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,495.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,138.45,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,93.91,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,22.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,87.73,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,22.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,52.41,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,28.23,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
RPPNMLLMLHGGFCC17EA,瑪陵坑段西勢面桶寮小段,98.95,非都市：山坡地保育區 ; 非都市編定：農牧用地,132,6,持分移轉
