編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLKMLHGGFBC86DA,坡道平面,0,,
RPQNMLQJLHGGFBC27DA,坡道平面,900000,35.43,
RPROMLQLLHGGFCC77DA,坡道機械,550000,22.59,
RPPNMLKMLHGGFCC96DA,坡道平面,0,34.66,
RPQNMLKMLHGGFCC07DA,坡道平面,0,,
RPOOMLTLLHGGFCC77DA,坡道平面,0,36.40,
RPWNMLKKLHGGFBC37DA,坡道平面,0,17.88,
RPUOMLPLLHGGFCC97DA,坡道平面,0,,
RPSNMLLJMHGGFBC07DA,坡道機械,800000,,
RPVNMLPLKHGGFBC77DA,坡道平面,0,,
RPWOMLTLLHGGFBC48DA,坡道平面,1200000,35.96,
RPUOMLTLLHGGFBC28DA,坡道平面,1200000,35.96,
RPVOMLTLLHGGFBC38DA,坡道平面,950000,31.21,
RPXOMLTLLHGGFBC58DA,坡道平面,1200000,35.96,
RPOPMLTLLHGGFBC77DA,坡道平面,1200000,35.96,
RPPNMLLLLHGGFBC86DA,坡道平面,600000,41.37,
RPUNMLTLLHGGFCC28DA,坡道平面,0,36.40,
RPVNMLTLLHGGFCC38DA,坡道平面,0,19.94,
RPTNMLTLLHGGFCC18DA,坡道平面,0,13.47,
RPOOMLLMLHGGFCC07DA,坡道機械,0,,
RPRNMLLJMHGGFBC07EA,坡道平面,580000,43.43,
RPSOMLKMLHGGFCC37DA,坡道平面,1300000,27.47,
RPTOMLKMLHGGFCC47DA,坡道平面,1300000,27.47,
RPPOMLTLLHGGFCC87DA,坡道平面,1300000,27.47,
RPUPMLQJMHGGFCC08DA,坡道平面,0,,
RPQNMLLLLHGGFBC96DA,坡道平面,750000,41.37,
RPVNMLTJLHGGFBC08DA,升降機械,1100000,10.64,
RPSNMLLLLHGGFBC17DA,坡道平面,750000,41.37,
RPTNMLLLLHGGFBC27DA,坡道平面,750000,41.37,
RPQNMLRJMHGGFCC67EA,坡道平面,0,32.04,
RPTOMLTLLHGGFBC18DA,坡道平面,580000,43.43,
RPPNMLPJMHGGFBC17DA,坡道機械,0,,
RPXNMLMLLHGGFCC87DA,坡道平面,0,15.87,
