編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLSJLHGGFBC18CC,中正段三小段,.00,都市：住,,,
RPXOMLQJLHGGFBC18CC,調和段,.00,都市：其他:部份道路用地
部份住宅區(住二),,,
RPOOMLSJLHGGFCC57CC,源遠段,.00,都市：住,,,
RPQOMLSJLHGGFCC77CC,西定段,.00,都市：住,,,
RPTQMLOJLHGGFCC87CC,安國段,1495.00,都市：住,,,
RPTQMLOJLHGGFCC87CC,安國段,278.00,都市：住,,,
RPTQMLOJLHGGFCC87CC,安國段,125.00,都市：其他:道路用地,,,
RPTQMLOJLHGGFCC87CC,安國段,293.00,都市：其他:保護區,,,
RPTQMLOJLHGGFCC87CC,安國段,160.00,都市：住,,,
RPTQMLOJLHGGFCC87CC,安國段,10.00,都市：其他:公園用地,,,
RPTQMLOJLHGGFCC87CC,安國段,21.00,都市：其他:公園用地,,,
RPPOMLSJLHGGFCC67CC,德育段,.00,都市：住,,,
RPTOMLKKLHGGFBC27CC,海濱段一小段,.00,都市：商,,,
RPTOMLKKLHGGFBC27CC,海濱段一小段,.00,都市：商,,,
RPVNMLSJLHGGFCC18CC,安國段,28.26,都市：住,,,
