鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北區,房地(土地+建物)+車位,北園街8巷1~30號,12.41,都市：其他:商業區,,,1100217,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0961227,158.18,3,2,2,有,有,7500000,48773,坡道平面,24.91,1000000,,RPSOMLRKKHGGFAD67DA,82.04,1.0,11.57,有,
中西區,房地(土地+建物),赤嵌街1~30號,5.24,都市：其他:商業區,,,1100206,土地1建物1車位0,六層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790226,29.740000000000002,1,1,1,有,有,2060000,69267,,0.0,0,,RPORMLNLKHGGFAD27DA,25.62,0.0,0.0,無,001
中西區,土地,頂美段2671~2700地號,105.96,都市：其他:住宅區,,,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11217500,105865,,0.0,0,,RPROMLOJLHGGFAD27DA,0.0,0.0,0.0,無,002
安平區,房地(土地+建物),建平一街238巷1~30號,21.05,都市：其他:住宅區,,,1100222,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831107,98.49000000000001,3,1,2,有,有,4300000,43659,,0.0,0,,RPVNMLQKLHGGFAD87DA,67.76,0.99,9.06,有,
安平區,土地,金城段61~90地號,1651.0,都市：其他:住宅區,,,1091230,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,274686500,166376,,0.0,0,,RPSOMLMLLHGGFAD37DA,0.0,0.0,0.0,無,
北區,房地(土地+建物)+車位,開元路485巷1~30號,9.75,都市：其他:商業區,,,1100307,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0880401,94.42,2,2,2,有,有,5650000,59839,坡道機械,13.17,0,,RPWOMLNLLHGGFAD87DA,59.71,0.0,6.3,有,003
中西區,房地(土地+建物),中成路1~30號,2.97,都市：其他:商業區,,,1100320,土地1建物1車位0,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860127,38.010000000000005,1,1,1,有,有,1200000,31571,,0.0,0,,RPUOMLOLLHGGFAD77DA,21.39,0.0,5.39,有,
安平區,房地(土地+建物),育平五街1~30號,33.11,都市：其他:住宅區,,,1100303,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800128,118.07000000000001,3,2,2,有,有,3600000,30490,,0.0,0,,RPOPMLOLLHGGFAD27DA,91.43,0.0,9.86,無,
北區,房地(土地+建物),大興街285巷1~30號,106.02,都市：其他:商業區,,,1100226,土地1建物1車位0,全,四層,透天厝,店舖、住宅,ＲＣ造,0930223,203.54,6,2,3,有,無,15000000,73696,,0.0,0,其他增建；,RPWNMLPLLHGGFAD97DA,180.6,0.0,22.94,無,004
安平區,房地(土地+建物),慶平路391~420號,90.0,都市：其他:商業區,,,1100206,土地1建物1車位0,全,四層,透天厝,住宅、停車空間,鋼筋混凝土造,0960612,312.93,4,2,3,有,無,26680000,85259,,0.0,0,頂樓加蓋；其他增建；,RPSOMLTLLHGGFAD08DA,307.14,2.87,2.92,有,
