編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPORMLNLKHGGFAD27DA,31,4.12,共有部分,鋼筋混凝土造,79年2月26日,七層,
RPORMLNLKHGGFAD27DA,31,25.62,住家用,鋼筋混凝土造,79年2月26日,七層,六層
RPWOMLNLLHGGFAD87DA,22,19.16,共有部分,鋼筋混凝土造,88年4月1日,十四層,
RPWOMLNLLHGGFAD87DA,22,9.25,共有部分,鋼筋混凝土造,88年4月1日,十四層,
RPWOMLNLLHGGFAD87DA,22,66.01,見其他登記事項,鋼筋混凝土造,88年4月1日,十四層,十層
RPSOMLRKKHGGFAD67DA,13,94.61,見其他登記事項,鋼筋混凝土造,96年12月27日,十九層,八層
RPSOMLRKKHGGFAD67DA,13,63.57,共有部分,鋼筋混凝土造,96年12月27日,十九層,
RPOPMLOLLHGGFAD27DA,30,101.29,住家用,鋼筋混凝土造,80年1月28日,五層,五層
RPOPMLOLLHGGFAD27DA,30,7.66,共有部分,鋼筋混凝土造,80年1月28日,五層,
RPOPMLOLLHGGFAD27DA,30,9.12,共有部分,鋼筋混凝土造,80年1月28日,五層,
RPVNMLQKLHGGFAD87DA,26,38.91,住家用,鋼筋混凝土造,83年11月7日,六層,四層
RPVNMLQKLHGGFAD87DA,26,38.91,住家用,鋼筋混凝土造,83年11月7日,六層,四層
RPVNMLQKLHGGFAD87DA,26,10.34,共有部分,鋼筋混凝土造,83年11月7日,六層,
RPVNMLQKLHGGFAD87DA,26,10.34,共有部分,鋼筋混凝土造,83年11月7日,六層,
RPWNMLPLLHGGFAD97DA,17,203.54,見其他登記事項,見其他登記事項,93年2月23日,四層,一層 二層 三層 四層 見其他登記事項
RPUOMLOLLHGGFAD77DA,24,5.11,共有部分,鋼筋混凝土造,86年1月27日,二十層,
RPUOMLOLLHGGFAD77DA,24,3.88,共有部分,鋼筋混凝土造,86年1月27日,二十層,
RPUOMLOLLHGGFAD77DA,24,2.24,共有部分,鋼筋混凝土造,86年1月27日,二十層,
RPUOMLOLLHGGFAD77DA,24,26.78,住家用,鋼筋混凝土造,86年1月27日,二十層,六層
RPSOMLTLLHGGFAD08DA,14,156.47,見其他登記事項,鋼筋混凝土造,96年6月12日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPSOMLTLLHGGFAD08DA,14,156.47,見其他登記事項,鋼筋混凝土造,96年6月12日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPOPMLTLLHGGFAD77DA,4,178.64,見其他登記事項,見其他登記事項,106年8月17日,二十五層,二十二層
RPOPMLTLLHGGFAD77DA,4,107.17,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPOPMLTLLHGGFAD77DA,4,35.01,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPPPMLTLLHGGFAD87DA,4,176.05,見其他登記事項,見其他登記事項,106年8月17日,二十五層,二十一層
RPPPMLTLLHGGFAD87DA,4,106.58,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPPPMLTLLHGGFAD87DA,4,34.31,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPPOMLKMLHGGFAD96DA,4,274.87,見其他登記事項,見其他登記事項,106年7月6日,二十一層,二十一層
RPPOMLKMLHGGFAD96DA,4,181.43,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPPOMLKMLHGGFAD96DA,4,54.26,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
