交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),台南市中西區赤崁街1~30號,1020306,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),23,29.740000000000002,1,1,1,有,無,730000,24546,0,001
房地(土地+建物),臺南市中西區赤崁街1~30號,1050306,土地1建物1車位0,六層,七層,套房(1房1廳1衛),26,29.740000000000002,1,1,1,有,有,2000000,67249,0,001
房地(土地+建物),赤嵌街1~30號,1100206,土地1建物1車位0,六層,七層,公寓(5樓含以下無電梯),31,29.740000000000002,1,1,1,有,有,2060000,69267,0,001
土地,頂美段2671~2700地號,1090315,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2460000,105852,0,002
土地,頂美段2671~2700地號,1090715,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11217500,105865,0,002
房地(土地+建物)+車位,臺南市北區開元路485巷1~30號,1041007,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),17,94.42,2,2,2,有,有,3300000,34950,0,003
房地(土地+建物)+車位,開元路485巷1~30號,1090907,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),21,94.42,2,2,2,有,有,5200000,55073,0,003
房地(土地+建物)+車位,開元路485巷1~30號,1100307,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),22,94.42,2,2,2,有,有,5650000,59839,0,003
房地(土地+建物),臺南市北區大興街285巷1~30號,1021026,土地1建物1車位0,全,四層,透天厝,10,203.54,6,1,3,有,無,10500000,51587,0,004
房地(土地+建物),大興街285巷1~30號,1100226,土地1建物1車位0,全,四層,透天厝,17,203.54,6,2,3,有,無,15000000,73696,0,004
房地(土地+建物)+車位,臺南市北區育賢街61~90號,1070702,土地1建物1車位3,二十一層,二十一層,住宅大樓(11層含以上有電梯),1,510.56,4,2,5,有,有,39800000,77954,3100000,005
房地(土地+建物)+車位,育賢街61~90號,1100202,土地1建物1車位3,二十一層,二十一層,住宅大樓(11層含以上有電梯),4,510.56,4,2,5,有,有,39800000,77954,0,005
房地(土地+建物)+車位,臺南市安平區健康路三段331~360號,1060326,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),0,116.61,2,1,1,有,有,5530000,47423,800000,006
房地(土地+建物)+車位,健康路三段331~360號,1100226,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),4,116.61,2,1,1,有,有,6600000,56599,0,006
房地(土地+建物)+車位,臺南市東區東門路三段266巷1~30號,1070306,土地1建物1車位2,十三層,十三層,住宅大樓(11層含以上有電梯),0,221.21,4,2,2,有,有,11900000,56584,2700000,007
房地(土地+建物)+車位,東門路三段266巷1~30號,1100206,土地1建物1車位2,十三層,十三層,住宅大樓(11層含以上有電梯),2,221.21,4,2,2,有,有,13380000,60486,0,007
房地(土地+建物),金華路二段51巷91~120號,1090921,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),42,75.67,3,2,1,有,無,2850000,37664,0,008
房地(土地+建物),金華路二段51巷91~120號,1100221,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),43,75.67,3,2,2,有,無,5500000,72684,0,008
