編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPROMLOJLHGGFAD27DA,頂美段,105.96,都市：其他:住宅區,1,1,全筆移轉
RPSOMLMLLHGGFAD37DA,金城段,299.00,都市：其他:住宅區,1,1,全筆移轉
RPSOMLMLLHGGFAD37DA,金城段,256.00,都市：其他:住宅區,1,1,全筆移轉
RPSOMLMLLHGGFAD37DA,金城段,498.00,都市：其他:住宅區,1,1,全筆移轉
RPSOMLMLLHGGFAD37DA,金城段,299.00,都市：其他:住宅區,1,1,全筆移轉
RPSOMLMLLHGGFAD37DA,金城段,299.00,都市：其他:住宅區,1,1,全筆移轉
RPORMLNLKHGGFAD27DA,赤崁段,5.24,都市：其他:商業區,100000,2996,持分移轉
RPWOMLNLLHGGFAD87DA,開元段,9.75,都市：其他:商業區,10000,30,持分移轉
RPSOMLRKKHGGFAD67DA,開元段,12.41,都市：其他:商業區,100000,329,持分移轉
RPOPMLOLLHGGFAD27DA,金華段,33.11,都市：其他:住宅區,10000,117,持分移轉
RPVNMLQKLHGGFAD87DA,金華段,10.53,都市：其他:住宅區,10000,318,持分移轉
RPVNMLQKLHGGFAD87DA,金華段,10.53,都市：其他:住宅區,10000,318,持分移轉
RPWNMLPLLHGGFAD97DA,大豐段,106.02,都市：其他:商業區,1,1,全筆移轉
RPUOMLOLLHGGFAD77DA,觀音段,2.97,都市：其他:商業區,6200000,10478,持分移轉
RPSOMLTLLHGGFAD08DA,金華段,45.00,都市：其他:商業區,2,1,持分移轉
RPSOMLTLLHGGFAD08DA,金華段,45.00,都市：其他:商業區,2,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,4.57,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,6.31,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,3.11,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,3.27,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,3.25,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,3.32,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,6.22,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,3.22,都市：其他:主要計畫道路用地,10,1,持分移轉
RPRNMLKMLHGGFAD07DA,文元段,4.96,都市：其他:主要計畫道路用地,10,1,持分移轉
RPOPMLTLLHGGFAD77DA,武聖段,28.52,都市：其他:住宅區,100000,503,持分移轉
RPPPMLTLLHGGFAD87DA,武聖段,28.07,都市：其他:住宅區,100000,495,持分移轉
RPPOMLKMLHGGFAD96DA,北元段,89.03,都市：其他:低密度住宅區,100000,1884,持分移轉
RPXNMLTLLHGGFAD48DA,漁光段,18.74,都市：其他:商業區,100000,482,持分移轉
RPXNMLTLLHGGFAD48DA,漁光段,14.55,都市：其他:商業區,100000,482,持分移轉
RPVOMLKMLHGGFAD57DA,老古石段,8.82,都市：其他:住宅區,10000,95,持分移轉
RPVOMLKMLHGGFAD57DA,老古石段,.04,都市：其他:住宅區,10000,95,持分移轉
RPQOMLKMLHGGFAD07DA,武聖段,34.99,都市：其他:住宅區,100000,617,持分移轉
RPQOMLKMLHGGFAD07DA,武聖段,28.52,都市：其他:住宅區,100000,503,持分移轉
RPTOMLKMLHGGFAD37DA,立人段,33.38,都市：其他:住宅區,100000,422,持分移轉
RPOQMLLMLHGGFAD17DA,老古石段,3.41,都市：其他:商業區,10000,65,持分移轉
RPOPMLTJLHGGFBD67DA,頂安段,105.32,都市：其他:住宅區,1,1,全筆移轉
RPPNMLLMLHGGFAD96DA,漁光段,8.93,都市：其他:商業區,100000,135,持分移轉
RPTNMLMLLHGGFBD47DA,媽宮段,17.43,都市：其他:低密度住宅區,1,1,全筆移轉
RPTNMLMLLHGGFBD47DA,媽宮段,112.62,都市：其他:低密度住宅區,1,1,全筆移轉
RPTNMLMLLHGGFBD47DA,媽宮段,46.51,都市：其他:低密度住宅區,1,1,全筆移轉
RPVPMLPJKIPFFBD78DA,和館段,4.98,都市：其他:住宅區,1000000,2092,持分移轉
RPVPMLPJKIPFFBD78DA,和館段,2.23,都市：其他:住宅區,100000,859,持分移轉
RPVPMLPJKIPFFBD78DA,和館段,97.84,都市：其他:住宅區,1,1,全筆移轉
RPVPMLPJKIPFFBD78DA,和館段,46.55,都市：其他:住宅區,100000,859,持分移轉
RPXNMLKMLHGGFBD77DA,頂安段,283.46,都市：其他:住宅區,1,1,全筆移轉
