編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLNLLHGGFAD87DA,坡道機械,0,13.17,
RPSOMLRKKHGGFAD67DA,坡道平面,1000000,24.91,
RPOPMLTLLHGGFAD77DA,坡道平面,1200000,33.80,
RPOPMLTLLHGGFAD77DA,坡道平面,1200000,33.80,
RPPPMLTLLHGGFAD87DA,坡道平面,1400000,33.80,
RPPPMLTLLHGGFAD87DA,坡道平面,1400000,33.80,
RPPOMLKMLHGGFAD96DA,坡道平面,0,37.73,
RPPOMLKMLHGGFAD96DA,坡道平面,0,37.73,
RPPOMLKMLHGGFAD96DA,坡道平面,0,37.73,
RPXNMLTLLHGGFAD48DA,坡道平面,0,21.93,
RPXNMLTLLHGGFAD48DA,坡道平面,0,21.93,
RPQOMLKMLHGGFAD07DA,坡道平面,1100000,33.80,
RPQOMLKMLHGGFAD07DA,坡道平面,1100000,33.80,
RPTOMLKMLHGGFAD37DA,坡道平面,0,45.61,
RPTOMLKMLHGGFAD37DA,坡道平面,0,39.31,
RPPNMLLMLHGGFAD96DA,坡道平面,0,26.54,
RPPOMLKKLHGGFCD96DA,坡道平面,0,29.31,
RPPOMLKKLHGGFCD96DA,坡道平面,0,29.31,
RPUNMLSKLHGGFCD18DA,坡道機械,0,20.16,
RPOPMLQLLHGGFCD67DA,坡道平面,0,,
RPXNMLKMLHGGFCD87DA,坡道平面,0,,
RPQNMLKMLHGGFCD17DA,坡道平面,0,,
RPOOMLKMLHGGFCD07DA,坡道平面,0,25.79,
RPXOMLRKLHGGFID09DA,坡道平面,0,15.01,
RPRNMLTKLHGGFKD78DA,坡道平面,0,,地下二樓
RPPNMLTLLHGGFKD68DA,坡道平面,0,,地下一樓
RPRNMLKMLHGGFKD08DA,坡道平面,0,,地下二樓
RPVNMLKMLHGGFKD48DA,坡道平面,0,,地下一樓
RPUNMLKMLHGGFKD38DA,坡道平面,0,22.39,地下一樓
RPSOMLKMLHGGFKD28DA,坡道平面,0,19.22,地下三樓
RPUNMLQLLHGGFKD88DA,坡道平面,0,19.23,地下一樓
RPSWMLNJLHGGFKD09DA,坡道機械,0,,地下四樓
RPSOMLTLLHGGFID88DA,一樓平面,880000,26.45,
RPVOMLTLLHGGFID56DA,一樓平面,900000,26.45,
RPVOMLQLLHGGFHD78DA,坡道平面,0,31.43,地下二樓
RPTOMLQLLHGGFGD48DA,坡道平面,0,26.09,
RPUOMLQLLHGGFGD58DA,坡道平面,0,26.09,
RPOPMLQLLHGGFGD08DA,坡道平面,0,26.09,
RPPPMLQLLHGGFGD18DA,坡道平面,0,26.09,
RPRPMLQLLHGGFGD38DA,一樓平面,0,26.09,
RPQPMLQLLHGGFGD28DA,坡道平面,0,23.96,
RPTPMLQLLHGGFGD58DA,坡道平面,0,23.96,
RPSPMLQLLHGGFGD48DA,坡道平面,0,26.09,
RPVPMLQLLHGGFGD78DA,一樓平面,0,26.09,
RPXPMLQLLHGGFGD98DA,一樓平面,0,26.09,
RPUPMLQLLHGGFGD68DA,坡道平面,0,26.09,
RPOQMLQLLHGGFGD18DA,一樓平面,0,26.09,
RPUOMLPLLHGGFGD48DA,坡道平面,0,26.09,
RPPQMLQLLHGGFGD28DA,一樓平面,0,26.09,
RPVOMLPLLHGGFGD58DA,坡道平面,0,29.03,
RPRNMLKLLHGGFDD27DA,坡道平面,1100000,22.53,
RPSNMLKLLHGGFDD37DA,坡道平面,1100000,22.53,
RPTNMLKLLHGGFDD47DA,坡道平面,1100000,22.53,
RPRNMLTLLHGGFDD18DA,坡道平面,1200000,22.53,
RPRNMLTLLHGGFCD08DA,坡道平面,0,32.15,
RPRNMLTLLHGGFCD08DA,坡道平面,0,32.15,
RPXPMLKMLHGGFCD08DA,坡道平面,0,25.32,
RPOOMLLMLHGGFCD17DA,一樓平面,1100000,14.26,
RPVOMLMLKHGGFCD77DA,升降機械,600000,,
RPRNMLNKLHGGFCD37DA,坡道平面,0,,
RPOOMLKLKHGGFCD86DA,坡道平面,0,41.40,
RPXQMLKMLHGGFAD97DA,坡道平面,0,32.55,
RPQOMLLMLHGGFAD17DA,坡道平面,0,,
RPPPMLPLLHGGFAD47DA,坡道平面,0,,
RPRNMLTKLHGGFAD77DA,坡道平面,0,30.89,
RPRNMLTKLHGGFAD77DA,坡道平面,0,30.89,
RPRNMLLJLHGGFAD86DA,坡道平面,0,,
RPXOMLKKLHGGFAD57DA,坡道平面,1400000,34.71,
RPXOMLKKLHGGFAD57DA,坡道平面,1400000,34.71,
RPXOMLKKLHGGFAD57DA,坡道平面,1400000,34.71,
RPXOMLKKLHGGFAD57DA,坡道平面,1400000,34.71,
RPSPMLPLLHGGFAD77DA,坡道平面,0,26.54,
RPTOMLPLLHGGFAD77DA,坡道平面,0,31.89,
RPPOMLLMLHGGFAD07DA,坡道機械,0,,
RPOOMLQJMHGGFAD27DA,坡道平面,1400000,33.80,
RPWNMLQJMHGGFAD97DA,坡道平面,1100000,33.80,
RPWNMLQJMHGGFAD97DA,坡道平面,1100000,33.80,
RPVNMLRKLHGGFCD18DA,坡道平面,1300000,33.74,
RPQPMLLMLHGGFCD47DA,坡道平面,0,,
RPUOMLLMLHGGFCD77DA,坡道平面,0,21.76,
RPRNMLLJMHGGFDD27DA,一樓平面,0,,一樓
RPROMLTLLHGGFID78DA,一樓平面,880000,26.45,
RPROMLLMLHGGFKD28DA,坡道平面,0,,地下一樓
RPUPMLLMLHGGFKD68DA,坡道機械,0,21.04,地下二樓
RPQOMLLMLHGGFKD18DA,坡道機械,0,,地下二樓
RPQOMLLMLHGGFKD18DA,坡道機械,0,,地下二樓
RPPNMLLJMHGGFKD77DA,坡道機械,0,,地下三樓
RPPNMLLJMHGGFKD87EA,坡道機械,0,,地下二樓
RPOOMLKMLHGGFKD87DA,一樓平面,0,,一樓
RPQNMLQJMHGGFKD48EA,坡道平面,0,30.25,
RPVNMLPJMHGGFKD78DA,坡道平面,0,,地下一樓
RPVPMLQJMHGGFHD78DA,坡道平面,0,,地下一樓
RPXOMLOLLHGGFCD28DA,坡道平面,1350000,33.74,
RPTNMLLMLHGGFCD57DA,坡道平面,1300000,38.95,
RPPOMLLMLHGGFCD27DA,一樓平面,0,,
RPUOMLTKLHGGFCD38DA,坡道平面,0,21.33,
RPRNMLTJLHGGFCD87DA,坡道平面,1350000,38.95,
RPRNMLTJLHGGFCD87DA,坡道平面,1350000,38.95,
RPSNMLSLLHGGFCD08DA,坡道平面,1200000,38.95,
RPSNMLSLLHGGFCD08DA,坡道平面,1200000,38.95,
RPQNMLSLLHGGFCD87DA,坡道平面,1200000,38.95,
RPQNMLSLLHGGFCD87DA,坡道平面,1200000,38.95,
RPTNMLSLLHGGFCD18DA,坡道平面,1250000,38.95,
RPTNMLSLLHGGFCD18DA,坡道平面,1350000,38.95,
RPPNMLSLLHGGFCD77DA,坡道平面,1350000,38.95,
RPTNMLMLKHGGFCD47DA,坡道平面,1200000,18.37,
RPPNMLTLLHGGFCD87DA,坡道平面,1250000,38.95,
RPVOMLSJLHGGFCD28DA,坡道平面,1300000,,
RPXPMLQJMHGGFAD28DA,坡道機械,0,28.37,
RPPNMLQJMHGGFAD27DA,坡道平面,0,,
RPVNMLMJMHGGFAD47DA,坡道平面,1000000,30.66,
RPXNMLQJMHGGFAD08DA,坡道平面,0,33.38,
RPXNMLLJMHGGFAD57DA,坡道平面,0,,
RPUOMLKMLHGGFAD47DA,坡道平面,0,,
RPTRMLTKLHGGFAD38DA,坡道機械,0,,
RPUNMLMLKHGGFAD37DA,其他,0,31.89,
RPPNMLNKLHGGFAD96DA,坡道平面,1200000,26.53,
RPUOMLTJLHGGFAD08DA,坡道平面,0,30.66,
RPUNMLNLLHGGFAD57DA,坡道平面,0,30.04,
RPUNMLNLLHGGFAD57DA,坡道平面,0,30.04,
RPQPMLLMLHGGFAD27DA,坡道機械,1050000,23.36,
