鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
永康區,房地(土地+建物)+車位,橋北段31~60地號,29.36,住,,,1090901,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.55,4,2,2,有,無,12190000,75847,坡道平面,33.63,1350000,,RPRNMLMJLHGGFKD97CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.45,住,,,1090903,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.18,4,2,2,有,無,13100000,76616,坡道平面,67.26,2150000,,RPSNMLMJLHGGFKD08CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.45,住,,,1090807,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.18,4,2,2,有,無,13860000,80185,坡道平面,67.26,2400000,,RPTNMLMJLHGGFKD18CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.45,住,,,1090722,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.18,4,2,2,有,無,13610000,78785,坡道平面,67.26,2350000,,RPUNMLMJLHGGFKD28CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.27,住,,,1090902,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.11,4,2,2,有,無,13990000,81444,坡道平面,66.19,2350000,,RPVNMLMJLHGGFKD38CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.27,住,,,1090720,土地1建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.11,4,2,2,有,無,13590000,79345,坡道平面,66.19,2250000,,RPWNMLMJLHGGFKD48CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.27,住,,,1090814,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.11,4,2,2,有,無,13990000,81444,坡道平面,66.19,2350000,,RPXNMLMJLHGGFKD58CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.45,住,,,1090717,土地1建物1車位2,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.18,4,2,2,有,無,13730000,79975,坡道平面,67.26,2300000,,RPPOMLMJLHGGFKD87CB
永康區,房地(土地+建物)+車位,橋北段31~60地號,30.27,住,,,1090825,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.11,4,2,2,有,無,13600000,80814,坡道平面,66.19,2050000,,RPQOMLMJLHGGFKD97CB
