編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPOMLMJLHGGFKD87CB,橋北段,30.45,都市：住,100000,168,持分移轉
RPTNMLMJLHGGFKD18CB,橋北段,30.45,都市：住,100000,168,持分移轉
RPRNMLMJLHGGFKD97CB,橋北段,29.36,都市：住,100000,162,持分移轉
RPQOMLMJLHGGFKD97CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPWNMLMJLHGGFKD48CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPROMLMJLHGGFKD08CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPVNMLMJLHGGFKD38CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPSNMLMJLHGGFKD08CB,橋北段,30.45,都市：住,100000,168,持分移轉
RPUNMLMJLHGGFKD28CB,橋北段,30.45,都市：住,100000,168,持分移轉
RPXNMLMJLHGGFKD58CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPTOMLMJLHGGFKD28CB,橋北段,31.54,都市：住,100000,174,持分移轉
RPUOMLMJLHGGFKD38CB,橋北段,30.45,都市：住,100000,168,持分移轉
RPXOMLMJLHGGFKD68CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPWOMLMJLHGGFKD58CB,橋北段,16.49,都市：住,100000,91,持分移轉
RPOPMLMJLHGGFKD87CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPPPMLMJLHGGFKD97CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPVOMLMJLHGGFKD48CB,橋北段,29.36,都市：住,100000,162,持分移轉
RPSPMLMJLHGGFKD28CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPTPMLMJLHGGFKD38CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPXPMLMJLHGGFKD78CB,橋北段,17.58,都市：住,100000,97,持分移轉
RPXQMLMJLHGGFKD88CB,橋北段,16.49,都市：住,100000,91,持分移轉
RPUPMLMJLHGGFKD48CB,橋北段,16.49,都市：住,100000,91,持分移轉
RPWPMLMJLHGGFKD68CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPPQMLMJLHGGFKD08CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPQQMLMJLHGGFKD18CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPVPMLMJLHGGFKD58CB,橋北段,16.68,都市：住,100000,92,持分移轉
RPRRMLMJLHGGFKD38CB,橋北段,31.36,都市：住,100000,173,持分移轉
RPQPMLMJLHGGFKD08CB,橋北段,16.49,都市：住,100000,91,持分移轉
RPSRMLMJLHGGFKD48CB,橋北段,29.18,都市：住,100000,161,持分移轉
RPURMLMJLHGGFKD68CB,橋北段,30.09,都市：住,100000,166,持分移轉
RPXRMLMJLHGGFKD98CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPTRMLMJLHGGFKD58CB,橋北段,29.18,都市：住,100000,161,持分移轉
RPPSMLMJLHGGFKD28CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPOSMLMJLHGGFKD18CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPQSMLMJLHGGFKD38CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPSSMLMJLHGGFKD58CB,橋北段,30.09,都市：住,100000,166,持分移轉
RPRSMLMJLHGGFKD48CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPTSMLMJLHGGFKD68CB,橋北段,30.09,都市：住,100000,166,持分移轉
RPUSMLMJLHGGFKD78CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPVSMLMJLHGGFKD88CB,橋北段,30.09,都市：住,100000,166,持分移轉
RPXSMLMJLHGGFKD09CB,橋北段,30.27,都市：住,100000,167,持分移轉
RPRNMLMJLHGGFBD07CB,溪東段,20.88,都市：住,10000,55,持分移轉
RPQNMLMJLHGGFBD96CB,溪東段,20.88,都市：住,10000,55,持分移轉
RPSNMLMJLHGGFBD17CB,溪東段,20.88,都市：住,10000,55,持分移轉
