鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安平區,房地(土地+建物),臺南市安平區育平五街61~90號,6.82,住,,,1100217,土地1建物1車位0,二十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850213,114.46,3,2,2,有,無,有,20000,175,,0.0,0,,RPQNMLLJLHGGFAD86CC
東區,建物,臺南市東區小東路241~270號,0.0,住,,,1100206,土地0建物1車位0,九層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840106,105.76,2,2,1,有,有,有,13000,123,,0.0,0,租金含管理費。,RPWOMLMJLHGGFCD87CC
仁德區,建物,臺南市仁德區中正西路211巷31~60號,0.0,住,,,1100201,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911003,289.72,1,0,1,有,無,有,5500,19,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPQNMLMJLHGGFID77CC
歸仁區,建物,臺南市歸仁區武東一街49巷61~90號,0.0,,一般農業區,甲種建築用地,1100301,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860721,43.64,1,0,1,有,有,有,5800,133,,0.0,0,,RPSNMLMJLHGGFID97CC
永康區,建物,臺南市永康區復華八街58巷1~30號,0.0,住,,,1100301,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0821014,177.94,4,2,3,有,無,有,22000,124,,0.0,0,,RPRQMLMJLHGGFKD38CC
北區,建物,臺南市北區成功路1~30號,0.0,其他,,,1100226,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731228,30.73,1,0,1,有,有,有,5500,179,,0.0,0,社會住宅包租代管第二期公會版,RPRNMLMJLHGGFAD17DC
西港區,房地(土地+建物),臺南市西港區新興街61~90號,128.88,住,,,1100224,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0670916,122.08,4,1,3,有,無,有,17000,139,,0.0,0,含增建或未登記建物。；,RPSOMLMJLHGGFGD97DC
東區,建物,臺南市東區東安路7巷1~30號,0.0,住,,,1100206,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730109,89.88,3,2,2,有,無,有,12000,134,,0.0,0,社會住宅包租代管第二期公會版,RPXNMLMJLHGGFCD08EC
永康區,房地(土地+建物),臺南市永康區東橋十街1~30號,128.09,住,,,1100219,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0991230,132.86,1,3,2,有,無,有,43000,324,,0.0,0,,RPRVMLNJLHGGFKD09DC
新市區,建物,臺南市新市區長安街36巷31~60號,0.0,住,,,1100227,土地0建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050531,84.23,2,1,1,有,無,有,16500,196,一樓平面,16.59,0,,RPWOMLNJLHGGFHD48CC
永康區,建物,臺南市永康區復華二街1~30號,0.0,住,,,1100218,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0780707,130.76,3,1,2,有,無,有,16000,122,,0.0,0,台南市社會住宅包租代管第二期計畫，租金不含停車位及管理費,RPROMLNJLHGGFKD28CC
永康區,房地(土地+建物),臺南市永康區自強路255巷35弄1~30號,29.03,住,,,1100303,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820803,115.33,3,2,2,有,無,有,13000,113,,0.0,0,,RPPRMLNJLHGGFKD38CC
永康區,建物,臺南市永康區文化路331~360號,0.0,住,,,1100227,土地0建物1車位1,全,4,透天厝,住商用,鋼筋混凝土造,0961016,198.72,5,2,5,有,無,有,25000,126,一樓平面,13.8,0,,RPVTMLNJLHGGFKD56CC
仁德區,建物,臺南市仁德區中山路509巷18弄1~30號,0.0,商,,,1100210,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870813,77.47,2,1,2,有,有,有,11000,142,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。,RPWNMLNJLHGGFID48CC
鹽水區,建物,臺南市鹽水區土庫61~90號,0.0,,鄉村區,乙種建築用地,1100219,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820401,30.35,1,0,1,有,無,有,3600,119,,0.0,0,台南市社會住宅包租代管第二期計畫，租金不含停車位及管理費,RPPNMLNJLHGGFDD27CC
