編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRQMLMJLHGGFKD38CC,永信段,.00,都市：住,,,
RPWOMLMJLHGGFCD87CC,光明段,.00,都市：住,,,
RPXNMLMJLHGGFCD08EC,光明段,.00,都市：住,,,
RPSOMLMJLHGGFGD97DC,港安段,128.88,都市：住,,,
RPQNMLLJLHGGFAD86CC,金華段,6.82,都市：住,,,
RPQNMLMJLHGGFID77CC,清王段,.00,都市：住,,,
RPRVMLNJLHGGFKD09DC,橋北段,128.09,都市：住,,,
RPRNMLMJLHGGFAD17DC,公園段,.00,都市：商,,,
RPRNMLMJLHGGFAD17DC,公園段,.00,都市：商,,,
RPRNMLMJLHGGFAD17DC,公園段,.00,都市：其他:道路用地,,,
RPSNMLMJLHGGFID97CC,豬厝段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,
RPWOMLNJLHGGFHD48CC,南港段,.00,都市：住,,,
RPPNMLNJLHGGFDD27CC,水秀段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPROMLNJLHGGFKD28CC,永華段,.00,都市：住,,,
RPPRMLNJLHGGFKD38CC,永強段,29.03,都市：住,,,
RPWNMLNJLHGGFID48CC,仁義段,.00,都市：商,,,
RPSNMLNJLHGGFCD47CC,鹽埕段,.00,都市：住,,,
RPVTMLNJLHGGFKD56CC,文化段,.00,都市：住,,,
RPSPMLNJLHGGFCD67CC,龍泉段,.00,都市：住,,,
RPXOMLNJLHGGFAD87CC,新南段,.00,都市：商,,,
RPTQMLNJLHGGFCD87CC,東寧段,.00,都市：住,,,
RPWQMLNJLHGGFCD18CC,新興段,191.00,都市：住,,,
RPVNMLPJLHGGFCD97CC,正義段,57.49,都市：住,,,
RPVNMLPJLHGGFCD97CC,正義段,7.79,都市：住,,,
RPOPMLNJLHGGFAD07CC,開元段,.00,都市：商,,,
RPSPMLNJLHGGFAD47CC,文元段,.00,都市：住,,,
RPSPMLNJLHGGFAD47CC,文元段,.00,都市：住,,,
RPTOMLOJLHGGFCD77CC,新都心段,31.84,都市：住,,,
RPTNMLPJLHGGFDD87CC,水秀段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWNMLPJLHGGFDD18CC,水秀段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRNMLOJLHGGFAD37DC,環河段,.00,都市：住,,,
RPSNMLPJLHGGFAD47CC,金城段,.00,都市：住,,,
RPSNMLPJLHGGFAD47CC,金城段,.00,都市：住,,,
RPTPMLPJLHGGFCD97CC,竹篙厝段,21.89,都市：住,,,
RPUNMLPJLHGGFID48CC,仁愛段,167.00,都市：住,,,
RPPNMLQJLHGGFID08CC,崙尾段,139.50,都市：住,,,
RPPNMLQJLHGGFID08CC,崙尾段,139.50,都市：住,,,
RPUNMLPJLHGGFKD68CC,仁愛段,.00,都市：住,,,
RPUNMLPJLHGGFKD68CC,仁愛段,.00,都市：住,,,
RPUNMLPJLHGGFKD68CC,仁愛段,.00,都市：住,,,
RPUNMLPJLHGGFKD68CC,仁愛段,.00,都市：住,,,
RPUOMLPJLHGGFKD78CC,竹行段,3944.60,都市：工,,,
RPQNMLQJLHGGFKD38CC,橋北段,.00,都市：商,,,
RPUNMLSJLHGGFCD18CC,富農段,.00,都市：住,,,
RPPNMLRJLHGGFAD37CC,南門段,.00,都市：住,,,
RPOOMLSJLHGGFCD67CC,德高段,96.00,都市：商,,,
RPWNMLSJLHGGFKD56CC,成功段,.00,都市：住,,,
RPOOMLSJLHGGFGD08CC,佳里段,151.00,都市：住,,,
RPPPMLSJLHGGFAD77DC,武聖段,11.74,都市：住,,,
RPVSMLSJLHGGFKD96CC,永強段,.00,都市：住,,,
RPOOMLSJLHGGFHD18CC,大榮段,14.21,都市：住,,,
RPOOMLSJLHGGFHD18CC,大榮段,.77,都市：住,,,
RPOOMLSJLHGGFHD18CC,大榮段,9.59,都市：住,,,
RPUNMLTJLHGGFBD18CC,城東段,.00,都市：其他:住宅區,,,
RPQOMLTJLHGGFBD97DC,鎮安段,74.20,都市：住,,,
RPQOMLTJLHGGFBD97DC,鎮安段,1.17,都市：住,,,
RPQOMLTJLHGGFBD97DC,鎮安段,8.30,都市：住,,,
RPQOMLTJLHGGFBD97DC,鎮安段,.40,都市：住,,,
RPQOMLTJLHGGFBD97DC,鎮安段,10.95,都市：住,,,
RPQOMLTJLHGGFBD97DC,鎮安段,.39,都市：住,,,
RPVPMLTJLHGGFCD58CC,東光段,.00,都市：商,,,
RPWNMLTJLHGGFAD28CC,北元段,152.92,都市：住,,,
RPWNMLTJLHGGFAD28CC,北元段,152.76,都市：住,,,
RPWNMLTJLHGGFAD28CC,北元段,152.62,都市：住,,,
RPWNMLTJLHGGFAD28CC,北元段,152.45,都市：住,,,
RPQOMLKKLHGGFCD17CC,華南段,1200.00,都市：農,,,
RPOQMLTJLHGGFCD97CC,泉南段,.00,非都市： ; 非都市編定：,,,
RPSOMLTJLHGGFAD97CC,漁光段,.00,都市：商,,,
RPVNMLKKLHGGFAD37CC,漁光段,11.48,都市：商,,,
RPPOMLKKLHGGFAD86CC,星鑽段,.00,都市：住,,,
RPWPMLKKLHGGFCD87CC,新興段,.00,都市：住,,,
RPRTMLKKLHGGFKD58CC,永和段,.00,都市：商,,,
RPOOMLKKLHGGFHD47CC,南港段,.00,都市：工,,,
RPSUMLKKLHGGFKD78CC,兵北段,.00,都市：住,,,
