鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物)+車位,美術南五街31~60號,17.06,都市：其他:特定第五種住宅區,,,1100228,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040311,163.15,3,2,2,有,有,12700000,76463,坡道機械,7.52,800000,,RPQNMLSLKHGGFAE67DA,84.37,15.25,0.0,有,001
前金區,房地(土地+建物),自強二路88巷1~30號,15.68,都市：其他:第五種商業區,,,1100228,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701230,142.87,6,2,6,有,有,7250000,50745,,0.0,0,,RPQOMLMJLHGGFAE07DA,0.0,0.0,0.0,有,
前金區,房地(土地+建物),旺盛街151~180號,22.78,都市：其他:第五種住宅區,,,1100227,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790122,131.86,4,2,2,有,無,6000000,45503,,0.0,0,,RPVNMLNJLHGGFAE57DA,84.41,16.73,0.0,有,002
鼓山區,房地(土地+建物),華豐街56巷1~30號,20.2,都市：其他:第四種住宅區,,,1100220,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680620,51.65,2,1,1,有,無,2580000,49952,,0.0,0,其他增建；,RPOOMLOJLHGGFAE07DA,51.65,0.0,0.0,無,003
前金區,房地(土地+建物)+車位,河南二路151~180號,18.52,都市：其他:第四種住宅區,,,1100306,土地2建物1車位2,二十三層，二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,227.72000000000003,5,2,3,有,有,12500000,54892,坡道機械,0.0,0,,RPQPMLSJLHGGFAE77DA,125.38,44.23,0.0,有,
鼓山區,房地(土地+建物)+車位,美術南三路61~90號,16.34,都市：其他:特定第五種住宅區,,,1100225,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020805,171.14,3,2,2,有,有,13900000,81220,坡道平面,18.76,0,,RPTOMLTJLHGGFAE08DA,85.18,19.42,0.0,有,004
鼓山區,房地(土地+建物),昌盛路1~30號,7.78,都市：其他:第四種商業區,,,1100307,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941110,84.53,2,1,1,有,有,5700000,67432,,0.0,0,,RPSNMLSJLHGGFAE77DA,54.12,6.15,0.0,有,
前金區,房地(土地+建物)+車位,中正四路151~180號,7.85,都市：其他:第五種商業區,,,1080729,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091019,113.69,0,0,0,無,有,10620000,93412,坡道平面,14.34,0,,RPUOMLPKLHGGFAE87DA,56.88,6.15,0.0,有,
鼓山區,房地(土地+建物),明華路271~300號,6.68,都市：其他:第四種商業區,,,1100313,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860917,72.75999999999999,2,2,1,有,有,3800000,52226,,0.0,0,,RPTNMLRKLHGGFAE87DA,48.11,7.19,0.0,有,
鼓山區,土地,鼓中段四小段181~210地號,9.0,都市：其他:第三種住宅區。,,,1100316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,55556,,0.0,0,,RPXNMLSKLHGGFAE38DA,0.0,0.0,0.0,無,
鼓山區,房地(土地+建物),華榮路421~450號,25.87,都市：其他:第四種住宅區,,,1100223,土地1建物1車位0,一層，二層，三層,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850925,192.02,4,2,3,有,有,13150000,68482,,0.0,0,,RPQOMLSKLHGGFAE77DA,133.1,16.24,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,7.69,都市：其他:第五種商業區,,,1081103,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091019,130.34,0,0,0,無,有,11850000,90916,,0.0,0,,RPOPMLTKLHGGFAE77DA,70.28,12.67,0.0,有,
前金區,房地(土地+建物)+車位,中正四路151~180號,9.23,都市：其他:第五種商業區,,,1070525,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091019,144.68,0,0,0,無,有,11650000,80523,坡道平面,14.34,0,,RPPPMLTKLHGGFAE87DA,70.28,12.67,0.0,有,
鼓山區,房地(土地+建物)+車位,中華一路841~870號,24.87,都市：其他:第三種特定商業專用區,,,1100307,土地2建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030403,260.5,3,2,3,有,有,18500000,71017,坡道平面,33.37,0,,RPSPMLOLLHGGFAE77DA,136.38,14.09,0.0,有,005
鹽埕區,房地(土地+建物)+車位,大公路91~120號,8.6,都市：其他:第五種商業區,,,1100128,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090515,131.78,2,2,2,有,有,9150000,68042,坡道平面,16.41,1300000,,RPRNMLPLLHGGFAE57DA,62.47,13.64,0.0,有,
鹽埕區,房地(土地+建物)+車位,大公路91~120號,5.22,都市：其他:第五種商業區,,,1100120,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090515,75.96000000000001,0,2,1,有,有,5380000,67168,坡道機械,5.54,650000,,RPSNMLPLLHGGFAE67DA,42.61,3.81,0.0,有,
鹽埕區,房地(土地+建物)+車位,大公路91~120號,8.6,都市：其他:第五種商業區,,,1100219,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090515,120.91,2,2,2,有,有,9000000,71509,坡道機械,5.54,750000,,RPUNMLPLLHGGFAE87DA,62.47,13.64,0.0,有,
鼓山區,房地(土地+建物),民泰街1~30號,87.2,都市：其他:第四種住宅區,,,1100226,土地2建物1車位0,全,二層,透天厝,,加強磚造,0630509,70.48,3,2,2,有,無,21300000,302213,,0.0,0,頂樓增建、屋前雨遮及1樓屋後增建、屋齡已老舊依現況交屋。其他增建；,RPQPMLQLLHGGFAE77DA,70.48,0.0,0.0,無,
鼓山區,房地(土地+建物),裕興路121~150號,109.0,都市：其他:第四種住宅區,,,1100225,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0960208,292.41,5,2,4,有,無,28000000,95756,,0.0,0,,RPUPMLQLLHGGFAE18DA,251.29,41.12,0.0,無,
鹽埕區,房地(土地+建物)+車位,堀江街31~60號,16.61,都市：其他:第三種商業區,,,1100128,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871208,133.32,3,2,2,有,有,5900000,41106,升降機械,9.25,800000,,RPSNMLRLLHGGFAE87DA,77.53,14.62,0.0,有,006
鹽埕區,房地(土地+建物),府北路31~60號,4.17,都市：其他:第四種商業區,,,1100313,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690618,48.15,1,1,1,有,有,640000,13292,,0.0,0,,RPPNMLTLLHGGFAE77DA,32.16,0.0,0.0,有,
鼓山區,房地(土地+建物)+車位,美術東六街211~240號,13.54,都市：其他:第三種特定商業專用區,,,1100228,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950414,94.64,2,2,1,有,有,6100000,64455,坡道機械,5.64,0,,RPQNMLTLLHGGFAE87DA,58.1,8.42,0.0,有,007
