編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLNJLHGGFAE57DA,31,101.14,住家用,鋼筋混凝土造,79年1月22日,七層,四層
RPVNMLNJLHGGFAE57DA,31,30.72,見使用執照,鋼筋混凝土造,79年1月22日,七層,
RPTNMLRKLHGGFAE87DA,23,55.30,住家用,鋼筋混凝土造,86年9月17日,十二層,四層
RPTNMLRKLHGGFAE87DA,23,17.46,見使用執照,鋼筋混凝土造,86年9月17日,十二層,
RPQOMLMJLHGGFAE07DA,39,9.60,,鋼筋混凝土造,70年12月30日,十二層,
RPQOMLMJLHGGFAE07DA,39,133.27,,鋼筋混凝土造,70年12月30日,十二層,一層
RPUOMLPKLHGGFAE87DA,,63.03,集合住宅,鋼筋混凝土,109年10月19日,十五層,十四層
RPUOMLPKLHGGFAE87DA,,50.66,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、梯間、車道、門廳、騎樓、門廊、樓梯間加昇降機間、樓梯間、水箱加機械室等１０項。,鋼筋混凝土,109年10月19日,十五層,
RPOOMLOJLHGGFAE07DA,42,51.65,,鋼筋混凝土造,68年6月20日,五層,五層
RPSNMLSJLHGGFAE77DA,15,60.27,住家用,鋼筋混凝土造,94年11月10日,十五層,五層
RPSNMLSJLHGGFAE77DA,15,24.26,共有部分,鋼筋混凝土造,94年11月10日,十五層,
RPTOMLTJLHGGFAE08DA,8,104.60,住家用,鋼筋混凝土造,102年8月5日,二十四層,七層
RPTOMLTJLHGGFAE08DA,8,66.54,本共有部分之項目有防空避難室兼停車空間、頂蓋型開放空間、公共服務空間、樓梯間、管委會使用空間、防災中心、門廳、瓦斯遮斷室、中繼水箱、機械室、水箱等１１項。,鋼筋混凝土造,102年8月5日,二十四層,
RPQNMLSLKHGGFAE67DA,6,99.62,住家用,鋼筋混凝土造,104年3月11日,十五層,十五層
RPQNMLSLKHGGFAE67DA,6,63.53,本共有部分之項目有樓梯間、防空避難室兼停車空間、管理委員會使用空間、管道間、機械房、水箱、停車空間、走廊、門廳、車道等１０項。,鋼筋混凝土造,104年3月11日,十五層,
RPQPMLSJLHGGFAE77DA,25,169.61,住家用,鋼筋混凝土造,84年12月19日,二十四層,二十三層 二十四層
RPQPMLSJLHGGFAE77DA,25,32.90,見使用執照,鋼筋混凝土造,84年12月19日,二十四層,
RPQPMLSJLHGGFAE77DA,25,25.21,見使用執照,鋼筋混凝土造,84年12月19日,二十四層,
RPQOMLSKLHGGFAE77DA,24,74.67,住商用,鋼筋混凝土造,85年9月25日,十四層,一層 二層 三層
RPQOMLSKLHGGFAE77DA,24,74.67,住商用,鋼筋混凝土造,85年9月25日,十四層,一層 二層 三層
RPQOMLSKLHGGFAE77DA,24,21.34,見使用執照,鋼筋混凝土造,85年9月25日,十四層,
RPQOMLSKLHGGFAE77DA,24,21.34,見使用執照,鋼筋混凝土造,85年9月25日,十四層,
RPPPMLTKLHGGFAE87DA,,82.95,集合住宅,鋼筋混凝土,109年10月19日,十五層,六層
