交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,高雄市鼓山區美術南五街31~60號,1060128,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),2,163.15,4,2,2,有,有,12600000,77230,0,001
房地(土地+建物)+車位,美術南五街31~60號,1100228,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),6,163.15,3,2,2,有,有,12700000,76463,800000,001
房地(土地+建物),高雄市前金區旺盛街151~180號,1081127,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),30,131.86,3,2,2,有,無,4200000,31852,0,002
房地(土地+建物),旺盛街151~180號,1100227,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),31,131.86,4,2,2,有,無,6000000,45503,0,002
房地(土地+建物),高雄市鼓山區華豐街56巷1~30號,1070920,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),39,51.65,2,1,1,有,無,1400000,27106,0,003
房地(土地+建物),華豐街56巷1~30號,1100220,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),42,51.65,2,1,1,有,無,2580000,49952,0,003
房地(土地+建物)+車位,高雄市鼓山區龍水里美術南三路61~90號,1020325,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),0,171.14,3,2,2,有,有,12400000,72455,0,004
房地(土地+建物)+車位,高雄市鼓山區美術南三路61~90號,1050725,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),3,171.14,3,2,2,有,有,12500000,73040,0,004
房地(土地+建物)+車位,美術南三路61~90號,1100225,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),8,171.14,3,2,2,有,有,13900000,81220,0,004
房地(土地+建物)+車位,高雄市鼓山區中華一路841~870號,1051107,土地2建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),3,260.5,3,2,3,有,有,20000000,76775,0,005
房地(土地+建物)+車位,中華一路841~870號,1100307,土地2建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),7,260.5,3,2,3,有,有,18500000,71017,0,005
房地(土地+建物)+車位,高雄市鹽埕區堀江街31~60號,1040628,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),17,133.32,3,2,2,有,有,4000000,30003,0,006
房地(土地+建物)+車位,高雄市鹽埕區堀江街31~60號,1070828,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),20,133.32,3,2,2,有,有,5600000,42004,0,006
房地(土地+建物)+車位,堀江街31~60號,1100128,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),22,133.32,3,2,2,有,有,5900000,41106,800000,006
房地(土地+建物)+車位,高雄市鼓山區美術東六街211~240號,1020128,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),7,94.64,2,2,1,有,有,5000000,52832,0,007
房地(土地+建物)+車位,高雄市鼓山區美術東六街211~240號,1030228,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),8,94.64,2,2,1,有,有,5500000,58115,0,007
房地(土地+建物)+車位,美術東六街211~240號,1100228,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),15,94.64,2,2,1,有,有,6100000,64455,0,007
房地(土地+建物),高雄市鼓山區文忠路121~150號,1070103,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),8,138.42000000000002,3,2,2,有,有,7400000,53460,0,008
房地(土地+建物),文忠路121~150號,1100303,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),11,138.42000000000002,3,2,2,有,有,8550000,61769,0,008
房地(土地+建物),高雄市苓雅區成功一路91~120號,1080716,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),25,27.51,0,0,0,無,有,1100000,39985,0,009
房地(土地+建物),成功一路91~120號,1100116,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),26,27.51,1,1,1,有,有,1100000,39985,0,009
房地(土地+建物),高雄市苓雅區廣西路91~120號,1050410,土地1建物1車位0,全,二層,透天厝,42,100.8,5,2,3,有,無,14550000,144345,0,010
房地(土地+建物),廣西路91~120號,1100310,土地1建物1車位0,全,二層,透天厝,46,100.8,5,2,3,有,無,17000000,168651,0,010
房地(土地+建物),高雄市苓雅區自強三路151~180號,1050511,土地1建物1車位0,六層,十三層,套房(1房1廳1衛),8,47.21,1,1,1,有,有,3000000,63546,0,011
房地(土地+建物),自強三路151~180號,1100311,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),12,47.21,1,1,1,有,有,3300000,69900,0,011
房地(土地+建物),高雄市苓雅區成功一路61~90號,1080722,土地1建物1車位0,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),30,176.41,3,2,2,有,有,9200000,52151,0,012
房地(土地+建物),成功一路61~90號,1100322,土地1建物1車位0,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),32,176.41,3,2,2,有,有,11000000,62355,0,012
房地(土地+建物),高雄市苓雅區光華一路31~60號,1070414,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),1,80.31,2,2,1,有,有,5280000,65745,0,013
房地(土地+建物),光華一路31~60號,1091114,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),4,80.31,2,2,1,有,有,6380000,79442,0,013
房地(土地+建物)+車位,高雄市新興區新興路31~60號,1051025,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),2,85.99000000000001,1,1,1,有,有,7870000,94457,270000,014
房地(土地+建物)+車位,新興路31~60號,1100125,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),6,85.99000000000001,2,2,1,有,有,6650000,77335,0,014
房地(土地+建物),店陽街31~60號,1091004,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),27,146.09,4,2,2,有,有,3500000,23958,0,015
房地(土地+建物),店陽街31~60號,1100204,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),27,146.09,4,2,2,有,有,5300000,36279,0,015
房地(土地+建物),高雄市前鎮區二聖一巷31~60號,1070801,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),40,84.86,2,2,2,有,無,6600000,77775,0,016
房地(土地+建物),二聖一巷31~60號,1100301,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),43,84.86,2,2,1,有,無,5100000,60099,0,016
房地(土地+建物),高雄市前鎮區鎮國路31~60號,1030513,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),36,56.6,3,1,1,有,無,1000000,17668,0,017
房地(土地+建物),高雄市前鎮區鎮國路31~60號,1051113,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),38,56.6,3,1,1,有,無,1450000,25618,0,017
房地(土地+建物),高雄市前鎮區鎮國路31~60號,1070413,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),40,56.6,2,2,2,有,無,1150000,20318,0,017
房地(土地+建物),鎮國路31~60號,1100313,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),42,56.6,2,2,2,有,有,1850000,32686,0,017
車位,文林街31~60號,1100218,土地1建物1車位2,,,其他,25,55.86,0,0,0,有,有,2300000,,0,018
車位,文林街31~60號,1100318,土地1建物1車位1,,,其他,25,27.93,0,0,0,有,無,1200000,,0,018
房地(土地+建物)+車位,高雄市前鎮區中山二路1~30號,1051115,土地1建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),0,210.8,3,2,2,有,無,18980000,90038,0,019
房地(土地+建物)+車位,中山二路1~30號,1100315,土地1建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),5,210.8,4,2,2,有,有,17000000,80645,0,019
房地(土地+建物)+車位,高雄市前鎮區復興三路241~270號,1020701,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),0,179.99,3,2,2,有,無,10550000,58614,0,020
房地(土地+建物)+車位,復興三路241~270號,1100301,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),8,179.99,3,2,2,有,有,11500000,63892,0,020
房地(土地+建物),高雄市小港區永忠街31~60號,1051004,土地3建物1車位0,全,四層,透天厝,5,312.05,5,1,4,有,無,24500000,78513,0,021
房地(土地+建物),高雄市小港區永忠街31~60號,1081204,土地3建物1車位0,全,四層,透天厝,8,312.05,5,1,4,有,無,20500000,65695,0,021
