編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXNMLSKLHGGFAE38DA,鼓中段四小段,9.00,都市：其他:第三種住宅區。,1,1,全筆移轉
RPVNMLNJLHGGFAE57DA,北金段,22.78,都市：其他:第五種住宅區,10000,1317,持分移轉
RPTNMLRKLHGGFAE87DA,龍華段八小段,6.68,都市：其他:第四種商業區,10000,181,持分移轉
RPQOMLMJLHGGFAE07DA,民生段,15.68,都市：其他:第五種商業區,10000,144,持分移轉
RPUOMLPKLHGGFAE87DA,前金段,7.85,都市：其他:第五種商業區,100000,902,持分移轉
RPOOMLOJLHGGFAE07DA,龍華段二小段,20.20,都市：其他:第四種住宅區,5,1,持分移轉
RPSNMLSJLHGGFAE77DA,龍華段八小段,7.78,都市：其他:第四種商業區,10000,44,持分移轉
RPTOMLTJLHGGFAE08DA,青海段,16.34,都市：其他:特定第五種住宅區,100000,695,持分移轉
RPQNMLSLKHGGFAE67DA,青海段,17.06,都市：其他:特定第五種住宅區,10000,195,持分移轉
RPQPMLSJLHGGFAE77DA,北金段,6.84,都市：其他:第四種住宅區,10000,39,持分移轉
RPQPMLSJLHGGFAE77DA,前金段,11.68,都市：其他:第四種住宅區,10000,39,持分移轉
RPQOMLSKLHGGFAE77DA,龍華段一小段,12.93,都市：其他:第四種住宅區,20000,151,持分移轉
RPQOMLSKLHGGFAE77DA,龍華段一小段,12.93,都市：其他:第四種住宅區,20000,151,持分移轉
RPPPMLTKLHGGFAE87DA,前金段,9.23,都市：其他:第五種商業區,100000,1061,持分移轉
RPOPMLTKLHGGFAE77DA,前金段,7.69,都市：其他:第五種商業區,100000,884,持分移轉
RPQPMLQLLHGGFAE77DA,龍華段二小段,72.00,都市：其他:第四種住宅區,1,1,全筆移轉
RPQPMLQLLHGGFAE77DA,龍華段二小段,15.20,都市：其他:第四種住宅區,130,13,持分移轉
RPSPMLOLLHGGFAE77DA,青海段,15.42,都市：其他:第三種特定商業專用區,10000,124,持分移轉
RPSPMLOLLHGGFAE77DA,龍水段一小段,9.45,都市：其他:第三種特定商業專用區,10000,124,持分移轉
RPRNMLPLLHGGFAE57DA,興仁段,8.60,都市：其他:第五種商業區,100000,731,持分移轉
RPUNMLPLLHGGFAE87DA,興仁段,8.60,都市：其他:第五種商業區,100000,731,持分移轉
RPSNMLRLLHGGFAE87DA,大東段,16.61,都市：其他:第三種商業區,10000,295,持分移轉
RPSNMLPLLHGGFAE67DA,興仁段,5.22,都市：其他:第五種商業區,100000,444,持分移轉
RPPNMLTLLHGGFAE77DA,府北段五小段,4.17,都市：其他:第四種商業區,10000,42,持分移轉
RPUPMLQLLHGGFAE18DA,龍華段一小段,109.00,都市：其他:第四種住宅區,1,1,全筆移轉
RPQNMLTLLHGGFAE87DA,青海段,13.54,都市：其他:第三種特定商業專用區,10000,282,持分移轉
RPXNMLTLLHGGFAE58DA,鼓中段四小段,19.00,都市：其他:第四種商業區,10,1,持分移轉
RPXNMLTLLHGGFAE58DA,鼓中段四小段,8.50,都市：其他:第四種住宅區,10,1,持分移轉
RPRNMLKMLHGGFAE17DA,龍華段八小段,11.38,都市：其他:第四種商業區,10000,98,持分移轉
RPROMLKMLHGGFAE27DA,府北段五小段,2.49,都市：其他:第五種商業區,10000,77,持分移轉
RPROMLKMLHGGFAE27DA,府北段五小段,.32,都市：其他:第五種商業區,10000,77,持分移轉
RPROMLKMLHGGFAE27DA,府北段五小段,1.42,都市：其他:第五種商業區,10000,77,持分移轉
RPWNMLSJLHGGFBE28DA,福裕段,97.00,都市：其他:第四種商業區,1,1,全筆移轉
RPSPMLRKKHGGFBE97DA,苓洲段,1.74,都市：其他:第五種商業區,10000,111,持分移轉
RPOPMLKKLHGGFBE96DA,苓雅寮段,7.24,都市：其他:第四種住宅區,10000,80,持分移轉
RPXNMLMJLHGGFBE77DA,意誠段,5.94,都市：其他:第三種特定商業專用區,100000,68,持分移轉
RPTOMLLKLHGGFBE47DA,林興段,80.00,都市：其他:第四種住宅區,1,1,全筆移轉
RPXOMLQKLHGGFBE38DA,苓洲段,4.25,都市：其他:第四種商業區,100000,713,持分移轉
RPVOMLNLLHGGFBE97DA,意誠段,4.02,都市：其他:第三種特定商業專用區,100000,46,持分移轉
RPUNMLOLLHGGFBE87DA,苓洲段,20.03,都市：其他:第五種商業區,10000,210,持分移轉
RPVOMLQLLHGGFBE28DA,新興段一小段,14.21,都市：其他:第五種商業區,10000,105,持分移轉
RPVOMLQLLHGGFBE28DA,新興段一小段,2.04,都市：其他:第三種特定商業專用區,10000,105,持分移轉
RPVOMLQLLHGGFBE28DA,新興段一小段,.57,都市：其他:第三種特定商業專用區,10000,105,持分移轉
RPQOMLQLLHGGFBE77DA,林德官段一小段,5.69,都市：其他:第五種商業區,10000,71,持分移轉
RPSPMLQLLHGGFBE08DA,過田子段,4.31,都市：其他:第五種商業區,100000,793,持分移轉
