編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUOMLPKLHGGFAE87DA,坡道平面,0,14.34,
RPTOMLTJLHGGFAE08DA,坡道平面,0,18.76,
RPQNMLSLKHGGFAE67DA,坡道機械,800000,7.52,
RPQPMLSJLHGGFAE77DA,坡道機械,0,,
RPQPMLSJLHGGFAE77DA,坡道機械,0,,
RPPPMLTKLHGGFAE87DA,坡道平面,0,14.34,
RPSPMLOLLHGGFAE77DA,坡道平面,0,33.37,
RPRNMLPLLHGGFAE57DA,坡道平面,1300000,16.41,
RPUNMLPLLHGGFAE87DA,坡道機械,750000,5.54,
RPSNMLRLLHGGFAE87DA,升降機械,800000,9.25,地下一樓
RPSNMLPLLHGGFAE67DA,坡道機械,650000,5.54,
RPQNMLTLLHGGFAE87DA,坡道機械,0,5.64,
RPXNMLMJLHGGFBE77DA,坡道平面,0,14.65,
RPPPMLTLLHGGFBE08DA,其他,0,5.53,
RPTNMLTLLHGGFBE28DA,坡道機械,0,5.31,
RPUPMLMKJIPFFCE58DA,坡道平面,0,24.04,
RPRPMLQLLHGGFCE08DA,坡道平面,0,27.92,
RPRNMLKLKHGGFCE17DA,坡道平面,0,16.54,
RPPNMLMLLHGGFCE27DA,坡道平面,900000,30.52,地下一樓
RPWOMLKKLHGGFCE77DA,坡道機械,1000000,8.16,
RPPNMLMLLHGGFCE27DA,坡道平面,900000,30.52,地下一樓
RPOPMLPLLHGGFCE67DA,坡道平面,0,,
RPTNMLSLLHGGFCE28DA,坡道平面,0,22.05,
RPROMLTLLHGGFCE28DA,坡道平面,0,34.50,
RPUOMLKKLHGGFDE67DA,坡道平面,0,,
RPVNMLSKLHGGFDE48DA,坡道平面,0,,
RPPPMLRKLHGGFDE97DA,坡道平面,1800000,42.04,
RPVOMLPLLHGGFDE38DA,坡道平面,0,25.74,
RPUPMLTLLHGGFDE78DA,坡道機械,0,,
RPTNMLNLLHGGFEE97DA,坡道平面,0,,
RPSNMLTLLHGGFEE48DA,坡道平面,0,29.14,
RPUNMLTLLHGGFEE68DA,升降機械,0,,
RPUPMLTLLHGGFEE88DA,坡道機械,0,,
RPXNMLKMLHGGFEE18DA,坡道機械,0,,
RPQOMLKMLHGGFEE57DA,坡道平面,0,25.19,
RPUOMLKMLHGGFEE97DA,升降機械,0,8.75,
RPVPMLKMLHGGFEE18DA,坡道平面,1900000,27.14,
RPRNMLLMLHGGFEE67DA,坡道平面,0,24.26,
RPOQMLKMLHGGFEE57DA,坡道平面,0,29.90,
RPPPMLOLLHGGFFE97DA,坡道平面,0,,地下二樓
RPRPMLTLLHGGFFE68DA,坡道機械,0,6.14,地下三樓
RPTNMLTJLHGGFGE58DA,坡道機械,390000,,地下一樓
RPSOMLKMLHGGFFE87DA,坡道平面,1700000,20.87,地下三樓
RPSNMLNJLHGGFGE87DA,坡道機械,0,,地下一樓
RPTOMLKMLHGGFFE97DA,坡道平面,1700000,20.87,地下三樓
RPUNMLKKLHGGFGE87DA,升降機械,0,9.93,地下三樓
RPQOMLRKLHGGFGE28DA,坡道平面,0,27.84,地下二樓
RPTNMLKMLHGGFGE97DA,坡道平面,0,,地下一樓
RPXNMLQLLHGGFJE56DA,坡道平面,0,,
RPPPMLKMLHGGFAE27EA,坡道平面,0,,
RPVOMLTLLHGGFDE88EA,坡道機械,0,,
RPWOMLKMLHGGFEE28EA,坡道平面,0,,
RPSOMLKMLHGGFBE57EA,坡道機械,0,15.31,
RPWOMLPLJHGGFIE78DA,坡道平面,1300000,24.77,地下二樓
RPOOMLPLJHGGFIE97DA,坡道平面,1300000,24.77,地下二樓
RPQOMLOLKHGGFIE18DA,坡道平面,1300000,24.77,地下二樓
RPPPMLPLJHGGFIE18DA,坡道平面,1300000,24.77,地下二樓
RPSNMLOLKHGGFIE28DA,坡道平面,1300000,24.77,地下二樓
RPVNMLKMLHGGFGE18DA,坡道平面,0,,
RPUNMLKMLHGGFGE08DA,坡道機械,0,17.42,地下二樓
RPSNMLKMLHGGFGE87DA,坡道平面,0,33.82,地下一樓
RPUOMLKMLHGGFGE18DA,坡道平面,0,19.23,地下二樓
RPOPMLKMLHGGFGE67DA,坡道機械,0,12.96,地下二樓
RPPNMLPLLHGGFGE97DA,坡道機械,0,23.09,地下一樓
RPWOMLNLLHGGFGE58DA,坡道機械,0,11.96,地下一樓
RPXOMLSKLHGGFGE09DA,坡道平面,0,24.79,地下一樓
RPROMLLMLHGGFEE77DA,坡道平面,0,17.62,
RPUNMLKMLHGGFEE87DA,坡道平面,0,33.76,
RPSNMLKMLHGGFEE67DA,坡道平面,0,16.10,
RPPNMLLMLHGGFEE47DA,坡道平面,0,33.18,
RPTPMLMLLHGGFEE08DA,坡道平面,1550000,32.49,
RPUPMLMLLHGGFEE18DA,坡道平面,1500000,32.49,
RPVPMLMLLHGGFEE28DA,坡道平面,1550000,32.49,
RPQPMLMLLHGGFEE77DA,坡道平面,1550000,32.49,
RPOQMLKLLHGGFEE47DA,坡道平面,1250000,32.49,
RPUOMLTKLHGGFEE68DA,坡道平面,0,27.06,
RPVNMLLLLHGGFEE97DA,坡道平面,1250000,32.49,
RPUOMLLLKHGGFEE87DA,坡道平面,1500000,25.37,
RPPPMLRKLHGGFEE08DA,坡道機械,0,6.65,
RPXOMLQKLHGGFEE68DA,坡道機械,0,15.64,
RPWQMLSKLHGGFEE98DA,坡道平面,1300000,21.56,
RPVOMLKMLHGGFDE97DA,坡道機械,0,11.45,
RPWOMLQLLHGGFDE58DA,坡道平面,0,25.01,
RPQNMLRKLHGGFDE87DA,坡道平面,0,28.92,
RPQNMLRKLHGGFDE87DA,坡道平面,0,28.92,
RPQNMLPJLHGGFDE57DA,坡道機械,0,8.40,
RPUNMLSLKHGGFDE38DA,坡道平面,0,,
RPTOMLNLLHGGFCE87DA,坡道平面,0,,
RPPOMLKMLHGGFBE17DA,其他,0,13.60,
RPXNMLKMLHGGFBE87DA,坡道平面,0,46.78,
RPXOMLKMLHGGFBE97DA,塔式車位,1500000,21.82,
RPUNMLKKLHGGFBE37DA,坡道機械,0,5.93,
RPOOMLTLLHGGFAE77DA,坡道平面,0,21.54,
RPSNMLLMLHGGFAE37DA,坡道機械,0,9.94,
RPQOMLLMLHGGFAE27DA,坡道平面,0,14.84,
RPRQMLLMLHGGFAE57DA,坡道機械,0,5.05,
RPTOMLQLLHGGFAE97DA,其他,1450000,14.24,
RPTOMLMLLHGGFAE57DA,坡道平面,1700000,31.64,
RPTOMLMLLHGGFAE57DA,坡道平面,1100000,31.64,
RPUNMLNLLHGGFAE67DA,坡道平面,0,23.97,
RPWNMLKKLHGGFAE47DA,升降平面,0,22.49,
RPOOMLKKLHGGFAE76DA,坡道機械,0,13.42,
RPOOMLKKLHGGFAE76DA,坡道平面,0,19.18,
RPXNMLMKLHGGFAE77DA,坡道平面,0,17.98,
RPXNMLMKLHGGFAE77DA,坡道平面,0,17.98,
RPUOMLSKLHGGFAE18DA,坡道平面,2400000,27.01,
RPUOMLSKLHGGFAE18DA,坡道平面,2400000,27.01,
RPPPMLMKLHGGFAE17DA,坡道平面,0,17.98,
RPPPMLMKLHGGFAE17DA,坡道平面,0,17.98,
RPOPMLLKLHGGFAE96DA,坡道平面,2100000,27.01,
RPOPMLLKLHGGFAE96DA,坡道平面,1800000,27.01,
RPWOMLLKLHGGFAE67DA,坡道平面,2100000,27.01,
RPWOMLLKLHGGFAE67DA,坡道平面,2400000,27.01,
RPXOMLKMLHGGFAE87DA,坡道平面,2400000,27.01,
RPXOMLKMLHGGFAE87DA,坡道平面,2400000,27.01,
RPOPMLKMLHGGFAE07DA,坡道平面,2400000,27.01,
RPOPMLKMLHGGFAE07DA,坡道平面,2400000,27.01,
RPVOMLKMLHGGFAE67DA,坡道平面,2400000,27.01,
RPVOMLKMLHGGFAE67DA,坡道平面,2400000,27.01,
RPSOMLLMLHGGFBE57DA,坡道平面,0,39.65,
RPUOMLLMLHGGFBE77DA,坡道平面,0,39.65,
RPWPMLLMLHGGFBE08DA,坡道平面,0,,
RPROMLLMLHGGFBE47DA,坡道平面,0,39.65,
RPPNMLLJMHGGFBE96DA,坡道平面,0,,
RPSNMLLLLHGGFCE47DA,坡道平面,2000000,40.15,地下三樓
RPWOMLTKLHGGFCE68DA,坡道機械,0,,
RPUPMLKMLHGGFCE87DA,坡道機械,0,,
RPUOMLRJJHGGFDE08DA,坡道機械,1100000,10.97,
RPWSMLNJLHGGFDE48DA,坡道平面,0,37.64,
RPRPMLMKLHGGFDE67DA,坡道平面,0,37.64,
RPOQMLPLLHGGFDE87DA,坡道平面,0,,
RPROMLLMLHGGFDE67DA,坡道平面,2200000,26.92,
RPSOMLLMLHGGFDE77DA,坡道平面,0,26.92,
RPSOMLLMLHGGFDE77DA,坡道平面,0,26.92,
RPWOMLRKLHGGFEE68DA,坡道平面,0,29.71,
RPTNMLKKLHGGFEE57DA,坡道平面,0,28.23,
RPTNMLKKLHGGFEE57DA,坡道平面,0,29.63,
RPRPMLPLKHGGFEE08DA,坡道平面,0,28.96,
RPXRMLMJLHGGFEE48DA,坡道平面,0,18.64,
RPUPMLSJLHGGFEE58DA,坡道平面,0,24.97,
RPQUMLLJKHGGFEE87DA,坡道平面,0,9.78,
RPWPMLTKLHGGFEE98DA,坡道平面,0,22.55,
RPURMLMLLHGGFEE38DA,坡道平面,0,28.96,
RPOSMLMLLHGGFEE87DA,坡道平面,0,28.96,
RPSNMLOLLHGGFEE97DA,坡道平面,0,22.12,
RPQNMLTLLHGGFEE28DA,坡道平面,0,31.78,
RPRNMLTLLHGGFEE38DA,坡道機械,0,18.35,
RPWPMLKMLHGGFEE28DA,坡道機械,0,,
RPQNMLLMLHGGFEE57DA,坡道平面,1400000,24.29,
RPVNMLKMLHGGFEE97DA,坡道平面,0,,
RPWNMLLMLHGGFEE18DA,坡道平面,0,28.69,
RPVQMLLMLHGGFEE38DA,坡道機械,0,9.93,
RPVQMLLJMHGGFEE18DA,坡道平面,0,30.57,
RPWQMLLJMHGGFEE28DA,坡道平面,2300000,40.99,
RPVNMLMLLHGGFGE28DA,坡道平面,0,25.58,
RPVOMLQKLHGGFGE68DA,坡道平面,0,,
RPSNMLTKLHGGFGE58DA,坡道平面,1000000,18.18,地下二樓
RPQNMLLMLHGGFGE77DA,坡道平面,0,30.01,
RPQPMLRKLHGGFIE58DA,坡道平面,1450000,21.49,地下三樓
RPUOMLQKLHGGFIE78DA,坡道平面,1450000,21.49,地下三樓
RPTOMLQKLHGGFIE68DA,坡道平面,1750000,21.49,地下一樓
RPVOMLOLLHGGFIE78DA,坡道平面,1500000,22.67,地下三樓
RPSNMLLMLHGGFIE18DA,坡道機械,0,7.51,地下一樓
RPVOMLLJMHGGFIE38DA,坡道平面,0,26.91,地下一樓
RPXNMLLJMHGGFCE97EA,坡道平面,0,,
RPXOMLLMLHGGFCE28EA,坡道機械,0,15.63,
RPQOMLLMLHGGFDE67EA,坡道平面,0,,
RPQOMLLJMHGGFGE77EA,一樓平面,0,,
RPQRMLRJMHGGFEE48EA,坡道平面,0,24.86,
RPPNMLLJMHGGFLE08EA,坡道平面,0,22.95,
RPOOMLQJMHGGFIE28EA,坡道機械,0,7.52,
RPXOMLRJMHGGFGE09EA,坡道平面,0,,
RPSNMLQJMHGGFBE87EA,坡道平面,0,21.51,
RPXNMLQJMHGGFAE28EA,坡道平面,1500000,27.52,
RPOOMLLMLHGGFLE18DA,坡道平面,0,,
RPXOMLQJMHGGFIE09DA,坡道平面,0,26.91,
RPPNMLOJMHGGFIE97DA,坡道平面,1600000,33.71,
RPSOMLQLLHGGFIE68DA,坡道平面,1600000,33.71,
RPWOMLQLLHGGFIE09DA,坡道平面,1450000,33.71,
RPXOMLQLLHGGFIE56DA,坡道平面,1480000,33.71,
RPXOMLPLJHGGFIE88DA,坡道平面,1300000,24.77,
RPVOMLPLJHGGFIE68DA,坡道平面,1300000,24.77,
RPROMLTLJHGGFIE68DA,坡道平面,1500000,24.77,
RPPNMLRLKHGGFIE28DA,坡道平面,1300000,24.77,
RPOOMLQJMHGGFGE97DA,坡道平面,0,23.84,
RPXOMLOLLHGGFGE78DA,坡道平面,1200000,18.18,地下一樓
RPTNMLTKLHGGFGE68DA,坡道平面,1000000,18.18,地下二樓
RPQOMLTKLHGGFGE48DA,坡道平面,1100000,18.18,地下二樓
RPWNMLTKLHGGFGE98DA,坡道平面,1300000,18.18,地下一樓
RPSNMLLJMHGGFFE67DA,坡道機械,0,15.27,
RPTNMLSKLHGGFGE58DA,坡道平面,0,24.31,
RPVOMLQJMHGGFEE48DA,坡道機械,0,29.28,
RPUPMLQJMHGGFEE48DA,坡道平面,2300000,25.01,
RPPPMLQJMHGGFEE97DA,坡道平面,0,28.10,
RPWPMLQJMHGGFEE68DA,坡道平面,0,25.01,
RPWPMLQJMHGGFEE68DA,坡道平面,0,25.01,
RPRNMLQJMHGGFEE97DA,坡道機械,0,,
RPPNMLLJMHGGFEE27DA,坡道機械,920000,6.76,
RPQNMLLJMHGGFEE37DA,坡道平面,1450000,15.13,
RPRNMLLJMHGGFEE47DA,坡道機械,980000,8.31,
RPPOMLPLLHGGFEE87DA,坡道平面,1500000,33.04,
RPSQMLPLLHGGFEE38DA,坡道平面,0,18.11,
RPSQMLPLLHGGFEE38DA,坡道平面,0,15.62,
RPTOMLNJKHGGFEE77DA,坡道平面,1500000,33.04,
RPRPMLMLKHGGFEE77DA,坡道平面,1400000,33.04,
RPUNMLTKKHGGFEE48DA,坡道平面,1400000,33.04,
RPSNMLPLKHGGFEE97DA,坡道平面,1500000,33.04,
RPXPMLTKKHGGFEE98DA,坡道平面,1350000,34.11,
RPSOMLKKLHGGFEE57DA,坡道平面,0,,
RPRQMLSJLHGGFEE38DA,坡道機械,0,10.05,
RPWNMLMKLHGGFEE08DA,坡道平面,1400000,33.04,
RPPPMLPKLHGGFEE87DA,坡道機械,0,13.54,
RPVUMLQKLHGGFEE09DA,坡道平面,1350000,34.11,
RPVOMLLMLHGGFDE08DA,坡道平面,1800000,29.27,
RPXOMLLMLHGGFDE28DA,坡道平面,1800000,29.27,
RPSQMLPLLHGGFDE28DA,坡道平面,0,19.09,
RPUOMLQLLHGGFDE38DA,坡道平面,0,20.26,
RPOOMLQJLHGGFDE57DA,坡道平面,1500000,16.61,
RPQNMLLMLHGGFCE37DA,坡道平面,0,,
