鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1100227,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1800,,坡道平面,12.65,1800,,RPQNMLLJLHGGFBE07CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1100227,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.65,2000,,RPRNMLLJLHGGFBE17CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1100225,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,13.32,2000,,RPSNMLLJLHGGFBE27CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1100224,土地0建物1車位0,十七層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,120.61,3,2,2,有,有,有,15000,124,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；,RPTNMLLJLHGGFBE37CC
前鎮區,房地(土地+建物),高雄市前鎮區一心二路61~90號,62.4,商,,,1100226,土地1建物2車位0,見其它登記事項,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680303,197.2,0,0,0,無,無,無,55000,279,,0.0,0,,RPSNMLLJLHGGFCE37CC
三民區,房地(土地+建物),高雄市三民區重慶路211~240號,68.0,商,,,1100226,土地1建物1車位0,全,3,透天厝,,加強磚造,0640430,178.92,2,2,2,有,無,有,24000,134,,0.0,0,,RPOOMLLJLHGGFDE17CC
三民區,房地(土地+建物)+車位,高雄市三民區大順二路661~690號,10.0,商,,,1100224,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091019,159.86,3,2,2,有,有,有,28000,175,坡道平面,17.87,0,,RPRNMLMJLHGGFDE47CC
三民區,房地(土地+建物),高雄市三民區鼎瑞街91~120號,66.5,住,,,1100301,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0850408,51.26,1,1,1,有,無,無,12000,234,,0.0,0,,RPSNMLMJLHGGFDE57CC
三民區,房地(土地+建物),高雄市三民區清華街211~240號,53.33,住,,,1100201,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0680118,98.4,2,2,3,有,無,無,25000,254,,0.0,0,有增建四層和五層，所承租範圍二層到五層格局5房2廳5衛，有電梯的透天厝。,RPOOMLMJLHGGFDE27CC
三民區,房地(土地+建物),高雄市三民區褒揚街181~210號,5.52,商,,,1100222,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820826,53.32,2,1,1,有,有,有,8000,150,,0.0,0,,RPPOMLMJLHGGFDE37CC
