編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLMJLHGGFDE27CC,42,98.40,,鋼筋混凝土造,68年1月18日,三層,
RPRNMLMJLHGGFDE47CC,,90.98,集合住宅,鋼筋混凝土造,109年10月19日,十五層,
RPRNMLMJLHGGFDE47CC,,68.88,本共有部分之項目有防空避難室兼停車空間、門廳及管委會使用空間、梯間、車道、停車空間、外廊、管道間、陽台、管委會使用空間、樓梯間、水箱及機房等項。,鋼筋混凝土造,109年10月19日,十五層,
RPSNMLLJLHGGFCE37CC,42,98.60,,鋼筋混凝土造,68年3月3日,五層,
RPSNMLLJLHGGFCE37CC,42,98.60,,鋼筋混凝土造,68年3月3日,五層,
RPSNMLMJLHGGFDE57CC,25,51.26,住商用,鋼筋混凝土造,85年4月8日,四層,
RPTNMLLJLHGGFBE37CC,24,91.31,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPTNMLLJLHGGFBE37CC,24,29.30,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPPOMLMJLHGGFDE37CC,27,39.13,住家用,鋼筋混凝土造,82年8月26日,十二層,
RPPOMLMJLHGGFDE37CC,27,14.19,住家用,鋼筋混凝土造,82年8月26日,十二層,
RPOOMLLJLHGGFDE17CC,46,178.92,,加強磚造,64年4月30日,三層,
RPTOMLMJLHGGFDE77CC,7,97.33,住家用,鋼筋混凝土造,102年10月23日,十五層,
RPSQMLMJLHGGFDE87CC,13,120.04,住商用,鋼筋混凝土造,96年9月19日,五層,
RPXOMLMJLHGGFDE18CC,50,203.17,住商用,加強磚造,60年4月21日,三層,
RPWNMLMJLHGGFBE77CC,42,37.37,,鋼筋混凝土造,68年6月26日,五層,
RPTNMLMJLHGGFBE47CC,51,94.64,,加強磚造,58年11月25日,二層,
RPXNMLMJLHGGFAE77CC,50,170.82,,加強磚造,59年10月28日,三層,
RPPNMLMJLHGGFAE96CC,55,60.64,,加強磚造,55年1月23日,二層,
RPPOMLMJLHGGFAE07CC,16,282.35,住家用,鋼筋混凝土造,93年10月25日,十層,
RPVOMLMJLHGGFAE67CC,22,120.70,住商用,鋼筋混凝土造,87年12月10日,十四層,
RPVOMLMJLHGGFAE67CC,22,35.67,共有部分,鋼筋混凝土造,87年12月10日,十四層,
RPQPMLMJLHGGFEE67CC,24,99.85,住家用,鋼筋混凝土造,86年8月11日,八層,
RPQPMLMJLHGGFEE67CC,24,51.43,見使用執照,鋼筋混凝土造,86年8月11日,八層,
RPURMLMJLHGGFEE28CC,31,297.69,住商用,鋼筋混凝土造,78年9月8日,五層,
RPVRMLMJLHGGFEE38CC,15,69.83,見其它登記事項,鋼筋混凝土造,95年7月6日,十五層,
RPVRMLMJLHGGFEE38CC,15,87.99,住家用,鋼筋混凝土造,95年7月6日,十五層,
RPSNMLMJLHGGFGE87CC,34,78.49,住家用,鋼筋混凝土造,75年10月20日,五層,
RPSNMLMJLHGGFGE87CC,34,11.47,見使用執照,鋼筋混凝土造,75年10月20日,五層,
RPSNMLMJLHGGFIE08CC,3,25.63,見其他登記事項,見其他登記事項,107年6月6日,四層,
RPUOMLMJLHGGFGE18CC,40,92.27,住家用,鋼筋混凝土造,70年1月29日,五層,
RPWNMLMJLHGGFIE48CC,46,197.11,住家用,加強磚造,63年9月7日,三層,
RPQOMLNJLHGGFGE87CC,39,44.80,住商用,鋼筋混凝土造,70年9月26日,五層,
RPVOMLNJLHGGFGE38CC,28,89.75,住家用,鋼筋混凝土造,81年11月10日,十三層,
RPVOMLNJLHGGFGE38CC,28,37.64,共有部份,鋼筋混凝土造,81年11月10日,十三層,
RPVNMLNJLHGGFFE18CC,3,19.92,見其他登記事項,鋼筋混凝土造,107年8月20日,七層,
RPVNMLNJLHGGFFE18CC,3,9.70,見其他登記事項,鋼筋混凝土造,107年8月20日,七層,
RPOOMLNJLHGGFEE47CC,15,81.80,住家用,鋼筋混凝土造,94年10月12日,十五層,
RPOOMLNJLHGGFEE47CC,15,43.88,見使用執照,鋼筋混凝土造,94年10月12日,十五層,
RPWNMLNJLHGGFFE28CC,3,22.56,見其他登記事項,鋼筋混凝土造,107年8月20日,七層,
RPWNMLNJLHGGFFE28CC,3,10.96,見其他登記事項,鋼筋混凝土造,107年8月20日,七層,
RPSOMLNJLHGGFAE47CC,5,253.27,集合住宅,鋼筋混凝土,104年8月25日,十五層,
RPUOMLNJLHGGFEE08CC,21,67.87,住家用,見使用執照,89年3月1日,十四層,
RPUOMLNJLHGGFEE08CC,21,31.75,見使用執照,見使用執照,89年3月1日,十四層,
RPTPMLNJLHGGFEE08CC,18,56.05,住家用,見使用執照,91年8月21日,十四層,
