編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQNMLLJLHGGFBE07CC,意誠段,.00,都市：商,,,
RPSNMLLJLHGGFBE27CC,意誠段,.00,都市：商,,,
RPOOMLMJLHGGFDE27CC,澄清段一小段,53.33,都市：住,,,
RPRNMLMJLHGGFDE47CC,灣成段,10.00,都市：商,,,
RPSNMLLJLHGGFCE37CC,愛群段,62.40,都市：商,,,
RPRNMLLJLHGGFBE17CC,意誠段,.00,都市：商,,,
RPSNMLMJLHGGFDE57CC,鼎泰段,66.50,都市：住,,,
RPTNMLLJLHGGFBE37CC,意誠段,.00,都市：商,,,
RPPOMLMJLHGGFDE37CC,獅頭段一小段,5.52,都市：商,,,
RPOOMLLJLHGGFDE17CC,大港段四小段,68.00,都市：商,,,
RPTOMLMJLHGGFDE77CC,金獅段,.00,都市：商,,,
RPPQMLMJLHGGFDE57CC,灣內段,5758.36,都市：工,,,
RPSQMLMJLHGGFDE87CC,建民段,.00,都市：商,,,
RPXOMLMJLHGGFDE18CC,三塊厝段,85.00,都市：商,,,
RPRQMLMJLHGGFEE87CC,新吉段,400.00,都市：住,,,
RPWNMLMJLHGGFBE77CC,苓中段,24.60,都市：商,,,
RPTNMLMJLHGGFBE47CC,福河段,70.00,都市：住,,,
RPXNMLMJLHGGFAE77CC,前金段,52.00,都市：商,,,
RPXNMLMJLHGGFAE77CC,前金段,10.00,都市：商,,,
RPPNMLMJLHGGFAE96CC,文東段,83.00,都市：商,,,
RPPOMLMJLHGGFAE07CC,青海段,91.35,都市：住,,,
RPVOMLMJLHGGFAE67CC,龍華段二小段,13.02,都市：商,,,
RPQPMLMJLHGGFEE67CC,菜公段六小段,17.99,都市：住,,,
RPURMLMJLHGGFEE28CC,新庄段十二小段,73.00,都市：住,,,
RPVRMLMJLHGGFEE38CC,新光段,23.85,都市：商,,,
RPSNMLMJLHGGFGE87CC,新庄子段,29.47,都市：住,,,
RPSNMLMJLHGGFIE08CC,興農段,.00,都市：住,,,
RPSNMLMJLHGGFIE08CC,興農段,.00,都市：住,,,
RPUOMLMJLHGGFGE18CC,文山段,30.58,都市：住,,,
RPWNMLMJLHGGFIE48CC,大華段,183.00,都市：住,,,
RPWNMLMJLHGGFIE48CC,大華段,13.00,都市：住,,,
RPQOMLNJLHGGFGE87CC,新甲段,.00,都市：住,,,
RPVOMLNJLHGGFGE38CC,新甲段,12.99,都市：住,,,
RPVNMLNJLHGGFFE18CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPOOMLNJLHGGFEE47CC,福山段,11.92,都市：商,,,
RPWNMLNJLHGGFFE28CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPSOMLNJLHGGFAE47CC,龍華段八小段,18.11,都市：商,,,
RPUOMLNJLHGGFEE08CC,福山段,.00,都市：商,,,
RPROMLNJLHGGFCE57CC,仁愛段,5.00,都市：商,,,
RPROMLNJLHGGFCE57CC,仁愛段,.30,都市：商,,,
RPROMLNJLHGGFCE57CC,仁愛段,46.00,都市：商,,,
RPROMLNJLHGGFCE57CC,仁愛段,8.00,都市：商,,,
RPTPMLNJLHGGFEE08CC,新光段,.00,都市：住,,,
RPQOMLOJLHGGFCE57CC,港墘段,.00,都市：住,,,
RPWQMLNJLHGGFDE38CC,三塊厝段四小段,.00,都市：住,,,
RPQQMLNJLHGGFDE77CC,灣內段,145.24,都市：工,,,
RPQQMLNJLHGGFDE77CC,灣內段,211.29,都市：工,,,
RPQOMLNJLHGGFCE47CC,獅甲段二小段,.00,都市：住,,,
RPVPMLOJLHGGFDE28CC,陽明段二小段,20.96,都市：住,,,
RPVNMLOJLHGGFAE77CC,興仁段,.00,都市：其他:市場用地,,,
RPSOMLNJLHGGFCE67CC,鎮昌段一小段,18.12,都市：住,,,
RPPPMLOJLHGGFCE57CC,瑞崗段三小段,57.00,都市：住,,,
RPTPMLOJLHGGFAE77CC,龍中段,.00,都市：住,,,
RPVOMLOJLHGGFDE18CC,大港段四小段,77.00,都市：商,,,
RPXOMLOJLHGGFCE28CC,盛興段,18.25,都市：住,,,
RPVPMLOJLHGGFAE97CC,鹽中段,71.00,都市：商,,,
RPRQMLOJLHGGFFE18CC,協榮段,215.56,都市：工,,,
RPRQMLOJLHGGFFE18CC,協榮段,656.43,都市：工,,,
RPRQMLOJLHGGFFE18CC,協榮段,1057.17,都市：工,,,
RPVOMLOJLHGGFBE97CC,苓東段,12.76,都市：住,,,
RPTOMLOJLHGGFBE77CC,林德官段,15.62,都市：商,,,
RPTOMLOJLHGGFBE77CC,林德官段,7.46,都市：住,,,
RPXOMLOJLHGGFIE88CC,永仁段,139.00,都市：住,,,
RPXOMLOJLHGGFIE88CC,永仁段,139.15,都市：住,,,
RPXNMLPJLHGGFIE88CC,埔段,345.00,都市：農,,,
RPOOMLPJLHGGFIE08CC,觀音湖段,991.73,都市：農,,,
RPWOMLOJLHGGFEE38CC,新庄段十三小段,.00,都市：商,,,
RPWOMLOJLHGGFEE38CC,新庄段十三小段,.00,都市：商,,,
RPSNMLOJLHGGFLE58CC,翁公園段二小段,581.00,都市：農,,,
RPTQMLOJLHGGFEE28CC,新庄段十二小段,.00,都市：住,,,
RPVPMLOJLHGGFEE38CC,楠都段二小段,19.22,都市：住,,,
RPROMLPJLHGGFIE38CC,興農段,165.29,都市：其他:國小用地,,,
RPXOMLPJLHGGFGE78CC,鳳甲段,.00,都市：住,,,
RPXNMLPJLHGGFEE48CC,楠都段一小段,25.43,都市：住,,,
RPSNMLPJLHGGFGE18CC,五甲段,.00,都市：住,,,
RPWNMLPJLHGGFBE08CC,過田子段,.00,都市：商,,,
RPQOMLPJLHGGFEE87CC,新庄段七小段,66.00,都市：住,,,
RPQOMLPJLHGGFAE47CC,鹽中段,156.00,都市：商,,,
RPQOMLPJLHGGFAE47CC,鹽中段,40.00,都市：商,,,
RPWNMLPJLHGGFDE28CC,覆鼎金段覆鼎金小段,10.08,都市：住,,,
RPWNMLPJLHGGFCE18CC,宏明段,9.88,都市：住,,,
RPOOMLPJLHGGFDE57CC,澄清段一小段,54.00,都市：住,,,
RPUNMLPJLHGGFDE08CC,三塊厝段一小段,67.00,都市：商,,,
RPQNMLQJLHGGFDE77CC,大港段二小段,.00,都市：住,,,
RPSNMLQJLHGGFDE97CC,大港段二小段,.00,都市：住,,,
RPOOMLPJLHGGFCE47CC,盛興段,18.14,都市：住,,,
RPWPMLPJLHGGFCE38CC,獅甲段二小段,.00,都市：其他:第三種特定商業專用區,,,
RPUNMLQJLHGGFCE08CC,憲德段一小段,4.41,都市：住,,,
RPTNMLQJLHGGFCE97CC,光華段一小段,17.78,都市：住,,,
RPTNMLQJLHGGFCE97CC,光華段一小段,2.92,都市：商,,,
RPTNMLQJLHGGFDE08CC,大港段二小段,.00,都市：住,,,
RPPNMLQJLHGGFDE67CC,覆鼎金段覆鼎金小段,10.13,都市：住,,,
RPPNMLQJLHGGFBE47CC,意誠段,.00,都市：商,,,
RPUNMLQJLHGGFDE18CC,大港段二小段,.00,都市：住,,,
RPVNMLQJLHGGFDE28CC,灣立段,98.74,都市：商,,,
RPWNMLQJLHGGFDE38CC,覆鼎金段覆鼎金一小段,134.00,都市：商,,,
RPRNMLQJLHGGFAE57CC,博孝段,5.50,都市：商,,,
RPQNMLQJLHGGFAE47CC,北金段,5.53,都市：商,,,
RPSNMLQJLHGGFAE67CC,龍中段,12.46,都市：商,,,
RPRNMLQJLHGGFBE67CC,新興段一小段,.00,都市：商,,,
RPQNMLQJLHGGFBE57CC,意誠段,.00,都市：商,,,
RPSNMLQJLHGGFBE77CC,新興段一小段,.00,都市：商,,,
RPTNMLQJLHGGFBE87CC,林德官段,3.39,都市：商,,,
RPQNMLQJLHGGFEE87CC,新庄段五小段,96.00,都市：住,,,
RPQNMLQJLHGGFEE87CC,新庄段五小段,181.00,都市：住,,,
