編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLJLHGGFBE07CC,坡道平面,1800,12.65,
RPSNMLLJLHGGFBE27CC,坡道平面,2000,13.32,
RPRNMLMJLHGGFDE47CC,坡道平面,0,17.87,
RPRNMLLJLHGGFBE17CC,坡道平面,2000,14.65,
RPVRMLMJLHGGFEE38CC,坡道平面,0,33.01,
RPSOMLNJLHGGFAE47CC,坡道平面,0,21.71,
RPTPMLNJLHGGFEE08CC,坡道平面,0,15.88,
RPVPMLOJLHGGFDE28CC,坡道平面,0,19.50,
RPVNMLOJLHGGFAE77CC,坡道平面,0,,
RPSOMLNJLHGGFCE67CC,坡道平面,0,,
RPXOMLOJLHGGFCE28CC,坡道平面,0,24.85,
RPXNMLPJLHGGFEE48CC,坡道機械,0,10.67,
RPWNMLPJLHGGFDE28CC,坡道平面,0,,
RPOOMLPJLHGGFCE47CC,坡道平面,0,,
RPWPMLPJLHGGFCE38CC,坡道平面,0,24.18,
RPTNMLQJLHGGFCE97CC,坡道機械,0,15.25,
RPPNMLQJLHGGFBE47CC,坡道平面,2200,14.65,
RPRNMLQJLHGGFEE97CC,坡道機械,0,12.50,
RPTNMLQJLHGGFEE18CC,坡道機械,0,5.29,
RPSNMLQJLHGGFEE08CC,坡道平面,0,20.78,
RPPSMLSJLHGGFEE48CC,坡道機械,0,,
RPVPMLTJLHGGFEE88CC,坡道機械,0,18.67,
RPXOMLKKLHGGFDE08CC,坡道機械,0,11.57,
RPPPMLKKLHGGFCE27CC,坡道機械,0,7.27,
RPTPMLKKLHGGFDE77CC,坡道平面,0,22.18,
