鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),重慶路346巷1~30號,23.2,都市：其他:道路用地,,,1100130,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,100.21,3,2,2,有,無,8800000,87816,,0.0,0,,RPUNMLTKKHGGFAF18DA,100.21,0.0,0.0,無,
板橋區,房地(土地+建物),中山路二段412巷1~30號,40.75,都市：其他:住宅區,,,1100221,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670128,98.0,4,2,1,有,無,10000000,102041,,0.0,0,其他增建；,RPSSMLNJLHGGFAF87DA,98.0,0.0,0.0,無,
板橋區,房地(土地+建物),三民路一段1巷1~30號,34.0,都市：其他:住宅區,,,1100223,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,72.57,0,1,0,有,無,14600000,201185,,0.0,0,其他增建；,RPUNMLLKLHGGFAF47DA,72.57,0.0,0.0,無,
板橋區,土地,介壽段691~720地號,5.62,都市：其他:道路用地,,,1100312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,160142,,0.0,0,包含公共設施保留地用地；,RPQOMLMKLHGGFAF27DA,0.0,0.0,0.0,無,0001
板橋區,房地(土地+建物),館前東路1~30號,6.81,都市：其他:道路用地,,,1100226,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810821,69.05,2,1,1,有,有,10450000,151340,,0.0,0,其他增建；,RPXNMLQKLHGGFAF28DA,50.19,0.0,0.0,有,0002
板橋區,房地(土地+建物),三民路二段241~270號,14.5,都市：其他:住宅區,,,1100302,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090929,99.38999999999999,2,2,1,有,有,13130000,132106,,0.0,0,,RPQOMLQKLHGGFAF67DA,56.02,3.15,7.65,有,
板橋區,房地(土地+建物),三民路二段241~270號,10.23,都市：其他:住宅區,,,1100302,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090929,70.1,2,1,1,有,有,10000000,142653,,0.0,0,,RPWPMLQKLHGGFAF38DA,42.8,1.24,3.09,有,
板橋區,房地(土地+建物),三民路二段211~240號,16.94,都市：其他:住宅區,,,1100302,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090929,116.07,3,1,2,有,有,16500000,142156,,0.0,0,,RPRQMLQKLHGGFAF97DA,67.6,3.15,7.28,有,
板橋區,房地(土地+建物),南雅東路1~30號,4.9,都市：其他:商業區,,,1100301,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0861121,46.269999999999996,1,1,1,有,有,5300000,114545,,0.0,0,,RPTUMLQKLHGGFAF58DA,30.57,0.0,0.0,有,
板橋區,房地(土地+建物),華東街271~300號,12.37,都市：其他:住宅區,,,1091205,土地2建物1車位0,三層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050205,133.72,3,2,2,有,有,21250000,158914,,0.0,0,含裝潢費；預售屋、或土地及建物分次登記案件；,RPTOMLPLLHGGFAF97DA,79.09,6.31,8.61,有,
板橋區,房地(土地+建物),莊敬路1~30號,8.32,都市：其他:商業區,,,1100313,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040826,92.72,2,1,1,有,有,19500000,210311,,0.0,0,,RPXOMLPLLHGGFAF38DA,51.98,3.22,3.85,有,0003
