編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLQKLHGGFAF67DA,,66.82,集合住宅,鋼筋混凝土造,109年9月29日,十一層,九層
RPQOMLQKLHGGFAF67DA,,32.57,本共有部分項目：（防空避難室兼停車空間、Ｂ梯、無障礙樓梯、梯廳、電信機房、發電機室、停車空間、蓄水池、消防泵浦室、戶外安全梯、Ａ梯、１２人份電梯（無障礙昇降機）、樓梯間、水箱、機械室）共１５項。,鋼筋混凝土造,109年9月29日,十一層,
RPRQMLQKLHGGFAF97DA,,78.03,集合住宅,鋼筋混凝土造,109年9月29日,十一層,八層
RPRQMLQKLHGGFAF97DA,,38.04,本共有部分項目：（防空避難室兼停車空間、Ｂ梯、無障礙樓梯、梯廳、電信機房、發電機室、停車空間、蓄水池、消防泵浦室、戶外安全梯、Ａ梯、１２人份電梯（無障礙昇降機）、樓梯間、水箱、機械室）共１５項。,鋼筋混凝土造,109年9月29日,十一層,
RPWPMLQKLHGGFAF38DA,,47.13,集合住宅,鋼筋混凝土造,109年9月29日,十一層,十一層
RPWPMLQKLHGGFAF38DA,,22.97,本共有部分項目：（防空避難室兼停車空間、Ｂ梯、無障礙樓梯、梯廳、電信機房、發電機室、停車空間、蓄水池、消防泵浦室、戶外安全梯、Ａ梯、１２人份電梯（無障礙昇降機）、樓梯間、水箱、機械室）共１５項。,鋼筋混凝土造,109年9月29日,十一層,
RPSSMLNJLHGGFAF87DA,43,98.00,住家用,鋼筋混凝土造,67年1月28日,四層,三層
RPUNMLLKLHGGFAF47DA,,72.57,住家用,加強磚造,,四層,一層
RPUNMLTKKHGGFAF18DA,,100.21,住家用,鋼筋混凝土造,,五層,五層
RPXNMLQKLHGGFAF28DA,29,50.19,住家用,鋼筋混凝土造,81年8月21日,十一層,十一層
RPXNMLQKLHGGFAF28DA,29,9.07,共有部份,鋼筋混凝土造,81年8月21日,十一層,
RPXNMLQKLHGGFAF28DA,29,9.79,共有部份,鋼筋混凝土造,81年8月21日,十一層,
RPTUMLQKLHGGFAF58DA,23,30.57,辦公室,鋼筋混凝土造,86年11月21日,十一層,九層
RPTUMLQKLHGGFAF58DA,23,6.45,共有部份,鋼筋混凝土造,86年11月21日,十一層,
RPTUMLQKLHGGFAF58DA,23,9.26,共有部份,鋼筋混凝土造,86年11月21日,十一層,
RPTOMLPLLHGGFAF97DA,5,47.01,集合住宅,鋼筋混凝土造,105年2月5日,二十四層,三層
RPTOMLPLLHGGFAF97DA,5,47.01,集合住宅,鋼筋混凝土造,105年2月5日,二十四層,三層
RPTOMLPLLHGGFAF97DA,5,13.06,本共有項目部分有：排煙室，緊急升降機，行動不便電梯，特別安全梯，門廳，門廊，防災中心，管委會空間，男廁，女廁，游泳池，社區活動中心，水箱，發電機室進排風口，辦公室，梯廳，消防水箱，安全梯，機械室，陽台，雨遮，梯間等２２項,鋼筋混凝土造,105年2月5日,二十四層,
RPTOMLPLLHGGFAF97DA,5,13.06,本共有項目部分有：排煙室，緊急升降機，行動不便電梯，特別安全梯，門廳，門廊，防災中心，管委會空間，男廁，女廁，游泳池，社區活動中心，水箱，發電機室進排風口，辦公室，梯廳，消防水箱，安全梯，機械室，陽台，雨遮，梯間等２２項,鋼筋混凝土造,105年2月5日,二十四層,
RPTOMLPLLHGGFAF97DA,5,6.80,本共有項目部分有：防空避難室兼停車空間，停車空間，車道，機車停車空間，自行車停車空間，機車道，發電機室，水池機房，消防機房，垃圾儲藏室，垃圾暫存區，梯廳，安全梯，行動不便電梯，台電配電室，電信機房，機房，蓄水池，電梯，消防機房，污水機房等２１項,鋼筋混凝土造,105年2月5日,二十四層,
RPTOMLPLLHGGFAF97DA,5,6.80,本共有項目部分有：防空避難室兼停車空間，停車空間，車道，機車停車空間，自行車停車空間，機車道，發電機室，水池機房，消防機房，垃圾儲藏室，垃圾暫存區，梯廳，安全梯，行動不便電梯，台電配電室，電信機房，機房，蓄水池，電梯，消防機房，污水機房等２１項,鋼筋混凝土造,105年2月5日,二十四層,
RPXOMLPLLHGGFAF38DA,6,59.05,集合住宅,鋼筋混凝土造,104年8月26日,十五層,四層
RPXOMLPLLHGGFAF38DA,6,33.67,本共有項目部分有：騎樓、入口大廳、管委會空間、梯廳、走廊、等候空間、警衛室、排煙室、行動不便電梯、行動不便樓梯、行動不便樓電梯、緊急升降機、戶外安全梯、安全梯、機房、水箱、台電配電場所、電信機房、發電機室、消防器材室、消防浦室、客貨昇降機房、儲存空間、防空避難室、防空避難室兼停車空間、客貨昇降機兼機車用、陽台等２７項。,鋼筋混凝土造,104年8月26日,十五層,
RPQNMLSLLHGGFAF87DA,,33.10,本共有部分項目：（騎樓、車道、（機車昇降機）客貨兩用昇降機、汽車昇降機、防空避難室兼汽機車停車空間、行動不便者使用電梯、Ｃ梯、台電配電場所、電信機房、汽車停車空間、水箱、消防機房、梯廳、Ｄ梯）共１４項。,鋼筋混凝土造,110年1月15日,十一層,
RPPNMLSLLHGGFAF77DA,,66.42,集合住宅,鋼筋混凝土造,110年1月15日,十一層,三層
RPPNMLSLLHGGFAF77DA,,19.19,本共有部分項目：（騎樓、梯廳、無障礙樓梯、安全梯、Ａ梯、Ｂ梯、行動不便者使用電梯、發電機室、民生水箱、消防水箱、管理委員會使用空間、雨遮）共１２項。,鋼筋混凝土造,110年1月15日,十一層,
RPPNMLSLLHGGFAF77DA,,14.72,本共有部分項目：（騎樓、車道、（機車昇降機）客貨兩用昇降機、汽車昇降機、防空避難室兼汽機車停車空間、行動不便者使用電梯、Ｃ梯、台電配電場所、電信機房、汽車停車空間、水箱、消防機房、梯廳、Ｄ梯）共１４項。,鋼筋混凝土造,110年1月15日,十一層,
RPXOMLQLLHGGFAF48DA,56,43.00,住家用,加強磚造,53年10月28日,二層,一層
RPOQMLQLLHGGFAF77DA,,78.74,住家用,鋼筋混凝土造,,四層,一層 平台
RPRNMLSLLHGGFAF97DA,,66.42,集合住宅,鋼筋混凝土造,110年1月15日,十一層,六層
RPRNMLSLLHGGFAF97DA,,19.19,本共有部分項目：（騎樓、梯廳、無障礙樓梯、安全梯、Ａ梯、Ｂ梯、行動不便者使用電梯、發電機室、民生水箱、消防水箱、管理委員會使用空間、雨遮）共１２項。,鋼筋混凝土造,110年1月15日,十一層,
RPRNMLSLLHGGFAF97DA,,47.82,本共有部分項目：（騎樓、車道、（機車昇降機）客貨兩用昇降機、汽車昇降機、防空避難室兼汽機車停車空間、行動不便者使用電梯、Ｃ梯、台電配電場所、電信機房、汽車停車空間、水箱、消防機房、梯廳、Ｄ梯）共１４項。,鋼筋混凝土造,110年1月15日,十一層,
RPWOMLQLLHGGFAF38DA,12,44.77,住家用,鋼筋混凝土造,97年11月20日,十三層,七層
RPWOMLQLLHGGFAF38DA,12,14.33,共有部份,鋼筋混凝土造,97年11月20日,十三層,
RPWOMLQLLHGGFAF38DA,12,9.72,共有部份,鋼筋混凝土造,97年11月20日,十三層,
RPTQMLPLLHGGFAF18DA,,49.26,住家用,鋼筋混凝土造,,七層,七層
RPTQMLPLLHGGFAF18DA,,19.86,見使用執照,鋼筋混凝土造,,七層,
RPSOMLQLLHGGFAF97DA,2,49.72,工業發展有關設施（工業產品展示服務業）,鋼筋混凝土造,108年6月25日,十九層,十一層
