交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,介壽段691~720地號,1030312,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2220000,197333,0,0001
土地,介壽段691~720地號,1060512,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1560000,138667,0,0001
土地,介壽段691~720地號,1100312,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,900000,160142,0,0001
房地(土地+建物),新北市板橋區館前東路1~30號,1020626,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),21,69.05,2,1,1,有,有,8330000,120637,0,0002
房地(土地+建物),館前東路1~30號,1100226,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),29,69.05,2,1,1,有,有,10450000,151340,0,0002
房地(土地+建物),新北市板橋區莊敬路1~30號,1031013,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),0,92.72,2,1,1,有,有,19580000,211173,0,0003
房地(土地+建物),莊敬路1~30號,1100313,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),6,92.72,2,1,1,有,有,19500000,210311,0,0003
房地(土地+建物),新北市板橋區廣和街61~90號,1030625,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),6,68.82000000000001,1,1,1,有,有,9000000,130776,0,0004
房地(土地+建物),廣和街61~90號,1100225,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),12,68.82000000000001,2,1,1,有,有,9380000,136298,0,0004
車位,長江路二段151~180號,1090725,土地1建物1車位1,,,其他,-1,33.1,0,0,0,有,有,1600000,,1600000,0005
車位,長江路二段151~180號,1090725,土地1建物1車位1,,,其他,-1,33.1,0,0,0,有,有,1500000,,1500000,0005
房地(土地+建物)+車位,新北市板橋區南雅南路一段1~30號,1010809,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),0,119.31,2,1,1,有,無,10900000,102093,900000,0006
房地(土地+建物)+車位,新北市板橋區南雅南路一段1~30號,1040509,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),3,119.31,2,2,1,有,有,17050000,142905,0,0006
房地(土地+建物)+車位,南雅南路一段1~30號,1100109,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),9,119.31,2,2,1,有,有,17360000,145503,0,0006
房地(土地+建物),新北市土城區永寧路1~30號,1070318,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),12,85.63,2,1,1,有,有,10000000,116782,0,0007
房地(土地+建物),永寧路1~30號,1100318,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),15,85.63,0,1,1,有,有,10000000,116782,0,0007
房地(土地+建物),仁愛路49巷1~30號,1090705,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),37,98.16,3,2,2,有,無,9300000,94743,0,0008
房地(土地+建物),仁愛路49巷1~30號,1100305,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),37,98.16,3,2,2,有,無,10350000,105440,0,0008
土地,江子翠段新埔小段1~30地號,1100317,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,49839600,196800,0,0009
土地,江子翠段新埔小段1~30地號,1100317,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,78769200,196800,0,0009
房地(土地+建物),新北市林口區文化二路一段20巷1~30號,1080303,土地1建物1車位0,六層,十四層,套房(1房1廳1衛),25,38.43,1,1,1,有,有,3500000,91075,0,0011
房地(土地+建物),文化二路一段20巷1~30號,1100203,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),27,38.43,1,1,1,有,有,3880000,100963,0,0011
房地(土地+建物),新北市新莊區後港一路49巷1~30號,1020519,土地1建物1車位0,四層，五層,五層,公寓(5樓含以下無電梯),24,146.38,4,2,2,有,無,10400000,71048,0,0012
房地(土地+建物),新北市新莊區後港一路49巷1~30號,1030719,土地1建物1車位0,四層，五層,五層,公寓(5樓含以下無電梯),25,146.38,4,2,2,有,無,12000000,81978,0,0012
