編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQOMLMKLHGGFAF27DA,介壽段,5.62,都市：其他:道路用地,24,1,持分移轉
RPQOMLQKLHGGFAF67DA,埔墘段,14.50,都市：其他:住宅區,100000,2207,持分移轉
RPRQMLQKLHGGFAF97DA,埔墘段,16.94,都市：其他:住宅區,100000,2578,持分移轉
RPWPMLQKLHGGFAF38DA,埔墘段,10.23,都市：其他:住宅區,100000,1557,持分移轉
RPSSMLNJLHGGFAF87DA,埔墘段,15.25,都市：其他:住宅區,4,1,持分移轉
RPSSMLNJLHGGFAF87DA,埔墘段,25.50,都市：其他:住宅區,4,1,持分移轉
RPUNMLLKLHGGFAF47DA,港子嘴段,34.00,都市：其他:住宅區,4,1,持分移轉
RPUNMLTKKHGGFAF18DA,重慶段,22.60,都市：其他:商業區,5,1,持分移轉
RPUNMLTKKHGGFAF18DA,重慶段,.60,都市：其他:道路用地,5,1,持分移轉
RPXNMLQKLHGGFAF28DA,介壽段,6.70,都市：其他:商業區,10000,157,持分移轉
RPXNMLQKLHGGFAF28DA,介壽段,.12,都市：其他:道路用地,10000,157,持分移轉
RPTUMLQKLHGGFAF58DA,新興段,4.90,都市：其他:商業區,100000,245,持分移轉
RPTOMLPLLHGGFAF97DA,新雅段,11.13,都市：其他:住宅區,100000,225,持分移轉
RPTOMLPLLHGGFAF97DA,力行段,1.24,都市：其他:住宅區,100000,225,持分移轉
RPXOMLPLLHGGFAF38DA,江子翠段第二崁小段,8.32,都市：其他:商業區,100000,880,持分移轉
RPQNMLSLLHGGFAF87DA,江子翠段溪頭小段,3.74,都市：其他:住宅區,100000,795,持分移轉
RPPNMLSLLHGGFAF77DA,江子翠段溪頭小段,11.35,都市：其他:住宅區,100000,2409,持分移轉
RPXOMLQLLHGGFAF48DA,光仁段,38.50,都市：其他:住宅區,2,1,持分移轉
RPOQMLQLLHGGFAF77DA,港子嘴段,23.75,都市：其他:住宅區,4,1,持分移轉
RPRNMLSLLHGGFAF97DA,江子翠段溪頭小段,15.09,都市：其他:住宅區,100000,3204,持分移轉
RPWOMLQLLHGGFAF38DA,和平段,7.46,都市：其他:住宅區,100000,692,持分移轉
RPSOMLQLLHGGFAF97DA,中華段,18.90,都市：其他:乙種工業區,100000,447,持分移轉
RPTQMLPLLHGGFAF18DA,江子翠段第二崁小段,9.88,都市：其他:住宅區,10000,91,持分移轉
RPUNMLSLLHGGFAF28DA,江子翠段溪頭小段,6.03,都市：其他:住宅區,100000,1280,持分移轉
RPPNMLTLLHGGFAF87DA,江子翠段溪頭小段,6.03,都市：其他:住宅區,100000,1280,持分移轉
RPQNMLTLLHGGFAF97DA,江子翠段溪頭小段,6.03,都市：其他:住宅區,100000,1280,持分移轉
RPRNMLTLLHGGFAF08DA,江子翠段溪頭小段,6.03,都市：其他:住宅區,100000,1280,持分移轉
RPVUMLTLLHGGFAF56DA,廷寮段,17.25,都市：其他:第二種住宅區,10000,111,持分移轉
RPVPMLTLLHGGFAF68DA,幸福段,23.50,都市：其他:住宅區,4,1,持分移轉
RPSONLTLLHGGFAF38DA,員和段,21.21,都市：其他:第二種住宅區,5,1,持分移轉
RPXRMLTLLHGGFAF09DA,新興段,4.45,都市：其他:商業區,200000,896,持分移轉
RPXRMLTLLHGGFAF09DA,新興段,4.45,都市：其他:商業區,200000,896,持分移轉
RPPOMLTLLHGGFAF97DA,江子翠段溪頭小段,6.75,都市：其他:住宅區,200000,2867,持分移轉
RPPOMLTLLHGGFAF97DA,江子翠段溪頭小段,6.75,都市：其他:住宅區,200000,2867,持分移轉
RPROMLTLLHGGFAF18DA,江子翠段溪頭小段,6.75,都市：其他:住宅區,200000,2867,持分移轉
RPROMLTLLHGGFAF18DA,江子翠段溪頭小段,6.75,都市：其他:住宅區,200000,2867,持分移轉
RPQOMLTLLHGGFAF08DA,江子翠段溪頭小段,13.50,都市：其他:住宅區,100000,2867,持分移轉
RPWNNLKMLHGGFAF87DA,江子翠段新埔小段,167.00,都市：其他:道路用地,2,1,持分移轉
RPWNNLKMLHGGFAF87DA,江子翠段新埔小段,86.25,都市：其他:道路用地,4,1,持分移轉
RPUNMLKMLHGGFAF57DA,永寧段,12.90,都市：其他:住宅區,10000,81,持分移轉
RPTRMLKMLHGGFAF87DA,仁愛段,27.84,都市：其他:住宅區,1000,48,持分移轉
RPOONLKMLHGGFAF17DA,江子翠段新埔小段,314.00,都市：其他:道路用地,2,1,持分移轉
RPOONLKMLHGGFAF17DA,江子翠段新埔小段,86.25,都市：其他:道路用地,4,1,持分移轉
RPUOMLLMLHGGFAF77DA,中華段,27.50,都市：其他:乙種工業區,100000,566,持分移轉
RPRPMLLMLHGGFAF57DA,城林段,12.52,都市：其他:乙種工業區,10000,34,持分移轉
RPXPMLLMLHGGFAF18DA,中華段,22.89,都市：其他:乙種工業區,100000,471,持分移轉
RPRNMLMJKHGGFBF17DA,御史段,22.20,都市：其他:住宅區,10000,123,持分移轉
RPSTMLPJKHGGFBF18DA,中原段,13.90,都市：其他:商業區,10000,69,持分移轉
RPSPMLLMLHGGFAF67DA,中華段,22.89,都市：其他:乙種工業區,100000,471,持分移轉
RPUTMLPJKHGGFBF38DA,中原段,17.53,都市：其他:商業區,10000,87,持分移轉
RPTTMLPJKHGGFBF28DA,中原段,17.53,都市：其他:商業區,10000,87,持分移轉
RPSUMLPJKHGGFBF28DA,中原段,18.74,都市：其他:商業區,10000,93,持分移轉
RPWVMLPJKHGGFBF78DA,麗林段,73.35,都市：其他:第二種住宅區,10000,129,持分移轉
RPOPMLNLKHGGFBF37DA,國宅段,5.55,都市：其他:第五種住宅區,10000,11,持分移轉
RPXPMLPLKHGGFBF48DA,忠孝段,14.61,都市：其他:住宅區,100000,1712,持分移轉
RPQTMLTKKHGGFBF48DA,輔大段,42.29,都市：其他:住宅區,10000,47,持分移轉
RPPRMLNLKHGGFBF67DA,輔大段,42.29,都市：其他:住宅區,10000,47,持分移轉
