編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLSLLHGGFAF87DA,升降平面,1600000,33.10,地下一樓
RPRNMLSLLHGGFAF97DA,升降平面,1400000,33.10,地下三樓
RPSOMLQLLHGGFAF97DA,坡道平面,1800000,36.20,地下二樓
RPXRMLTLLHGGFAF09DA,升降機械,0,21.37,地下三樓
RPPOMLTLLHGGFAF97DA,升降平面,1400000,33.10,地下三樓
RPROMLTLLHGGFAF18DA,升降平面,1500000,33.10,地下二樓
RPQOMLTLLHGGFAF08DA,升降平面,1500000,33.10,地下二樓
RPUOMLLMLHGGFAF77DA,坡道平面,1700000,33.11,地下三樓
RPXPMLLMLHGGFAF18DA,坡道平面,1800000,36.67,地下三樓
RPSTMLPJKHGGFBF18DA,坡道平面,2100000,33.71,
RPSPMLLMLHGGFAF67DA,坡道平面,1950000,36.67,
RPUTMLPJKHGGFBF38DA,坡道平面,2300000,33.71,
RPTTMLPJKHGGFBF28DA,坡道平面,2400000,38.02,
RPSUMLPJKHGGFBF28DA,坡道平面,2300000,38.02,
RPWVMLPJKHGGFBF78DA,一樓平面,0,,
RPUPMLTJKHGGFBF38DA,坡道平面,2350000,42.03,
RPVNMLRJLHGGFBF18DA,坡道平面,1800000,26.75,
RPQOMLNLLHGGFBF57DA,坡道平面,0,24.18,
RPTSMLTKLHGGFBF78DA,坡道平面,0,,
RPTSMLTKLHGGFBF78DA,坡道平面,0,,
RPSNMLRLLHGGFBF08DA,坡道平面,0,39.18,
RPXTMLOLLHGGFBF88DA,坡道平面,0,39.18,
RPPPNLTLLHGGFBF28DA,坡道平面,1850000,29.11,
RPXNMLKMLHGGFBF97DA,坡道平面,0,,
RPOPNLTLLHGGFBF18DA,坡道平面,2000000,35.78,
RPPPMLKMLHGGFBF37DA,坡道機械,0,10.26,
RPORMLKMLHGGFBF47DA,坡道平面,1900000,24.99,
RPORMLKMLHGGFBF47DA,坡道平面,1900000,24.99,
