鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
土城區,房地(土地+建物)+車位,明德段271~300地號,17.1,住,,,1090226,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.15,2,2,1,有,無,11100000,108342,坡道平面,33.08,2100000,,RPWNMLMJLHGGFAF67CB
土城區,房地(土地+建物)+車位,明德段271~300地號,17.61,住,,,1090223,土地2建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.15,2,2,1,有,無,10980000,108102,坡道平面,33.08,2000000,,RPXNMLMJLHGGFAF77CB
土城區,房地(土地+建物)+車位,明德段271~300地號,25.02,住,,,1090928,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.66,3,2,2,有,無,15600000,109316,坡道平面,33.08,2200000,,RPPOMLMJLHGGFAF07CB
土城區,房地(土地+建物)+車位,明德段271~300地號,18.74,住,,,1081102,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.49,2,2,1,有,無,11500000,105134,坡道平面,33.08,2100000,,RPQOMLMJLHGGFAF17CB
土城區,房地(土地+建物)+車位,明德段271~300地號,25.02,住,,,1090203,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.66,3,2,2,有,無,15180000,107522,坡道平面,33.08,2000000,,RPSOMLMJLHGGFAF37CB
土城區,房地(土地+建物)+車位,明德段271~300地號,17.61,住,,,1081116,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.15,2,2,1,有,無,10900000,105935,坡道平面,33.08,2100000,,RPVOMLMJLHGGFAF67CB
汐止區,房地(土地+建物)+車位,金龍段181~210地號,20.82,商,,,1080828,土地1建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.8,3,2,2,有,無,16700000,106515,坡道平面,33.73,2100000,,RPROMLMJLHGGFDF57CB
汐止區,房地(土地+建物)+車位,金龍段181~210地號,20.82,商,,,1080909,土地1建物1車位1,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.8,3,2,2,有,無,16500000,106515,坡道平面,33.73,1900000,,RPSOMLMJLHGGFDF67CB
汐止區,房地(土地+建物)+車位,金龍段181~210地號,20.82,商,,,1081001,土地1建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.8,3,2,2,有,無,16830000,107463,坡道平面,33.73,2100000,,RPTOMLMJLHGGFDF77CB
汐止區,房地(土地+建物)+車位,金龍段181~210地號,20.82,商,,,1090315,土地1建物1車位1,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.8,3,2,2,有,無,17030000,109287,坡道平面,33.73,2050000,,RPUOMLMJLHGGFDF87CB
汐止區,房地(土地+建物)+車位,金龍段181~210地號,20.82,商,,,1081231,土地1建物1車位1,十八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.8,3,2,2,有,無,18100000,118188,坡道平面,33.73,1900000,售價包含裝潢或家電。；,RPXOMLMJLHGGFDF18CB
