編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPOMLMJLHGGFAF07CB,明德段,6.32,都市：住,100000,1601,持分移轉
RPWNMLMJLHGGFAF67CB,明德段,4.32,都市：住,100000,1094,持分移轉
RPPOMLMJLHGGFAF07CB,明德段,18.70,都市：住,100000,1601,持分移轉
RPWNMLMJLHGGFAF67CB,明德段,12.78,都市：住,100000,1094,持分移轉
RPQOMLMJLHGGFAF17CB,明德段,4.73,都市：住,100000,1199,持分移轉
RPQOMLMJLHGGFAF17CB,明德段,14.01,都市：住,100000,1199,持分移轉
RPXNMLMJLHGGFAF77CB,明德段,4.45,都市：住,100000,1127,持分移轉
RPXNMLMJLHGGFAF77CB,明德段,13.16,都市：住,100000,1127,持分移轉
RPROMLMJLHGGFDF57CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPSOMLMJLHGGFAF37CB,明德段,6.32,都市：住,100000,1601,持分移轉
RPSOMLMJLHGGFAF37CB,明德段,18.70,都市：住,100000,1601,持分移轉
RPVOMLMJLHGGFAF67CB,明德段,4.45,都市：住,100000,1127,持分移轉
RPVOMLMJLHGGFAF67CB,明德段,13.16,都市：住,100000,1127,持分移轉
RPTOMLMJLHGGFDF77CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPUOMLMJLHGGFDF87CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPSOMLMJLHGGFDF67CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPXOMLMJLHGGFDF18CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPPPMLMJLHGGFDF47CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPOPMLMJLHGGFDF37CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPQPMLMJLHGGFDF57CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPRPMLMJLHGGFDF67CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPSPMLMJLHGGFDF77CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPVPMLMJLHGGFDF08CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPTPMLMJLHGGFDF87CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPWPMLMJLHGGFDF18CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPUPMLMJLHGGFDF97CB,金龍段,20.82,都市：商,100000,391,持分移轉
RPPRMLMJLHGGFDF67CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPORMLMJLHGGFDF57CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPQRMLMJLHGGFDF77CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPVRMLMJLHGGFDF28CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPSRMLMJLHGGFDF97CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPRRMLMJLHGGFDF87CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPTRMLMJLHGGFDF08CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPOSMLMJLHGGFDF67CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPURMLMJLHGGFDF18CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPWRMLMJLHGGFDF38CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPQSMLMJLHGGFDF87CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPUSMLMJLHGGFDF28CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPTSMLMJLHGGFDF18CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPWSMLMJLHGGFDF48CB,金龍段,25.45,都市：商,100000,478,持分移轉
RPPTMLMJLHGGFDF87CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPUTMLMJLHGGFDF38CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPOTMLMJLHGGFDF77CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPRTMLMJLHGGFDF08CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPSTMLMJLHGGFDF18CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPQTMLMJLHGGFDF97CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPVTMLMJLHGGFDF48CB,金龍段,26.09,都市：商,100000,490,持分移轉
RPWTMLMJLHGGFDF58CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPOUMLMJLHGGFDF87CB,金龍段,26.09,都市：商,100000,490,持分移轉
RPTUMLMJLHGGFDF38CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPXUMLMJLHGGFDF78CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPQUMLMJLHGGFDF08CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPWUMLMJLHGGFDF68CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPPUMLMJLHGGFDF97CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPUUMLMJLHGGFDF48CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPSUMLMJLHGGFDF28CB,金龍段,25.56,都市：商,100000,480,持分移轉
RPOVMLMJLHGGFDF97CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPQVMLMJLHGGFDF18CB,金龍段,21.57,都市：商,100000,405,持分移轉
RPSVMLMJLHGGFDF38CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPWVMLMJLHGGFDF78CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPPWMLMJLHGGFDF18CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPTWMLMJLHGGFDF58CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPVVMLMJLHGGFDF68CB,金龍段,20.50,都市：商,100000,385,持分移轉
RPQWMLMJLHGGFDF28CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPTVMLMJLHGGFDF48CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPOWMLMJLHGGFDF08CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPUVMLMJLHGGFDF58CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPVWMLMJLHGGFDF78CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPWWMLMJLHGGFDF88CB,金龍段,21.03,都市：商,100000,395,持分移轉
RPXWMLMJLHGGFDF98CB,金龍段,34.45,都市：商,100000,647,持分移轉
RPQNNLMJLHGGFDF47CB,金龍段,30.40,都市：商,100000,571,持分移轉
RPVNMLSJLHGGFIF98CB,陶瓷段,12.42,都市：住,10000,327,持分移轉
RPSNNLMJLHGGFDF67CB,金龍段,19.91,都市：商,100000,374,持分移轉
