編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLMJLHGGFAF07CB,坡道平面,2200000,33.08,地下二樓
RPWNMLMJLHGGFAF67CB,坡道平面,2100000,33.08,地下二樓
RPQOMLMJLHGGFAF17CB,坡道平面,2100000,33.08,地下二樓
RPXNMLMJLHGGFAF77CB,坡道平面,2000000,33.08,地下四樓
RPROMLMJLHGGFDF57CB,坡道平面,2100000,33.73,地下三樓
RPSOMLMJLHGGFAF37CB,坡道平面,2000000,33.08,地下四樓
RPVOMLMJLHGGFAF67CB,坡道平面,2100000,33.08,地下三樓
RPTOMLMJLHGGFDF77CB,坡道平面,2100000,33.73,地下三樓
RPUOMLMJLHGGFDF87CB,坡道平面,2050000,33.73,地下三樓
RPSOMLMJLHGGFDF67CB,坡道平面,1900000,33.73,地下四樓
RPXOMLMJLHGGFDF18CB,坡道平面,1900000,33.73,地下四樓
RPPPMLMJLHGGFDF47CB,坡道平面,1900000,31.50,地下四樓
RPOPMLMJLHGGFDF37CB,坡道平面,1750000,33.73,地下四樓
RPQPMLMJLHGGFDF57CB,坡道平面,2050000,33.73,地下三樓
RPRPMLMJLHGGFDF67CB,坡道平面,1950000,33.73,地下四樓
RPSPMLMJLHGGFDF77CB,坡道平面,1950000,33.73,地下四樓
RPVPMLMJLHGGFDF08CB,坡道平面,2100000,33.73,地下三樓
RPTPMLMJLHGGFDF87CB,坡道平面,2050000,33.73,地下三樓
RPWPMLMJLHGGFDF18CB,坡道平面,1900000,33.73,地下四樓
RPUPMLMJLHGGFDF97CB,坡道平面,1950000,33.73,地下四樓
RPPRMLMJLHGGFDF67CB,坡道平面,2050000,33.73,地下三樓
RPORMLMJLHGGFDF57CB,坡道平面,2100000,33.73,地下三樓
RPQRMLMJLHGGFDF77CB,坡道平面,2050000,33.73,地下三樓
RPVRMLMJLHGGFDF28CB,坡道平面,2150000,33.73,地下二樓
RPSRMLMJLHGGFDF97CB,坡道平面,1900000,33.73,地下四樓
RPRRMLMJLHGGFDF87CB,坡道平面,2100000,33.73,地下三樓
RPTRMLMJLHGGFDF08CB,坡道平面,2150000,33.73,地下二樓
RPOSMLMJLHGGFDF67CB,坡道平面,2200000,33.73,地下二樓
RPURMLMJLHGGFDF18CB,坡道平面,1950000,33.73,地下四樓
RPWRMLMJLHGGFDF38CB,坡道平面,2100000,33.73,地下二樓
RPQSMLMJLHGGFDF87CB,坡道平面,2000000,33.73,地下三樓
RPUSMLMJLHGGFDF28CB,坡道平面,2100000,33.73,地下三樓
RPTSMLMJLHGGFDF18CB,坡道平面,2050000,33.73,地下三樓
RPWSMLMJLHGGFDF48CB,坡道平面,2050000,33.73,地下三樓
RPPTMLMJLHGGFDF87CB,坡道平面,2100000,33.73,地下三樓
RPUTMLMJLHGGFDF38CB,坡道平面,2100000,33.73,地下三樓
RPOTMLMJLHGGFDF77CB,坡道平面,2050000,33.73,地下三樓
RPRTMLMJLHGGFDF08CB,坡道平面,2100000,33.73,地下三樓
RPSTMLMJLHGGFDF18CB,坡道平面,1950000,33.73,地下四樓
RPQTMLMJLHGGFDF97CB,坡道平面,2000000,31.50,地下三樓
RPVTMLMJLHGGFDF48CB,坡道平面,2100000,33.73,地下三樓
RPVTMLMJLHGGFDF48CB,坡道平面,2050000,33.73,地下三樓
RPWTMLMJLHGGFDF58CB,坡道平面,2100000,33.73,地下三樓
RPOUMLMJLHGGFDF87CB,坡道平面,2000000,33.73,地下三樓
RPOUMLMJLHGGFDF87CB,坡道平面,2000000,33.73,地下三樓
RPTUMLMJLHGGFDF38CB,坡道平面,2000000,33.73,地下三樓
RPXUMLMJLHGGFDF78CB,坡道平面,1950000,33.73,地下四樓
RPQUMLMJLHGGFDF08CB,坡道平面,2050000,33.73,地下三樓
RPWUMLMJLHGGFDF68CB,坡道平面,2100000,33.73,地下三樓
RPPUMLMJLHGGFDF97CB,坡道平面,2100000,33.73,地下三樓
RPUUMLMJLHGGFDF48CB,坡道平面,2050000,31.50,地下三樓
RPSUMLMJLHGGFDF28CB,坡道平面,1950000,33.73,地下四樓
RPOVMLMJLHGGFDF97CB,坡道平面,1510000,33.73,地下四樓
RPQVMLMJLHGGFDF18CB,坡道平面,2100000,33.73,地下三樓
RPQVMLMJLHGGFDF18CB,坡道平面,1900000,33.73,地下四樓
RPSVMLMJLHGGFDF38CB,坡道平面,2100000,33.73,地下三樓
RPWVMLMJLHGGFDF78CB,坡道平面,1900000,33.73,地下四樓
RPPWMLMJLHGGFDF18CB,坡道平面,1900000,31.50,地下四樓
RPTWMLMJLHGGFDF58CB,坡道平面,2100000,33.73,地下三樓
RPQWMLMJLHGGFDF28CB,坡道平面,2100000,33.73,地下三樓
RPTVMLMJLHGGFDF48CB,坡道平面,1950000,33.73,地下四樓
RPOWMLMJLHGGFDF08CB,坡道平面,1950000,33.73,地下四樓
RPUVMLMJLHGGFDF58CB,坡道平面,1950000,33.73,地下四樓
RPVWMLMJLHGGFDF78CB,坡道平面,1900000,31.50,地下四樓
RPWWMLMJLHGGFDF88CB,坡道平面,2050000,31.50,地下三樓
RPXWMLMJLHGGFDF98CB,坡道平面,2100000,33.73,地下三樓
RPQNNLMJLHGGFDF47CB,坡道平面,1900000,33.73,地下四樓
RPSNNLMJLHGGFDF67CB,坡道平面,2100000,33.73,地下三樓
RPRNNLMJLHGGFDF57CB,坡道平面,1800000,33.73,地下二樓
RPWQMLTJLHGGFGF66CB,坡道平面,0,27.87,地下四樓
RPPNMLTJLHGGFAF67CB,坡道平面,1750000,38.02,地下三樓
RPUOMLTJLHGGFDF58CB,坡道平面,1950000,33.73,地下四樓
RPQNMLTJLHGGFAF77CB,坡道平面,1750000,38.02,地下四樓
RPSNMLTJLHGGFAF97CB,坡道平面,2000000,38.02,地下一樓
RPVNMLTJLHGGFAF28CB,坡道平面,1900000,38.02,地下四樓
RPOOMLTJLHGGFAF67CB,坡道平面,1900000,38.02,地下四樓
RPQPMLTJLHGGFAF97CB,坡道平面,2050000,38.02,地下四樓
RPQOMLTJLHGGFAF87CB,坡道平面,2150000,38.02,地下二樓
RPVOMLTJLHGGFAF38CB,坡道平面,2000000,38.02,地下三樓
RPOPMLTJLHGGFAF77CB,坡道平面,2450000,38.02,地下一樓
RPWQMLTJLHGGFAF68CB,坡道平面,2050000,38.02,地下四樓
RPQQMLTJLHGGFAF08CB,坡道平面,2100000,38.02,地下三樓
RPPSMLTJLHGGFAF18CB,坡道平面,1600000,38.02,地下四樓
RPVSMLTJLHGGFAF78CB,坡道平面,2150000,38.02,地下四樓
RPSSMLTJLHGGFAF48CB,坡道平面,2050000,38.02,地下四樓
RPXSMLTJLHGGFAF98CB,坡道平面,2150000,38.02,地下四樓
RPPTMLTJLHGGFAF28CB,坡道平面,2150000,38.02,地下四樓
RPPUMLTJLHGGFAF38CB,坡道平面,1950000,38.02,地下一樓
RPRUMLTJLHGGFAF58CB,坡道平面,2000000,38.02,地下四樓
RPSUMLTJLHGGFAF68CB,坡道平面,1900000,38.02,地下二樓
RPWUMLTJLHGGFAF09CB,坡道平面,2200000,38.02,地下二樓
RPPVMLTJLHGGFAF48CB,坡道平面,2150000,38.02,地下二樓
RPTVMLTJLHGGFAF88CB,坡道平面,2000000,38.02,地下三樓
RPQVMLTJLHGGFAF58CB,坡道平面,1900000,38.02,地下四樓
RPWVMLTJLHGGFAF56CB,坡道平面,2300000,38.02,地下二樓
RPVVMLTJLHGGFAF09CB,坡道平面,2350000,38.02,地下二樓
