鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中和區,建物,新北市中和區景德街91~120號,0.0,住,,,1100203,土地0建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960803,24.8,0,1,1,有,有,有,15000,605,,0.0,0,,RPQNMLLJLHGGFHF77CC
板橋區,建物,新北市板橋區大同街35巷1~30號,0.0,住,,,1100226,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,78.0,0,0,0,無,無,無,30000,385,,0.0,0,,RPPNMLLJLHGGFAF07DC
林口區,房地(土地+建物)+車位,新北市林口區文化2路一段511~540號,31.22,住,,,1100129,土地1建物1車位2,六層,27,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030128,372.3,3,2,4,有,有,無,65000,175,坡道平面,43.14,0,,RPQRMLMJLHGGFBF77DC
土城區,房地(土地+建物),新北市土城區中央路二段271~300號,0.0,住,,,1100122,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840502,222.5,0,0,0,無,有,無,36000,162,,0.0,0,,RPPOMLMJLHGGFAF37EC
土城區,房地(土地+建物),新北市土城區承天路29巷1~30號,2039.0,工,,,1100107,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,,389.0,0,0,0,無,無,無,210000,,,0.0,0,,RPQOMLMJLHGGFAF47EC
土城區,建物,新北市土城區亞洲路91~120號,0.0,工,,,1100107,土地0建物1車位0,見其他登記事項,2,工廠,工商用,鋼筋混凝土造,,125.8,0,0,0,無,無,無,26000,,,0.0,0,含增建或未登記建物。；,RPPPMLMJLHGGFAF47EC
板橋區,房地(土地+建物)+車位,新北市板橋區新崑路91~120號,22.04,住,,,1100120,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051124,123.30000000000001,0,1,1,有,有,無,19000,154,坡道平面,21.29,0,,RPRPMLMJLHGGFAF67EC
樹林區,房地(土地+建物),新北市樹林區光武街1~30號,210.54,其他,,,1100225,土地2建物2車位0,見其他登記事項,2,工廠,住家用,加強磚造,0660312,369.2,0,0,0,無,無,無,120000,,,0.0,0,含增建或未登記建物。；租金未稅.,RPRPMLMJLHGGFIF28CC
永和區,建物,新北市永和區自強街8巷1~30號,0.0,商,,,1100204,土地0建物0車位0,五層,5,套房(1房1廳1衛),商業用,鋼筋混凝土造,0670729,18.8,1,0,1,有,無,有,8200,436,,0.0,0,此為分租套房，第5層共分成5間，一間平均面積約為18.8平方公尺。,RPOPMLMJLHGGFHF87CC
