編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLJLHGGFHF77CC,14,16.30,住家用,鋼筋混凝土造,96年8月3日,七層,
RPQNMLLJLHGGFHF77CC,14,8.50,共有部份,鋼筋混凝土造,96年8月3日,七層,
RPQRMLMJLHGGFBF77DC,7,231.06,集合住宅,鋼筋混凝土造,103年1月28日,二十七層,
RPQRMLMJLHGGFBF77DC,7,34.32,本共有部份之項目有：梯廳、排煙室、消防水箱、中繼機房、樓梯間、機械室、水箱、陽台等８項。,鋼筋混凝土造,103年1月28日,二十七層,
RPQRMLMJLHGGFBF77DC,7,106.92,本共有部份之項目有：梯廳、防災中心、門廊、緩衝空間、排煙室、管委會使用空間、陽台、裝飾柱、機電空間、女廁、男廁、游泳室、ＳＰＡ池、儲藏室、電錶室、水池機房、電信室、供公眾使用停車空間、受電箱、台電配電場所、垃圾室、垃圾車位、發電機室、蓄水池、停車空間、公設蓄水池、消防泵浦室、污水機房、機械室等２９項。,鋼筋混凝土造,103年1月28日,二十七層,
RPRPMLMJLHGGFIF28CC,44,184.60,住家用,加強磚造,66年3月12日,二層,
RPRPMLMJLHGGFIF28CC,44,184.60,住家用,加強磚造,66年3月12日,二層,
RPOPMLMJLHGGFHF87CC,43,18.80,商業用,鋼筋混凝土造,67年7月29日,五層,
RPRPMLMJLHGGFAF67EC,4,68.84,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,
RPRPMLMJLHGGFAF67EC,4,11.02,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,
RPRPMLMJLHGGFAF67EC,4,43.44,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,
RPPNMLLJLHGGFAF07DC,,78.00,住家用,鋼筋混凝土造,,五層,
RPPPMLMJLHGGFAF47EC,,125.80,工商用,鋼筋混凝土造,,二層,
RPUNMLMJLHGGFCF77CC,8,50.53,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPUNMLMJLHGGFCF77CC,8,18.45,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPUNMLMJLHGGFCF77CC,8,.66,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPUNMLMJLHGGFCF77CC,8,3.49,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPUNMLMJLHGGFCF77CC,8,6.52,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPQOMLMJLHGGFAF47EC,,389.00,工業用,鋼造,,一層,
RPPOMLMJLHGGFAF37EC,26,222.50,商業用,鋼筋混凝土造,84年5月2日,十二層,
RPUPMLMJLHGGFEF18CC,15,33.92,住家用,鋼筋混凝土造,94年10月25日,六層,
RPUPMLMJLHGGFEF18CC,15,14.68,共有部份,鋼筋混凝土造,94年10月25日,六層,
RPVPMLMJLHGGFEF28CC,15,33.26,住家用,鋼筋混凝土造,94年10月25日,六層,
RPVPMLMJLHGGFEF28CC,15,14.46,共有部份,鋼筋混凝土造,94年10月25日,六層,
RPWPMLMJLHGGFEF38CC,15,33.18,住家用,鋼筋混凝土造,94年10月25日,六層,
RPWPMLMJLHGGFEF38CC,15,14.46,住家用,鋼筋混凝土造,94年10月25日,六層,
RPVNMLMJLHGGFCF87CC,8,44.33,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPVNMLMJLHGGFCF87CC,8,16.17,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPVNMLMJLHGGFCF87CC,8,.58,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPVNMLMJLHGGFCF87CC,8,3.06,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPVNMLMJLHGGFCF87CC,8,5.80,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPXPMLMJLHGGFEF48CC,15,31.50,住家用,鋼筋混凝土造,94年10月25日,六層,
RPXPMLMJLHGGFEF48CC,15,13.57,共有部份,鋼筋混凝土造,94年10月25日,六層,
RPOQMLMJLHGGFEF67CC,15,29.92,住家用,鋼筋混凝土造,94年10月25日,六層,
RPOQMLMJLHGGFEF67CC,15,12.90,共有部份,鋼筋混凝土造,94年10月25日,六層,
RPRQMLMJLHGGFEF97CC,15,31.14,住家用,鋼筋混凝土造,94年10月25日,六層,
RPRQMLMJLHGGFEF97CC,15,13.57,共有部份,鋼筋混凝土造,94年10月25日,六層,
RPRQMLMJLHGGFBF67CC,27,61.11,住家用,鋼筋混凝土造,83年5月30日,十四層,
RPRQMLMJLHGGFBF67CC,27,42.97,共有部份,鋼筋混凝土造,83年5月30日,十四層,
RPWQMLMJLHGGFBF18CC,2,169.86,工廠,鋼筋混凝土造,107年8月31日,七層,
RPWQMLMJLHGGFBF18CC,2,28.34,本共有部分項目有管理委員會使用空間、管理委員會、無障礙廁所盥洗室、基地內通路、更衣室、廁所、防災中心、走道、梯廳、停車空間、排煙室、電梯間、發電機室、電信室、台電配電場所、水箱、消防泵浦室、雨水過濾機房、梯間、機械房、消防水箱等２１項。,鋼筋混凝土造,107年8月31日,十九層,
