編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQNMLLJLHGGFHF77CC,景新段,.00,都市：住,,,
RPQRMLMJLHGGFBF77DC,力行段,31.22,都市：住,,,
RPRPMLMJLHGGFIF28CC,光武段,105.36,都市：其他:部份住宅區部份道路用地,,,
RPRPMLMJLHGGFIF28CC,光武段,105.18,都市：其他:部份住宅區部份道路用地,,,
RPOPMLMJLHGGFHF87CC,大新段,.00,都市：商,,,
RPRPMLMJLHGGFAF67EC,大豐段,22.04,都市：住,,,
RPPNMLLJLHGGFAF07DC,江子翠段第二崁小段,.00,都市：住,,,
RPPPMLMJLHGGFAF47EC,城林段,.00,都市：工,,,
RPUNMLMJLHGGFCF77CC,中正段,.00,都市：其他:捷運系統用地,,,
RPQOMLMJLHGGFAF47EC,大安段,2039.00,都市：工,,,
RPPOMLMJLHGGFAF37EC,土城段,.00,都市：住,,,
RPUPMLMJLHGGFEF18CC,水源段,.00,都市：其他:,,,
RPUPMLMJLHGGFEF18CC,水源段,.00,都市：其他:道路用地,,,
RPVPMLMJLHGGFEF28CC,水源段,.00,都市：住,,,
RPVPMLMJLHGGFEF28CC,水源段,.00,都市：其他:道路用地,,,
RPWPMLMJLHGGFEF38CC,水源段,.00,都市：住,,,
RPWPMLMJLHGGFEF38CC,水源段,.00,都市：其他:道路用地,,,
RPVNMLMJLHGGFCF87CC,中正段,.00,都市：其他:捷運系統用地,,,
RPXPMLMJLHGGFEF48CC,水源段,.00,都市：住,,,
RPXPMLMJLHGGFEF48CC,水源段,.00,都市：其他:道路用地,,,
RPOQMLMJLHGGFEF67CC,水源段,.00,都市：其他:道路用地,,,
RPOQMLMJLHGGFEF67CC,水源段,.00,都市：住,,,
RPRQMLMJLHGGFEF97CC,水源段,.00,都市：住,,,
RPRQMLMJLHGGFEF97CC,水源段,.00,都市：其他:道路用地,,,
RPRQMLMJLHGGFBF67CC,國宅段,12.60,都市：住,,,
RPWQMLMJLHGGFBF18CC,中山段,48.52,都市：其他:乙種工業用地,,,
RPWRMLMJLHGGFAF18CC,光仁段,.00,都市：住,,,
RPUNMLMJLHGGFDF87CC,同新段,2.75,都市：工,,,
RPSQMLMJLHGGFAF67CC,光仁段,.00,都市：工,,,
RPSNMLMJLHGGFDF67CC,同新段,5.30,都市：工,,,
RPXTMLMJLHGGFDF78CC,智興段,.00,都市：住,,,
RPRUMLMJLHGGFDF28CC,智興段,6.21,都市：住,,,
RPVUMLMJLHGGFDF68CC,昊天段,21.82,都市：住,,,
RPVUMLMJLHGGFDF68CC,昊天段,.00,都市：其他:道路用地,,,
RPVUMLMJLHGGFDF68CC,昊天段,.09,都市：其他:道路用地,,,
RPRWMLMJLHGGFDF48CC,智興段,.00,都市：住,,,
RPRVMLMJLHGGFDF38CC,昊天段,76.00,都市：工,,,
RPRVMLMJLHGGFDF38CC,同新段,2.37,都市：工,,,
RPSWMLMJLHGGFDF58CC,建成段,.00,都市：商,,,
RPSWMLMJLHGGFDF58CC,建成段,.00,都市：商,,,
RPXPMLNJLHGGFBF28CC,成子寮段,2996.84,都市：其他:保護區,,,
RPXPMLNJLHGGFBF28CC,成子寮段,856.52,都市：其他:保護區,,,
RPSQMLNJLHGGFBF87CC,建林段,.00,都市：住,,,
