編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQRMLMJLHGGFBF77DC,坡道平面,0,21.57,地下三樓
RPQRMLMJLHGGFBF77DC,坡道平面,0,21.57,地下三樓
RPRPMLMJLHGGFAF67EC,坡道平面,0,21.29,
RPRQMLMJLHGGFBF67CC,坡道平面,0,,
RPWQMLMJLHGGFBF18CC,坡道平面,0,28.34,地下一樓
RPVUMLMJLHGGFDF68CC,坡道平面,0,29.09,
RPXOMLNJLHGGFAF08CC,坡道平面,4000,40.32,
RPSQMLNJLHGGFBF87CC,坡道平面,0,21.52,
RPRNMLNJLHGGFEF77CC,坡道平面,0,24.74,
RPPSMLNJLHGGFBF77CC,坡道平面,0,,地下一樓
RPPSMLNJLHGGFBF77CC,坡道平面,0,,地下一樓
RPPSMLNJLHGGFBF77CC,坡道平面,0,,地下一樓
RPVQMLNJLHGGFEF48CC,坡道平面,0,,
RPXPMLOJLHGGFGF88CC,坡道平面,0,26.99,
RPXNMLOJLHGGFDF48DC,升降機械,0,,
RPOQMLOJLHGGFGF08CC,坡道平面,0,26.99,
RPWSMLOJLHGGFEF88CC,坡道平面,0,,
RPROMLOJLHGGFBF67CC,坡道平面,0,29.42,地下四樓
RPRPMLPJLHGGFBF87CC,坡道平面,0,,地下三樓
RPVPMLPJLHGGFBF28CC,坡道平面,0,,地下三樓
RPVPMLPJLHGGFBF28CC,坡道平面,0,,地下三樓
RPPRMLPJLHGGFBF87CC,坡道平面,2000,32.47,
RPUNMLPJLHGGFDF18CC,坡道平面,0,19.28,
RPUPMLPJLHGGFGF68CC,坡道平面,0,26.98,地下二樓
RPTQMLPJLHGGFGF68CC,坡道平面,0,19.21,地下二樓
RPQNMLQJLHGGFIF38CC,坡道平面,0,37.53,地下二樓
RPQNMLQJLHGGFBF67CC,坡道機械,2300,15.25,
RPROMLQJLHGGFEF18CC,坡道平面,0,29.92,地下二樓
RPPNMLRJLHGGFBF67CC,坡道平面,3000,18.74,
RPRNMLRJLHGGFBF87CC,坡道平面,3000,34.69,地下三樓
RPQNMLRJLHGGFEF08CC,坡道平面,0,30.10,
RPRNMLRJLHGGFEF18CC,坡道平面,0,30.10,
RPPNMLRJLHGGFIF38CC,坡道平面,0,34.80,地下二樓
RPWNMLSJLHGGFIF56CC,坡道平面,0,39.83,地下五樓含以下
RPROMLSJLHGGFEF38CC,坡道平面,0,23.44,地下三樓
RPUOMLSJLHGGFEF68CC,坡道平面,0,34.31,
RPQQMLSJLHGGFEF48CC,坡道平面,894,15.23,
RPXPMLSJLHGGFEF09CC,坡道機械,2000,12.54,
RPVQMLSJLHGGFEF98CC,坡道平面,2000,26.13,
RPQRMLSJLHGGFEF58CC,坡道平面,1500,26.54,
RPRSMLSJLHGGFEF78CC,坡道平面,0,33.18,
RPTRMLSJLHGGFEF88CC,坡道平面,0,30.04,
RPUQMLSJLHGGFHF56CC,坡道平面,4000,29.82,地下四樓
RPOUMLTJLHGGFAF38CC,坡道平面,0,,
RPORMLTJLHGGFBF18CC,坡道平面,0,26.66,
RPRRMLTJLHGGFBF48CC,坡道平面,0,28.68,
RPXRMLTJLHGGFBF09CC,坡道平面,0,21.52,
RPXRMLTJLHGGFBF09CC,坡道平面,0,21.52,
RPTPMLTJLHGGFDF68CC,坡道平面,0,27.22,
RPTOMLTJLHGGFEF68CC,坡道平面,0,26.54,
RPTNMLTJLHGGFIF98CC,坡道平面,0,36.82,地下一樓
RPOQMLTJLHGGFEF38CC,坡道平面,0,41.28,
RPOPMLTJLHGGFIF68CC,坡道平面,0,39.83,地下五樓含以下
RPSPMLTJLHGGFIF09CC,坡道平面,0,46.15,地下三樓
RPRQMLTJLHGGFCF48CC,坡道平面,0,,
RPRQMLTJLHGGFCF48CC,坡道平面,0,,
RPXPMLKKLHGGFEF38CC,坡道平面,0,21.77,
RPXPMLKKLHGGFEF38CC,坡道平面,0,20.73,
RPPOMLKKLHGGFEF47CC,坡道平面,0,31.66,
RPUPMLKKLHGGFHF38CC,坡道平面,0,37.14,一樓
RPSRMLKKLHGGFBF77CC,坡道平面,3000,24.04,
RPPNMLKKLHGGFDF27CC,坡道機械,2000,21.35,
RPSNMLKKLHGGFDF57CC,坡道機械,2200,21.35,
RPXNMLKKLHGGFDF08CC,坡道平面,4800,42.69,
