鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
羅東鎮,房地(土地+建物),國華街26巷1~30號,86.0,都市：其他:住宅區,,,1100130,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670112,97.39,4,2,2,有,無,6600000,67769,,0.0,0,增建約8坪 一樓+二樓 空地其他增建；,RPWOMLMJLHGGFAG87DA,97.38,0.0,0.0,無,
羅東鎮,房地(土地+建物),中山西街91~120號,36.35,都市：其他:住宅區,,,1091209,土地1建物1車位0,全,一層,透天厝,住家用,木造,0301100,47.0,2,2,1,有,無,2400000,51064,,0.0,0,增建，約10坪。1、2樓空地其他增建；,RPQNMLTKKHGGFAG87DA,47.0,0.0,0.0,無,001
南澳鄉,土地,碧候一段2251~2280地號,6957.0,,山坡地保育區,林業用地,1100209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,172,,0.0,0,,RPWNMLTJLHGGFAG48DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),大隱十三路63巷1~30號,32.37,,特定農業區,甲種建築用地,1100307,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850830,152.75,4,2,2,有,無,3900000,25532,,0.0,0,陽台增建約3坪其他增建；,RPROMLLKLHGGFAG37DA,92.68,0.0,13.5,無,002
三星鄉,土地,腳段1~30地號,917.0,,特定農業區,農牧用地,1100121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,2726,,0.0,0,,RPVNMLSKLHGGFAG38DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),永和路36巷31~60號,34.95,,特定農業區,甲種建築用地,1100313,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880325,92.99,3,2,1,有,無,3900000,41940,,0.0,0,後陽台外推。其他增建；,RPROMLNLLHGGFAG67DA,75.75,0.0,9.14,有,003
冬山鄉,房地(土地+建物),永和路36巷31~60號,34.95,,特定農業區,甲種建築用地,1100319,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880325,92.99,3,2,2,有,無,3980000,42800,,0.0,0,前後陽台外推。其他增建；,RPTOMLNLLHGGFAG87DA,75.75,0.0,9.14,有,004
羅東鎮,土地,北成段211~240地號,191.0,都市：其他:住宅區,,,1100208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20280000,106178,,0.0,0,未登記建物；,RPWOMLNLLHGGFAG18DA,0.0,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),蘇東北路1~30號,1228.66,都市：其他:商業區,,,1100107,土地3建物2車位0,全,一層,透天厝,視廳伴唱,鋼鐵造有牆,085116,428.85,3,2,2,有,無,177600000,414131,,0.0,0,,RPSPMLQLLHGGFAG18DA,428.85,0.0,0.0,無,
三星鄉,房地(土地+建物),大德中路31~60號,162.27,,特定農業區,甲種建築用地,1100224,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1061221,251.25,3,2,5,有,無,11200000,44577,,0.0,0,,RPXNMLTLLHGGFAG78DA,230.92,0.0,20.33,有,
五結鄉,房地(土地+建物),成興路103巷1~30號,87.56,,特定農業區,甲種建築用地,1091220,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1091013,168.31,4,2,5,有,無,7300000,43372,,0.0,0,,RPOOMLTLLHGGFAG97DA,154.44,0.0,13.87,無,
三星鄉,房地(土地+建物),清洲一路30巷1~30號,102.92,,特定農業區,甲種建築用地,1100210,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070207,181.84,4,2,4,有,無,9500000,52244,,0.0,0,雨遮其他增建；,RPSOMLTLLHGGFAG38DA,165.24,0.0,16.6,無,005
三星鄉,房地(土地+建物),三星路三段241~270號,63.0,,特定農業區,甲種建築用地,1100228,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850228,177.75,5,1,4,有,無,6050000,34037,,0.0,0,一樓、廁所、廚房其他增建；,RPTOMLTLLHGGFAG48DA,142.38,20.37,0.0,無,006
三星鄉,土地,人和一段1~30地號,5006.47,,特定農業區,農牧用地,1100227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500000,2896,,0.0,0,,RPXOMLTLLHGGFAG88DA,0.0,0.0,0.0,無,007
三星鄉,土地,人和一段391~420地號,1842.81,,特定農業區,農牧用地,1100225,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4459600,2420,,0.0,0,,RPQNMLKMLHGGFAG27DA,0.0,0.0,0.0,無,008
冬山鄉,房地(土地+建物),冬山路三段301巷73弄1~30號,112.5,,特定農業區,甲種建築用地,1100227,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940523,168.75,3,2,4,有,無,9380000,55585,,0.0,0,,RPRNMLKMLHGGFAG37DA,141.99,5.99,20.77,無,
三星鄉,房地(土地+建物),大德路二段636巷35弄1~30號,133.09,,特定農業區,甲種建築用地,1100305,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080606,159.72,4,2,4,有,無,7700000,48209,,0.0,0,,RPROMLKMLHGGFAG47DA,147.29,0.0,12.43,無,
礁溪鄉,房地(土地+建物)+車位,健康一街31~60號,21.26,都市：其他:健康休閒專用區四,,,1100226,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土（ＲＣ）,1041126,131.93,2,1,1,有,有,11300000,85651,坡道平面,37.68,0,含裝潢費；,RPSOMLKKLHGGFBG47DA,51.78,0.0,8.47,有,
宜蘭市,房地(土地+建物)+車位,宜中路211~240號,28.25,都市：其他:住宅區,,,1100315,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800508,191.89999999999998,4,2,2,有,有,6800000,35435,坡道平面,0.0,0,,RPWNMLQLLHGGFBG48DA,120.24,0.0,17.24,有,
礁溪鄉,房地(土地+建物),玉龍路一段350巷16弄1~30號,116.32,,特定農業區,甲種建築用地,1091120,土地1建物1車位0,全,四層,透天厝,鄉村住宅、停車場,鋼筋混凝土造,0861103,213.98,4,2,3,有,無,6130000,28648,,0.0,0,,RPPOMLQLLHGGFBG87DA,200.36,0.0,13.62,無,009
宜蘭市,房地(土地+建物),女中路三段31~60號,9.81,都市：其他:住宅區,,,1100227,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840426,55.92,2,1,1,有,有,3250000,58119,,0.0,0,,RPQOMLQLLHGGFBG97DA,39.05,0.0,3.16,有,
員山鄉,房地(土地+建物),深洲一路121~150號,981.9,,特定農業區,農牧用地,1100202,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,1040317,281.88,4,3,5,有,無,20000000,70952,,0.0,0,,RPROMLTLLHGGFBG38DA,281.88,0.0,0.0,有,
宜蘭市,房地(土地+建物),陽明三路61~90號,108.69,都市：其他:住宅區,,,1100129,土地3建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0970110,264.1,4,2,5,有,無,12000000,45437,,0.0,0,,RPPPMLTLLHGGFBG28DA,224.98,6.19,32.93,無,010
壯圍鄉,房地(土地+建物),新南路31~60號,104.0,,特定農業區,甲種建築用地,1100205,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840107,171.3,4,2,3,有,無,5200000,30356,,0.0,0,頂樓加建、廚房增建其他增建；,RPWPMLTLLHGGFBG98DA,156.12,0.0,15.18,無,011
宜蘭市,土地,和睦段1501~1530地號,111.2,都市：其他:住宅區,,,1100226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5567240,50065,,0.0,0,,RPPNMLKMLHGGFBG27DA,0.0,0.0,0.0,無,
宜蘭市,土地,宜福段511~540地號,2934.58,,特定農業區,農牧用地,1100307,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,3748,,0.0,0,,RPVNMLKMLHGGFBG87DA,0.0,0.0,0.0,無,012
員山鄉,土地,新洲子段391~420地號,287.02,,特定農業區,農牧用地,1100103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,3310,,0.0,0,,RPXNMLKMLHGGFBG08DA,0.0,0.0,0.0,無,
員山鄉,房地(土地+建物),金古三路26巷1~30號,133.84,都市：其他:農業區,,,1091205,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940818,192.52,6,2,3,有,無,5250000,27270,,0.0,0,本件為二親等間兄妹買賣案件親友、員工、共有人或其他特殊關係間之交易；,RPQOMLKMLHGGFBG47DA,168.96,0.0,23.56,無,013
壯圍鄉,土地,功勞段751~780地號,3959.0,,特定農業區,農牧用地,1100224,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16770000,4236,,0.0,0,,RPPPMLKMLHGGFBG47DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),照安路33巷31~60號,133.39,都市：其他:商業區,,,1100208,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850306,179.76,2,2,3,有,無,8500000,47285,,0.0,0,,RPXNMLKMLHGGFAG08EA,162.75,17.01,0.0,無,
大同鄉,土地,松羅段511~540地號,1600.0,,山坡地保育區,農牧用地,1021115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,250,,0.0,0,表大伯，表哥親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTKLHGGFAG78EA,0.0,0.0,0.0,無,014
頭城鎮,土地,外大溪段721~750地號,149.2,都市：其他:道路用地,,,1100312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7131600,47799,,0.0,0,協議價購；,RPQNMLLMLHGGFBG57EA,0.0,0.0,0.0,無,015
頭城鎮,土地,外大溪段721~750地號,149.2,都市：其他:道路用地,,,1100312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7131601,47799,,0.0,0,協議價購；,SPQNMLLMLHGGFBG67EA,0.0,0.0,0.0,無,015
宜蘭市,房地(土地+建物),女中路三段142巷1~30號,107.53,都市：其他:住宅區,,,1100125,土地2建物1車位0,全,三層,透天厝,水箱、樓梯間、住宅,鋼筋混凝土造,1040915,254.52,5,5,2,有,無,16900000,66399,,0.0,0,,RPRNMLLMLHGGFBG67EA,239.87,0.0,14.65,有,
宜蘭市,房地(土地+建物)+車位,宜中路121~150號,24.09,都市：其他:住宅區,,,1100319,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851220,158.41,3,2,2,有,有,7500000,47345,坡道平面,0.0,0,,RPSNMLLMLHGGFBG77EA,85.56,0.0,9.19,有,
宜蘭市,房地(土地+建物),舊城北路61~90號,68.21,都市：其他:商業區,,,1091103,土地2建物1車位0,全,三層,透天厝,騎樓、店舖、住宅、樓梯間,鋼筋混凝土造,1060927,201.86,4,2,5,有,無,18920000,93728,,0.0,0,公媳買賣親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLMLHGGFBG97EA,187.91,0.0,13.95,無,
宜蘭市,房地(土地+建物),民權新路451~480號,31.03,都市：其他:住宅區,,,1091103,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851004,144.78,3,2,2,有,有,7600000,52493,,0.0,0,公媳買賣親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLMLHGGFBG08EA,108.68,0.0,12.77,有,
員山鄉,房地(土地+建物),思源路189巷13弄1~30號,77.81,,特定農業區,甲種建築用地,1100303,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1091111,142.14,3,2,3,有,無,7980000,56142,,0.0,0,售價含裝潢,RPPNMLLMLHGGFBG37DA,127.14,0.0,15.0,無,
頭城鎮,土地,頭圍一段721~750地號,8.97,都市：其他:道路用地,,,1100319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,28986,,0.0,0,包含公共設施保留地用地；,RPOOMLLMLHGGFBG37DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),縣政五街102巷1~30號,152.0,都市：其他:住宅區(住二),,,1100223,土地3建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土造,1050802,239.41,2,2,5,有,無,14600000,60983,,0.0,0,,RPSOMLLMLHGGFBG77DA,216.45,0.0,20.79,無,
頭城鎮,土地,頭圍一段661~690地號,100.54,都市：其他:商業區,,,1100319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,24866,,0.0,0,叔侄買賣。親友、員工、共有人或其他特殊關係間之交易；,RPTOMLLMLHGGFBG87DA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物)+車位,大忠路181~210號,15.41,都市：其他:住宅區,,,1100320,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0970122,71.53999999999999,0,1,1,有,有,5825000,81423,坡道平面,0.0,0,,RPQNMLLJMHGGFBG27DA,39.05,0.0,3.84,有,017
宜蘭市,房地(土地+建物),女中路三段301~330號,8.54,都市：其他:住宅區,,,1100316,土地2建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940914,30.44,1,1,1,有,有,1630000,53548,,0.0,0,,RPTNMLLJMHGGFBG57DA,17.23,0.0,0.0,有,018
員山鄉,房地(土地+建物),永同路三段9巷1~30號,362.36,,特定農業區,甲種建築用地,1100219,土地3建物1車位0,一層，二層，騎樓,二層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0701020,28.0,3,2,2,有,無,4873878,174067,,0.0,0,伯侄間買賣親友、員工、共有人或其他特殊關係間之交易；,RPXNMLLJMHGGFBG97DA,0.0,0.0,0.0,無,
