編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLNLLHGGFAG67DA,22,84.89,住家用,鋼筋混凝土造,88年3月25日,五層,四層
RPROMLNLLHGGFAG67DA,22,8.10,梯間、屋頂突出物,鋼筋混凝土造,88年3月25日,五層,
RPQNMLTKKHGGFAG87DA,,47.00,住家用,木造,30年11月0日,一層,一層
RPTOMLNLLHGGFAG87DA,22,84.89,住家用,鋼筋混凝土造,88年3月25日,五層,四層
RPTOMLNLLHGGFAG87DA,22,8.10,梯間、屋頂突出物,鋼筋混凝土造,88年3月25日,五層,
RPROMLLKLHGGFAG37DA,25,106.18,住家用,鋼筋混凝土造,85年8月30日,五層,一層 二層
RPROMLLKLHGGFAG37DA,25,13.57,梯間．共同使用部份,鋼筋混凝土造,85年8月30日,五層,
RPROMLLKLHGGFAG37DA,25,33.00,停車場、共同使用部份,鋼筋混凝土造,85年8月30日,五層,
RPSPMLQLLHGGFAG18DA,,241.40,視廳伴唱,鋼鐵造有牆,,一層,一層 騎樓
RPSPMLQLLHGGFAG18DA,24,187.45,商業用,鋼鐵造有牆,85年11月6日,一層,一層 騎樓
RPXNMLTLLHGGFAG78DA,3,251.25,住家用,鋼筋混凝土造,106年12月21日,四層,一層 二層 三層 四層
RPWOMLMJLHGGFAG87DA,43,48.70,住家用,鋼筋混凝土加強磚造,67年1月12日,二層,一層 二層
RPWOMLMJLHGGFAG87DA,43,48.70,住家用,鋼筋混凝土加強磚造,67年1月12日,二層,一層 二層
RPSOMLTLLHGGFAG38DA,3,181.84,住家用,鋼筋混凝土造,107年2月7日,三層,一層 二層 三層
RPTOMLTLLHGGFAG48DA,25,162.75,住家用,鋼筋混凝土造,85年2月28日,四層,一層 二層 三層 四層
RPTOMLTLLHGGFAG48DA,25,15.00,停車空間,鋼筋混凝土造,85年2月28日,四層,
RPOOMLTLLHGGFAG97DA,,168.31,住家用,鋼筋混凝土造,109年10月13日,三層,一層 二層 三層
RPROMLKMLHGGFAG47DA,2,159.72,住家用,鋼筋混凝土造,108年6月6日,三層,一層 二層 三層
RPRNMLKMLHGGFAG37DA,16,168.75,住家用,鋼筋混凝土造,94年5月23日,三層,一層 二層 三層
RPWNMLQLLHGGFBG48DA,30,137.48,住家用,鋼筋混凝土造,80年5月8日,七層,二層
RPWNMLQLLHGGFBG48DA,30,54.42,共有部分,鋼筋混凝土造,80年5月8日,,
RPSOMLKKLHGGFBG47DA,5,60.25,集合住宅,鋼筋混凝土（ＲＣ）,104年11月26日,十二層,六層
RPSOMLKKLHGGFBG47DA,5,34.00,本共有部分之項目有：停車空間、機械室、受電室、門廳、守衛室、樓梯間、電梯間、水箱等８項,鋼筋混凝土造,104年11月26日,十二層,
RPSOMLKKLHGGFBG47DA,5,37.68,本共有部分之項目有：停車（塔、空間）等１項,鋼筋混凝土造,104年11月26日,十二層,
RPPOMLQLLHGGFBG87DA,23,213.98,鄉村住宅、停車場,鋼筋混凝土造,86年11月3日,四層,一層 二層 三層 四層
RPROMLTLLHGGFBG38DA,6,281.88,農舍,鋼筋混凝土造,104年3月17日,三層,一層 二層 三層 見其他登記事項
RPQOMLQLLHGGFBG97DA,26,7.24,共有部分,鋼筋混凝土造,84年4月26日,七層,
