交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
建物,宜蘭縣羅東鎮中山西街91~120號,1050509,土地0建物1車位0,全,一層,透天厝,75,23.5,2,1,1,有,無,410000,17447,0,001
房地(土地+建物),宜蘭縣羅東鎮中山西街91~120號,1050609,土地1建物1車位0,全,一層,透天厝,75,47.0,2,1,1,有,無,2800000,59574,0,001
房地(土地+建物),中山西街91~120號,1091209,土地1建物1車位0,全,一層,透天厝,-1,47.0,2,2,1,有,無,2400000,51064,0,001
房地(土地+建物),宜蘭縣三星鄉大隱十三路63巷1~30號,1070407,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),22,152.75,3,2,2,有,無,3300000,21604,0,002
房地(土地+建物),大隱十三路63巷1~30號,1100307,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),25,152.75,4,2,2,有,無,3900000,25532,0,002
房地(土地+建物),宜蘭縣冬山鄉永和路36巷31~60號,1090213,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),21,92.99,2,2,2,有,無,3300000,35488,0,003
房地(土地+建物),永和路36巷31~60號,1100313,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),22,92.99,3,2,1,有,無,3900000,41940,0,003
房地(土地+建物),宜蘭縣冬山鄉永和路36巷31~60號,1090219,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),21,92.99,2,2,2,有,無,3300000,35488,0,004
房地(土地+建物),永和路36巷31~60號,1100319,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),22,92.99,3,2,2,有,無,3980000,42800,0,004
房地(土地+建物),宜蘭縣三星鄉清洲一路30巷1~30號,1060210,土地3建物1車位0,全,三層,透天厝,0,181.84,4,2,4,有,無,8880000,48834,0,005
房地(土地+建物),清洲一路30巷1~30號,1100210,土地3建物1車位0,全,三層,透天厝,3,181.84,4,2,4,有,無,9500000,52244,0,005
房地(土地+建物),宜蘭縣三星鄉三星路三段241~270號,1040128,土地1建物1車位0,全,四層,透天厝,19,177.75,3,2,2,有,無,4100000,23066,0,006
房地(土地+建物),三星路三段241~270號,1100228,土地1建物1車位0,全,四層,透天厝,25,177.75,5,1,4,有,無,6050000,34037,0,006
土地,人和一段1~30地號,1021027,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,13339998,2665,0,007
土地,人和一段1~30地號,1100227,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,14500000,2896,0,007
土地,人和一段391~420地號,1030625,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,12960000,2344,0,008
土地,人和一段391~420地號,1100225,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4459600,2420,0,008
房地(土地+建物),宜蘭縣礁溪鄉玉龍路一段350巷16弄1~30號,1020220,土地1建物1車位0,全,四層,透天厝,15,213.98,4,1,3,有,無,4800000,22432,0,009
房地(土地+建物),玉龍路一段350巷16弄1~30號,1091120,土地1建物1車位0,全,四層,透天厝,23,213.98,4,2,3,有,無,6130000,28648,0,009
房地(土地+建物),宜蘭縣宜蘭巿陽明三路61~90號,1031229,土地3建物1車位0,全,四層,透天厝,7,264.1,6,3,5,有,無,8300000,31427,0,010
房地(土地+建物),陽明三路61~90號,1090829,土地3建物1車位0,全,四層,透天厝,13,264.1,4,2,5,有,無,14500000,54903,0,010
房地(土地+建物),陽明三路61~90號,1100129,土地3建物1車位0,全,四層,透天厝,13,264.1,4,2,5,有,無,12000000,45437,0,010
房地(土地+建物),宜蘭縣壯圍鄉新南路31~60號,1010805,土地1建物1車位0,全,三層,透天厝,18,171.3,5,2,3,有,無,3400000,19848,0,011
房地(土地+建物),宜蘭縣壯圍鄉新南路31~60號,1020105,土地1建物1車位0,全,三層,透天厝,18,171.3,0,2,3,有,無,2600000,15178,0,011
