編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWOMLNLLHGGFAG18DA,北成段,98.00,都市：其他:住宅區,1,1,全筆移轉
RPWOMLNLLHGGFAG18DA,北成段,93.00,都市：其他:住宅區,1,1,全筆移轉
RPWNMLTJLHGGFAG48DA,碧候一段,2856.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPWNMLTJLHGGFAG48DA,碧候一段,4101.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPVNMLSKLHGGFAG38DA,腳段,917.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPROMLNLLHGGFAG67DA,太山段,34.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉
RPQNMLTKKHGGFAG87DA,東光段,36.35,都市：其他:住宅區,500,32,持分移轉
RPTOMLNLLHGGFAG87DA,太山段,34.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉
RPROMLLKLHGGFAG37DA,大隱二段,32.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,15,1,持分移轉
RPSPMLQLLHGGFAG18DA,蘇港段,1213.65,都市：其他:商業區,1,1,全筆移轉
RPSPMLQLLHGGFAG18DA,蘇港段,6.18,都市：其他:人行廣場用地,1,1,全筆移轉
RPXNMLTLLHGGFAG78DA,大洲二段,33.35,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPSPMLQLLHGGFAG18DA,蘇港段,8.83,都市：其他:商業區,1,1,全筆移轉
RPXNMLTLLHGGFAG78DA,大洲二段,128.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPWOMLMJLHGGFAG87DA,北成段,43.00,都市：其他:住宅區,2,1,持分移轉
RPWOMLMJLHGGFAG87DA,北成段,43.00,都市：其他:住宅區,2,1,持分移轉
RPXOMLTLLHGGFAG88DA,人和一段,2503.26,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPXOMLTLLHGGFAG88DA,人和一段,2503.21,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKMLHGGFAG27DA,人和一段,921.40,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉
RPQNMLKMLHGGFAG27DA,人和一段,921.41,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉
RPSOMLTLLHGGFAG38DA,新日興段,82.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPSOMLTLLHGGFAG38DA,新日興段,3.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,13,1,持分移轉
RPSOMLTLLHGGFAG38DA,新日興段,17.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPTOMLTLLHGGFAG48DA,田心段,63.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPOOMLTLLHGGFAG97DA,利成段,66.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPOOMLTLLHGGFAG97DA,利成段,18.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPOOMLTLLHGGFAG97DA,利成段,2.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉
RPROMLKMLHGGFAG47DA,尚義段,86.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPROMLKMLHGGFAG47DA,尚義段,20.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPROMLKMLHGGFAG47DA,尚義段,27.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
