編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLQLLHGGFBG48DA,坡道平面,0,,
RPSOMLKKLHGGFBG47DA,坡道平面,0,37.68,
RPSNMLLMLHGGFBG77EA,坡道平面,0,,
RPQNMLLJMHGGFBG27DA,坡道平面,0,,
RPROMLLMLHGGFAG57DA,坡道平面,0,,
RPOPMLLMLHGGFAG37DA,坡道平面,0,,地下一樓
RPWNMLLJMHGGFBG87DA,一樓平面,0,,一樓
RPVOMLLMLHGGFBG08DA,坡道機械,0,,
RPXOMLQLLHGGFBG68DA,坡道平面,0,,
RPUOMLKMLHGGFBG97EA,坡道平面,0,,
RPROMLQJMHGGFBG97DA,坡道平面,0,,
RPUOMLLKLHGGFBG77DA,坡道平面,0,13.84,
RPOQMLTLLHGGFBG28DA,坡道平面,0,37.68,
RPRNMLSJMHGGFAG08EA,坡道平面,0,,地下一樓
RPOPMLQJMHGGFBG77DA,坡道平面,0,,
