鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘇澳鎮,建物,宜蘭縣蘇澳鎮中山路151~180號,152.24,商,,,1100226,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0760724,199.76,0,0,0,無,無,有,32000,160,,0.0,0,1110/2/26-110/3/31為免租金整理期，出租人同意不另向承租人收取租金。2出租建築物正面1至3樓以及3樓右邊外供承租方廣告施作使用。,RPQOMLMJLHGGFAG37CC
宜蘭市,建物,宜蘭縣宜蘭市宜中路91~120號,0.0,住,,,1100301,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0810528,149.07,0,0,0,無,無,有,42000,282,,0.0,0,含營業設備。；,RPRNMLMJLHGGFBG57DC
宜蘭市,建物,宜蘭縣宜蘭市民權路二段61~90號,0.0,住,,,1100226,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860103,105.64,3,2,2,有,無,有,13000,123,,0.0,0,,RPTNMLNJLHGGFBG77CC
礁溪鄉,建物,宜蘭縣礁溪鄉化龍街1~30號,0.0,住,,,1100223,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840904,51.53,1,1,1,有,有,有,12000,233,,0.0,0,,RPSNMLPJLHGGFBG87CC
壯圍鄉,建物,宜蘭縣壯圍鄉莊敬路1~30號,0.0,住,,,1100303,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1071107,153.2,4,2,3,有,無,有,17000,111,,0.0,0,,RPWNMLPJLHGGFBG28CC
蘇澳鎮,建物,宜蘭縣蘇澳鎮蘇東路1~30號,0.0,商,,,1100303,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780307,149.84,3,2,2,有,無,有,8000,53,,0.0,0,,RPUNMLPJLHGGFAG97CC
羅東鎮,建物,宜蘭縣羅東鎮振泰街31~60號,0.0,商,,,1100228,土地0建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,,76.81,0,0,1,有,無,無,26000,338,,0.0,0,,RPXNMLPJLHGGFAG28CC
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結路三段361~390號,392.0,工,,,1100305,土地1建物1車位0,全,4,透天厝,工業用,見其他登記事項,0700302,295.94,0,0,5,有,無,有,100000,338,,0.0,0,,RPOOMLPJLHGGFAG47CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮培英路61巷1~30號,27.54,住,,,1100306,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811221,93.28,3,2,2,有,有,有,12500,134,,0.0,0,,RPTNMLSJLHGGFAG18CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路三段151~180號,13.49,住,,,1100305,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851109,105.72,4,2,2,有,有,有,13000,123,,0.0,0,含增建或未登記建物。；增建部分為夾層。設備項目如下：冷氣機2台、流理臺1件、瓦斯爐1台、熱水器1台。,RPUNMLSJLHGGFAG28CC
五結鄉,土地,五結段961~990地號,180.0,住,,,1100308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,167,,0.0,0,含增建或未登記建物。；,RPRNMLTJLHGGFAG08CC
