編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPJLHGGFBG28CC,2,153.20,見其他登記事項,鋼筋混凝土造,107年11月7日,三層,
RPQOMLMJLHGGFAG37CC,34,199.76,住家用,鋼筋混凝土加強磚造,76年7月24日,二層,
RPTNMLNJLHGGFBG77CC,24,105.64,住家用,鋼筋混凝土造,86年1月3日,五層,
RPSNMLPJLHGGFBG87CC,25,51.53,住家用,鋼筋混凝土造,84年9月4日,七層,
RPUNMLPJLHGGFAG97CC,32,108.50,住家用,鋼筋混凝土造,78年3月7日,五層,
RPUNMLPJLHGGFAG97CC,32,41.34,見其他登記事項,鋼筋混凝土造,78年3月7日,地下層,
RPRNMLMJLHGGFBG57DC,29,149.07,住家用,鋼筋混凝土造,81年5月28日,七層,
RPXNMLPJLHGGFAG28CC,,76.81,住商用,鋼筋混凝土加強磚造,,三層,
RPUNMLSJLHGGFAG28CC,24,105.72,住家用,鋼筋混凝土造,85年11月9日,十三層,
RPTNMLSJLHGGFAG18CC,28,93.28,住家用,鋼筋混凝土造,81年12月21日,六層,
RPOOMLPJLHGGFAG47CC,40,295.94,工業用,見其他登記事項,70年3月2日,二層,
