編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLPJLHGGFBG28CC,吉祥一段,.00,都市：住,,,
RPQOMLMJLHGGFAG37CC,蘇聖段,152.24,都市：商,,,
RPTNMLNJLHGGFBG77CC,坤門三段,.00,都市：住,,,
RPSNMLPJLHGGFBG87CC,協天段,.00,都市：住,,,
RPUNMLPJLHGGFAG97CC,蘇港段,.00,都市：商,,,
RPRNMLMJLHGGFBG57DC,宜大段,.00,都市：住,,,
RPXNMLPJLHGGFAG28CC,興東段,.00,都市：商,,,
RPUNMLSJLHGGFAG28CC,公正段,1.14,都市：住,,,
RPUNMLSJLHGGFAG28CC,公正段,12.35,都市：住,,,
RPTNMLSJLHGGFAG18CC,北成段,27.54,都市：住,,,
RPOOMLPJLHGGFAG47CC,五結段,240.00,都市：工,,,
RPOOMLPJLHGGFAG47CC,五結段,152.00,都市：工,,,
RPRNMLTJLHGGFAG08CC,五結段,180.00,都市：住,,,
