鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,中正路1081~1110號,26.53,都市：其他:商業區,,,1091228,土地1建物1車位2,七層,三十二層,住宅大樓(11層含以上有電梯),一般事務所,鋼骨鋼筋混凝土造、鋼筋混凝土造,1011102,328.46000000000004,0,0,0,有,有,35860000,109176,坡道平面,47.54,0,,RPSQMLSLKIPFFAH76DA,172.12,3.47,12.1,有,001
桃園區,房地(土地+建物),國際路一段1171~1200號,6.46,都市：其他:第二種住宅區,,,1100117,土地1建物1車位0,十七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861128,75.3,2,2,1,有,有,4700000,62417,,0.0,0,其他增建；,RPPNMLRKJHGGFAH57DA,57.95,1.5,8.9,有,002
桃園區,房地(土地+建物)+車位,文中三路181~210號,24.98,都市：其他:住宅區,,,1100127,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,164.6,2,2,2,有,有,14400000,100370,坡道平面,37.57,1650000,其他增建；,RPSRMLRLJHGGFAH38DA,73.71,2.43,9.57,有,003
桃園區,土地,埔子段北門埔子小段61~90地號,5.56,都市：其他:道路用地,,,1100204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,655282,117856,,0.0,0,包含公共設施保留地用地；,RPWSMLRKKHGGFAH88DA,0.0,0.0,0.0,無,004
桃園區,土地,埔子段北門埔子小段31~60地號,40.55,都市：其他:道路用地,,,1100204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5357096,132111,,0.0,0,包含公共設施保留地用地；,RPQTMLRKKHGGFAH38DA,0.0,0.0,0.0,無,005
桃園區,房地(土地+建物)+車位,莊二街211~240號,21.16,都市：其他:住宅區,,,1100221,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060816,116.71000000000001,2,2,1,有,有,10000000,95926,坡道平面,28.1,1500000,其他增建；,RPSNMLLLKHGGFAH47DA,53.55,1.25,3.94,有,006
桃園區,房地(土地+建物)+車位,莊敬路一段331~360號,26.17,都市：其他:住宅區,,,1100224,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900223,225.39999999999998,5,2,2,有,有,14800000,65661,坡道平面,0.0,1300000,其他增建；,RPRSMLOLKHGGFAH18DA,129.62,0.97,15.8,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,12.01,都市：其他:商業區,,,1090628,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,124.97,2,2,1,有,有,8500000,73385,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件；,RPTSMLSJLHGGFAH68DA,60.24,0.0,5.61,有,
桃園區,車位,桃二街61~90號,0.07,都市：其他:住宅區,,,1100309,土地1建物1車位1,一層,九層,其他,住家用,鋼筋混凝土造,0840727,27.96,0,0,0,有,有,450000,,坡道機械,27.96,450000,僅車位交易；,RPXOMLMKLHGGFAH18DA,0.0,0.0,0.0,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1081219,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,117.43,2,2,1,有,有,8030000,74629,坡道平面,27.25,1300000,預售屋、或土地及建物分次登記案件；,RPRPMLRKLHGGFAH18DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,16.53,都市：其他:商業區,,,1100128,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,168.36,3,2,2,有,有,12000000,79042,坡道平面,35.52,1500000,預售屋、或土地及建物分次登記案件；,RPTPMLRKLHGGFAH38DA,81.21,0.0,9.29,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,12.01,都市：其他:商業區,,,1090803,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,124.97,2,2,1,有,有,8880000,77313,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件；,RPUPMLRKLHGGFAH48DA,60.24,0.0,5.61,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090313,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,12000000,78083,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件；,RPWPMLRKLHGGFAH68DA,78.61,0.0,10.41,有,
