編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLRKJHGGFAH57DA,23,68.35,住家用,鋼筋混凝土造,86年11月28日,二十五層,十七層
RPPNMLRKJHGGFAH57DA,23,6.95,共有部份,鋼筋混凝土造,86年11月28日,二十五層,
RPSQMLSLKIPFFAH76DA,8,187.69,一般事務所,鋼骨鋼筋混凝土造、鋼筋混凝土造,101年11月2日,三十二層,七層
RPSQMLSLKIPFFAH76DA,8,98.57,本共有部分之項目有附屬防空避難室兼停車場、停車空間、通廊、頂蓋型開放空間、樓梯間、機械室、水箱、中繼機房及門廳等９項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,101年11月2日,三十二層,
RPSQMLSLKIPFFAH76DA,8,42.20,本共有部分之項目有附屬樓梯間等１項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,101年11月2日,三十二層,
RPSNMLLLKHGGFAH47DA,4,58.74,住家用,鋼筋混凝土造,106年8月16日,十四層,十三層
RPSNMLLLKHGGFAH47DA,4,15.64,本共有部分之項目有：機械室、水箱、梯間等項。,鋼筋混凝土造,106年8月16日,十四層,
RPSNMLLLKHGGFAH47DA,4,42.33,本共有部分之項目有：停車空間、消防泵浦室、蓄水池、機房、梯間、防空避難室兼停車空間、電信室、台電配電場所、垃圾處理室、台電管道間、發電機房、管委會使用空間等項。,鋼筋混凝土造,106年8月16日,十四層,
RPSRMLRLJHGGFAH38DA,2,85.71,住家用,鋼筋混凝土造,108年6月5日,十四層,十三層
RPSRMLRLJHGGFAH38DA,2,78.89,集合住宅（停車空間兼防空避難室、機房、停車空間、管委會空間、排煙室、安全梯、水箱）等項。,鋼筋混凝土造,108年6月5日,十四層,
RPXOMLMKLHGGFAH18DA,26,.37,住家用,鋼筋混凝土造,84年7月27日,九層,一層
RPXOMLMKLHGGFAH18DA,26,.07,共有部份,鋼筋混凝土造,84年7月27日,九層,
RPXOMLMKLHGGFAH18DA,26,27.52,共有部份,鋼筋混凝土造,84年7月27日,九層,
RPTSMLSJLHGGFAH68DA,,32.92,住家用,鋼筋混凝土造,109年12月30日,十四層,五層
RPTSMLSJLHGGFAH68DA,,32.92,住家用,鋼筋混凝土造,109年12月30日,十四層,五層
RPTSMLSJLHGGFAH68DA,,29.56,本共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、梯間、水箱、機械室、停車空間、發電機房、台電配電場所、垃圾冷藏室、水循環機房、機房、電信室、防空避難室兼停車空間、污水機房、雨水機房、消防泵浦室、蓄水池等９項。,鋼筋混凝土造,109年12月30日,十五層,
RPTSMLSJLHGGFAH68DA,,29.56,本共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、梯間、水箱、機械室、停車空間、發電機房、台電配電場所、垃圾冷藏室、水循環機房、機房、電信室、防空避難室兼停車空間、污水機房、雨水機房、消防泵浦室、蓄水池等９項。,鋼筋混凝土造,109年12月30日,十五層,
RPRSMLOLKHGGFAH18DA,20,146.36,住家用,鋼筋混凝土造,90年2月23日,十四層,十四層
RPRSMLOLKHGGFAH18DA,20,.03,管理員室,鋼筋混凝土造,90年2月23日,十四層,一層
