交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,桃園市桃園區中正路1081~1110號,1040728,土地1建物1車位2,七層,三十二層,辦公商業大樓,3,328.46000000000004,0,0,0,無,有,32030000,104763,2600000,001
房地(土地+建物)+車位,中正路1081~1110號,1091228,土地1建物1車位2,七層,三十二層,住宅大樓(11層含以上有電梯),8,328.46000000000004,0,0,0,有,有,35860000,109176,0,001
房地(土地+建物),桃園縣桃園市國際路一段1171~1200號,1011017,土地1建物1車位0,十七層,二十五層,住宅大樓(11層含以上有電梯),15,75.3,2,2,10,有,有,2700000,35857,0,002
房地(土地+建物),桃園市桃園區國際路一段1171~1200號,1080117,土地1建物1車位0,十七層,二十五層,住宅大樓(11層含以上有電梯),21,75.3,2,2,1,有,有,4100000,54449,0,002
房地(土地+建物),國際路一段1171~1200號,1100117,土地1建物1車位0,十七層,二十五層,住宅大樓(11層含以上有電梯),23,75.3,2,2,1,有,有,4700000,62417,0,002
房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,1080727,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),0,164.6,3,2,2,有,有,12200000,84232,1500000,003
房地(土地+建物)+車位,文中三路181~210號,1100127,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),2,164.6,2,2,2,有,有,14400000,100370,1650000,003
土地,埔子段北門埔子小段61~90地號,1091204,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2505561,115784,0,004
土地,埔子段北門埔子小段61~90地號,1100204,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,655282,117856,0,004
土地,埔子段北門埔子小段31~60地號,1081004,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2849558,158309,0,005
土地,埔子段北門埔子小段31~60地號,1100204,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5357096,132111,0,005
房地(土地+建物)+車位,桃園市桃園區莊二街211~240號,1051021,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),1,116.71000000000001,2,2,1,有,有,8830000,87236,1100000,006
房地(土地+建物)+車位,莊二街211~240號,1100221,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),4,116.71000000000001,2,2,1,有,有,10000000,95926,1500000,006
房地(土地+建物)+車位,桃園縣桃園市新埔七街61~90號,1011225,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),13,156.22,4,2,2,有,有,9380000,60044,0,007
房地(土地+建物)+車位,桃園縣桃園市新埔七街61~90號,1030725,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),15,156.22,4,2,2,有,有,11450000,73294,0,007
房地(土地+建物)+車位,桃園市桃園區新埔七街61~90號,1070925,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),19,156.22,4,2,2,有,有,10500000,67213,0,007
房地(土地+建物)+車位,新埔七街61~90號,1100225,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),21,156.22,4,2,2,有,有,11100000,71054,0,007
房地(土地+建物)+車位,門街91~120號,1090505,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),0,115.05,2,2,1,有,有,7500000,74410,1600000,008
房地(土地+建物)+車位,門街91~120號,1090805,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),0,128.55,2,2,1,有,有,8420000,73258,1700000,008
房地(土地+建物)+車位,門街91~120號,1090705,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),0,115.05,2,2,1,有,有,7680000,76681,1600000,008
房地(土地+建物)+車位,門街91~120號,1090605,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),0,116.12,2,2,1,有,有,7600000,74401,1700000,008
房地(土地+建物)+車位,門街91~120號,1090405,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),0,127.49000000000001,2,2,1,有,有,8240000,73477,1500000,008
房地(土地+建物)+車位,門街91~120號,1090605,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),0,128.55,2,2,1,有,有,8360000,73695,1600000,008
房地(土地+建物)+車位,門街91~120號,1100105,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),0,188.7,3,2,2,有,有,12180000,76308,3400000,008
房地(土地+建物)+車位,門街91~120號,1090505,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),0,128.55,2,2,1,有,有,8280000,72822,1600000,008
房地(土地+建物),桃園縣桃園市大興西路1~30號,1020309,土地1建物1車位0,十五層,十七層,住宅大樓(11層含以上有電梯),19,98.21000000000001,3,2,1,有,有,6330000,64454,0,009
房地(土地+建物),大興西路二段1~30號,1100309,土地1建物1車位0,十五層,十七層,住宅大樓(11層含以上有電梯),27,98.21000000000001,3,2,1,有,有,6830000,69545,0,009
房地(土地+建物)+車位,桃園市桃園區大興西路二段139巷61~90號,1040726,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),6,239.57999999999998,4,2,2,有,有,18800000,78471,0,011
房地(土地+建物)+車位,大興西路二段139巷61~90號,1100226,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),11,239.57999999999998,4,2,2,有,有,18660000,77886,0,011
房地(土地+建物)+車位,桃園市桃園區永安北路421~450號,1070625,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),16,139.99,3,2,2,有,有,9300000,66433,0,012
房地(土地+建物)+車位,永安北路421~450號,1100225,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),19,139.99,3,2,2,有,有,9600000,68576,0,012
土地,中路三段1441~1470地號,1100208,土地8建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7610305,60199,0,013
土地,法政段61~90地號,1100208,土地7建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9250391,65956,0,013
土地,和平段181~210地號,1041229,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,1120000,3426,0,014
土地,和平段181~210地號,1080329,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,726000,3960,0,014
土地,和平段181~210地號,1080529,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,5523467,5280,0,014
土地,和平段181~210地號,1080729,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1900000,5812,0,014
土地,和平段181~210地號,1090529,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,2848800,18153,0,014
土地,和平段181~210地號,1090529,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,8630179,49762,0,014
土地,和平段181~210地號,1090429,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,20500000,18397,0,014
土地,和平段181~210地號,1090629,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7913200,36321,0,014
土地,和平段181~210地號,1090529,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,712200,18154,0,014
土地,和平段181~210地號,1090729,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1581738,36303,0,014
土地,和平段181~210地號,1090729,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8414843,25742,0,014
土地,和平段31~60地號,1090729,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,81537110,47715,0,014
土地,和平段181~210地號,1090729,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,14235649,36300,0,014
土地,和平段181~210地號,1091029,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5280000,15140,0,014
土地,和平段181~210地號,1091029,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2084600,46604,0,014
土地,和平段181~210地號,1090929,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,21678413,49751,0,014
土地,和平段181~210地號,1090929,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16262043,49748,0,014
土地,和平段181~210地號,1091229,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16262984,49751,0,014
土地,和平段181~210地號,1100129,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,17192402,49299,0,014
房地(土地+建物),桃園縣桃園市國鼎一街1~30號,1021007,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),19,95.06,3,2,2,有,有,5350000,56280,0,015
房地(土地+建物),國鼎一街1~30號,1100207,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),26,95.06,3,2,2,有,有,6250000,65748,0,015
房地(土地+建物)+車位,桃園市桃園區桃鶯路331~360號,1090103,土地1建物1車位1,一層，夾層,十四層,住宅大樓(11層含以上有電梯),2,216.77,2,2,1,有,有,37180000,190584,1800000,016
房地(土地+建物)+車位,桃鶯路331~360號,1100203,土地1建物1車位1,一層，夾層,十四層,住宅大樓(11層含以上有電梯),3,216.77,0,0,0,無,有,36620000,187567,1800000,016
房地(土地+建物)+車位,桃園市桃園區國強十街61~90號,1070120,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),0,119.77000000000001,2,2,1,有,無,7760000,64791,0,017
房地(土地+建物)+車位,國強十街61~90號,1100220,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),3,119.77000000000001,1,1,1,有,有,9250000,77231,0,017
土地,忠福段2461~2490地號,1030430,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,800000,70299,0,018
土地,忠福段2461~2490地號,1060230,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,300000,70258,0,018
土地,忠福段2521~2550地號,1070530,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,1858500,95259,0,018
土地,忠福段2461~2490地號,1070630,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,1858500,95259,0,018
土地,忠福段2521~2550地號,1070730,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,1858500,95259,0,018
土地,忠福段2461~2490地號,1080830,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1219050,95238,0,018
土地,忠福段2461~2490地號,1080930,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,882000,95455,0,018
土地,忠福段2461~2490地號,1081030,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,831600,95149,0,018
土地,忠福段2461~2490地號,1081030,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,812700,95275,0,018
土地,忠福段2461~2490地號,1081030,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1212750,94746,0,018
土地,忠福段2461~2490地號,1081130,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,406350,95164,0,018
土地,忠福段2461~2490地號,1081030,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,406350,95164,0,018
土地,忠福段2461~2490地號,1081130,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,406350,95164,0,018
土地,忠福段2461~2490地號,1090230,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1083600,95220,0,018
土地,忠福段2461~2490地號,1090130,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1083600,95220,0,018
土地,忠福段2461~2490地號,1090230,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3386250,95253,0,018
土地,忠福段2461~2490地號,1090330,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3547500,99789,0,018
土地,忠福段2461~2490地號,1090330,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,406350,95164,0,018
土地,忠福段2461~2490地號,1090530,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1349700,99904,0,018
土地,忠福段2461~2490地號,1090730,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,792000,100000,0,018
土地,忠福段2461~2490地號,1090830,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5801831,136002,0,018
土地,忠福段2461~2490地號,1090730,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,406350,95164,0,018
土地,忠福段2461~2490地號,1090830,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2441400,156100,0,018
土地,忠福段2461~2490地號,1090930,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1160000,146465,0,018
土地,忠福段2461~2490地號,1090930,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,425700,99696,0,018
土地,忠福段2461~2490地號,1090930,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,502900,141662,0,018
土地,忠福段2461~2490地號,1090930,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,425700,99696,0,018
