編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWSMLRKKHGGFAH88DA,埔子段北門埔子小段,4.57,都市：其他:道路用地,189,2,持分移轉
RPQTMLRKKHGGFAH38DA,埔子段北門埔子小段,17.73,都市：其他:道路用地,36000,985,持分移轉
RPWSMLRKKHGGFAH88DA,埔子段北門埔子小段,.98,都市：其他:道路用地,189,2,持分移轉
RPQTMLRKKHGGFAH38DA,埔子段北門埔子小段,22.82,都市：其他:道路用地,36000,985,持分移轉
RPPNMLRKJHGGFAH57DA,國聖段,6.46,都市：其他:第二種住宅區,100000,66,持分移轉
RPSQMLSLKIPFFAH76DA,同德段,26.53,都市：其他:商業區,100000,163,持分移轉
RPSNMLLLKHGGFAH47DA,和平段,21.16,都市：其他:住宅區,10000,74,持分移轉
RPSRMLRLJHGGFAH38DA,中路二段,24.98,都市：其他:住宅區,10000,203,持分移轉
RPXOMLMKLHGGFAH18DA,小檜溪段,.07,都市：其他:住宅區,10000000000,200000,持分移轉
RPTSMLSJLHGGFAH68DA,水汴頭段,12.01,都市：其他:商業區,100000,220,持分移轉
RPRSMLOLKHGGFAH18DA,和平段,26.16,都市：其他:住宅區,10000,35,持分移轉
RPRSMLOLKHGGFAH18DA,和平段,.01,都市：其他:住宅區,10000,35,持分移轉
RPRPMLRKLHGGFAH18DA,水汴頭段,11.24,都市：其他:商業區,100000,206,持分移轉
RPTPMLRKLHGGFAH38DA,水汴頭段,16.53,都市：其他:商業區,100000,303,持分移轉
RPUPMLRKLHGGFAH48DA,水汴頭段,12.01,都市：其他:商業區,100000,220,持分移轉
RPSRMLRKLHGGFAH48DA,水汴頭段,11.24,都市：其他:商業區,100000,206,持分移轉
RPWPMLRKLHGGFAH68DA,水汴頭段,16.26,都市：其他:商業區,100000,298,持分移轉
RPUSMLRKLHGGFAH78DA,水汴頭段,11.30,都市：其他:商業區,100000,207,持分移轉
RPWQMLSKLHGGFAH88DA,水汴頭段,11.30,都市：其他:商業區,100000,207,持分移轉
RPTSMLRKLHGGFAH68DA,水汴頭段,16.32,都市：其他:商業區,100000,299,持分移轉
RPPSMLRKLHGGFAH28DA,水汴頭段,11.62,都市：其他:商業區,100000,213,持分移轉
RPVRMLSKLHGGFAH88DA,水汴頭段,11.57,都市：其他:商業區,100000,212,持分移轉
RPPRMLSKLHGGFAH28DA,水汴頭段,16.70,都市：其他:商業區,100000,306,持分移轉
RPOSMLSKLHGGFAH28DA,水汴頭段,16.53,都市：其他:商業區,100000,303,持分移轉
RPXRMLSKLHGGFAH09DA,水汴頭段,11.51,都市：其他:商業區,100000,211,持分移轉
RPTNMLTKLHGGFAH38DA,水汴頭段,16.32,都市：其他:商業區,100000,299,持分移轉
RPSSMLSKLHGGFAH68DA,水汴頭段,11.24,都市：其他:商業區,100000,206,持分移轉
RPVPMLPLLHGGFAH48DA,中路三段,17.64,都市：其他:住宅區,100000,688,持分移轉
RPTNMLPLLHGGFAH08DA,同安段,38.30,都市：其他:住宅區,10000,220,持分移轉
RPSPMLMLLHGGFAH87DA,水汴頭段,11.24,都市：其他:商業區,100000,206,持分移轉
RPOSMLNLLHGGFAH87DA,中路三段,25.19,都市：其他:住宅區,10000,100,持分移轉
RPTOMLPLLHGGFAH18DA,同安段,11.45,都市：其他:住宅區,20000,185,持分移轉
RPTOMLPLLHGGFAH18DA,同安段,11.45,都市：其他:住宅區,20000,185,持分移轉
RPWSMLNLLHGGFAH68DA,中路三段,25.19,都市：其他:住宅區,10000,100,持分移轉
RPWPMLPLLHGGFAH58DA,大有段,10.21,都市：其他:住宅區,10000,10,持分移轉
RPRQMLPLLHGGFAH18DA,中路三段,17.64,都市：其他:住宅區,100000,688,持分移轉
RPQQMLPLLHGGFAH08DA,中路三段,22.34,都市：其他:住宅區,100000,871,持分移轉
RPSQMLPLLHGGFAH28DA,中路三段,17.64,都市：其他:住宅區,100000,688,持分移轉
RPTQMLPLLHGGFAH38DA,中埔段,12.36,都市：其他:住宅區,10000,16,持分移轉
RPUQMLPLLHGGFAH48DA,國聖段,9.99,都市：其他:第二種住宅區,100000,102,持分移轉
RPVQMLPLLHGGFAH58DA,中路三段,22.03,都市：其他:住宅區,100000,859,持分移轉
RPTRMLPLLHGGFAH48DA,中路三段,17.64,都市：其他:住宅區,100000,688,持分移轉
RPVRMLPLLHGGFAH68DA,中路三段,17.64,都市：其他:住宅區,100000,688,持分移轉
RPWQMLPLLHGGFAH68DA,中路三段,22.03,都市：其他:住宅區,100000,859,持分移轉
RPWRMLPLLHGGFAH78DA,中路三段,21.82,都市：其他:住宅區,100000,851,持分移轉
RPOSMLPLLHGGFAH08DA,中路三段,22.08,都市：其他:住宅區,100000,861,持分移轉
RPPSMLPLLHGGFAH18DA,中路三段,22.03,都市：其他:住宅區,100000,859,持分移轉
RPORMLPLLHGGFAH97DA,中路三段,17.64,都市：其他:住宅區,100000,688,持分移轉
RPPRMLPLLHGGFAH08DA,中路三段,15.28,都市：其他:住宅區,100000,596,持分移轉
RPTPMLOLLHGGFAH18DA,中路二段,16.53,都市：其他:住宅區,100000,325,持分移轉
RPSUMLNLLHGGFAH48DA,中路三段,13.35,都市：其他:住宅區,20000,106,持分移轉
RPSUMLNLLHGGFAH48DA,中路三段,13.35,都市：其他:住宅區,20000,106,持分移轉
RPQRMLPLLHGGFAH18DA,中路三段,21.82,都市：其他:住宅區,100000,851,持分移轉
RPUPMLQLLHGGFAH48DA,大有段,19.03,都市：其他:住宅區,10000,86,持分移轉
RPSOMLTLLHGGFAH48DA,西門段,3.10,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,法政段,15.50,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,法政段,17.00,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,西門段,35.60,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,中路三段,3.13,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,中路三段,40.50,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,中路三段,2.41,都市：其他:道路用地,10,1,持分移轉
RPSOMLTLLHGGFAH48DA,中路三段,9.18,都市：其他:道路用地,10,1,持分移轉
RPXPMLTLLHGGFAH09DA,慈文段,153.00,都市：其他:住宅區,1,1,全筆移轉
RPWOMLQLLHGGFAH58DA,慈文段,34.40,都市：其他:住宅區,100000,366,持分移轉
RPXOMLQLLHGGFAH68DA,富國段,19.14,都市：其他:住宅區,10000,39,持分移轉
RPRRMLTLLHGGFAH68DA,慈文段,116.00,都市：其他:住宅區,1,1,全筆移轉
RPTQMLKMLHGGFAH97DA,和平段,62.59,都市：其他:河川區,27,2,持分移轉
RPTQMLKMLHGGFAH97DA,和平段,74.44,都市：其他:河川區,27,2,持分移轉
RPTQMLKMLHGGFAH97DA,和平段,185.78,都市：其他:河川區,27,2,持分移轉
RPTQMLKMLHGGFAH97DA,和平段,25.93,都市：其他:河川區,27,2,持分移轉
RPWPMLTLLHGGFAH98DA,水汴頭段,28.26,都市：其他:住宅區,10000,77,持分移轉
RPSRMLTLLHGGFAH78DA,中路二段,38.46,都市：其他:住宅區,100000,2111,持分移轉
RPQSMLTLLHGGFAH68DA,國聖段,29.24,都市：其他:第二種住宅區,10000,33,持分移轉
RPWOMLKMLHGGFAH08DA,桃園段武陵小段,1.29,都市：其他:商業區,100000,1406,持分移轉
RPWOMLKMLHGGFAH08DA,桃園段武陵小段,.89,都市：其他:商業區,100000,1406,持分移轉
RPWOMLKMLHGGFAH08DA,桃園段武陵小段,1.10,都市：其他:商業區,100000,1406,持分移轉
