編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSQMLSLKIPFFAH76DA,坡道平面,0,23.77,
RPSQMLSLKIPFFAH76DA,坡道平面,0,23.77,
RPSNMLLLKHGGFAH47DA,坡道平面,1500000,28.10,
RPSRMLRLJHGGFAH38DA,坡道平面,1650000,37.57,
RPXOMLMKLHGGFAH18DA,坡道機械,450000,27.96,
RPTSMLSJLHGGFAH68DA,坡道平面,1400000,28.22,
RPRSMLOLKHGGFAH18DA,坡道平面,1300000,,
RPRPMLRKLHGGFAH18DA,坡道平面,1300000,27.25,
RPTPMLRKLHGGFAH38DA,坡道平面,1500000,35.52,
RPUPMLRKLHGGFAH48DA,坡道平面,1400000,28.22,
RPSRMLRKLHGGFAH48DA,坡道平面,1300000,27.25,
RPWPMLRKLHGGFAH68DA,坡道平面,1800000,28.22,
RPUSMLRKLHGGFAH78DA,坡道平面,1300000,27.25,
RPWQMLSKLHGGFAH88DA,坡道平面,1600000,28.22,
RPTSMLRKLHGGFAH68DA,坡道平面,1600000,28.22,
RPPSMLRKLHGGFAH28DA,坡道平面,1500000,27.25,
RPVRMLSKLHGGFAH88DA,坡道平面,1400000,28.22,
RPPRMLSKLHGGFAH28DA,坡道平面,1400000,28.22,
RPOSMLSKLHGGFAH28DA,坡道平面,1400000,28.22,
RPTNMLTKLHGGFAH38DA,坡道平面,0,28.22,
RPTNMLTKLHGGFAH38DA,坡道平面,0,28.22,
RPVPMLPLLHGGFAH48DA,坡道平面,1700000,36.82,
RPTNMLPLLHGGFAH08DA,坡道平面,820000,36.33,
RPTNMLPLLHGGFAH08DA,坡道平面,800000,36.33,
RPTNMLPLLHGGFAH08DA,坡道平面,850000,36.33,
RPTNMLPLLHGGFAH08DA,坡道平面,850000,36.33,
RPTNMLPLLHGGFAH08DA,坡道平面,820000,36.33,
RPSPMLMLLHGGFAH87DA,坡道平面,1300000,27.25,
RPOSMLNLLHGGFAH87DA,坡道平面,1650000,33.52,
RPTOMLPLLHGGFAH18DA,坡道平面,0,34.61,
RPWSMLNLLHGGFAH68DA,坡道平面,1750000,33.52,
RPRQMLPLLHGGFAH18DA,坡道平面,1700000,36.82,
RPQQMLPLLHGGFAH08DA,坡道平面,1700000,36.82,
RPQQMLPLLHGGFAH08DA,坡道平面,1700000,36.82,
RPSQMLPLLHGGFAH28DA,坡道平面,1800000,36.82,
RPVQMLPLLHGGFAH58DA,坡道平面,1600000,36.82,
RPTRMLPLLHGGFAH48DA,坡道平面,1600000,36.82,
RPVRMLPLLHGGFAH68DA,坡道平面,1600000,36.82,
RPWQMLPLLHGGFAH68DA,坡道平面,1800000,36.82,
RPWRMLPLLHGGFAH78DA,坡道平面,1800000,36.82,
RPOSMLPLLHGGFAH08DA,坡道平面,1900000,36.82,
RPPSMLPLLHGGFAH18DA,坡道平面,1700000,35.76,
RPORMLPLLHGGFAH97DA,坡道平面,1700000,36.82,
RPPRMLPLLHGGFAH08DA,坡道平面,1700000,35.76,
RPTPMLOLLHGGFAH18DA,坡道平面,1650000,27.73,
RPSUMLNLLHGGFAH48DA,坡道平面,1600000,32.45,
RPQRMLPLLHGGFAH18DA,坡道平面,1600000,36.82,
RPUPMLQLLHGGFAH48DA,坡道平面,1000000,,
RPWOMLQLLHGGFAH58DA,坡道機械,0,12.79,
RPWOMLQLLHGGFAH58DA,坡道平面,0,21.40,
RPXOMLQLLHGGFAH68DA,坡道平面,0,,
RPWPMLTLLHGGFAH98DA,坡道平面,1750000,37.41,
RPSRMLTLLHGGFAH78DA,坡道平面,1750000,39.70,
RPQSMLTLLHGGFAH68DA,坡道機械,0,,
RPQSMLTLLHGGFAH68DA,坡道機械,0,,
RPWPMLKMLHGGFAH18DA,坡道平面,0,24.78,
RPOOMLLMLHGGFAH37DA,坡道平面,1800000,31.13,
RPTQMLTJLHGGFBH68DA,坡道平面,0,,
RPSOMLSKLHGGFBH38DA,坡道平面,0,,
RPUNMLQLLHGGFBH38DA,坡道平面,0,,
RPQRMLTLLHGGFBH68DA,坡道平面,0,15.52,
RPRRMLTLLHGGFBH78DA,坡道平面,1250000,13.75,
RPVOMLLMLHGGFBH18DA,坡道平面,0,,
RPOOMLOLLHGGFDH87DA,坡道平面,1500000,24.74,
RPQOMLOLLHGGFDH08DA,坡道平面,1400000,24.74,
RPROMLOLLHGGFDH18DA,坡道平面,1300000,24.74,
RPTOMLOLLHGGFDH38DA,坡道平面,1500000,24.74,
RPSOMLOLLHGGFDH28DA,坡道平面,1400000,24.74,
RPROMLTLLHGGFDH68DA,坡道平面,0,29.39,
RPTPMLPKJHGGFEH38DA,坡道平面,0,25.52,
RPPOMLTLLHGGFEH58DA,坡道平面,0,,
RPWPMLPLLHGGFEH98DA,坡道平面,0,,
RPSNMLSKLHGGFFH68DA,坡道平面,0,38.87,
RPUNMLOLLHGGFFH58DA,坡道平面,0,,
RPUNMLTLLHGGFFH09DA,坡道平面,0,,
RPRNMLTLLHGGFFH78DA,坡道平面,0,,
RPTOMLKMLHGGFFH28DA,坡道平面,0,,
RPXOMLTKLHGGFGH86DA,坡道平面,1650000,32.05,
RPQNMLOLLHGGFGH28DA,坡道平面,1450000,32.05,
RPXNMLKKLHGGFGH48DA,坡道平面,0,41.84,
RPRNMLOLLHGGFGH38DA,坡道平面,1400000,32.05,
RPRNMLOLLHGGFGH38DA,坡道平面,1300000,29.02,
RPPOMLOLLHGGFGH28DA,坡道平面,1300000,29.02,
RPPOMLOLLHGGFGH28DA,坡道平面,1400000,32.05,
RPUNMLOLLHGGFGH68DA,坡道平面,1500000,32.05,
RPUNMLOLLHGGFGH68DA,坡道平面,1400000,29.02,
RPXNMLQLLHGGFGH56DA,坡道平面,1650000,32.05,
RPSNMLQLLHGGFGH68DA,坡道平面,1550000,32.05,
RPOPMLOLLHGGFGH28DA,坡道平面,1350000,29.02,
RPSPMLTKLHGGFHH56DA,坡道平面,2000000,28.18,
RPPPMLTLLHGGFHH98DA,坡道平面,0,,地下一樓
RPQQMLTLLHGGFHH56DA,坡道平面,1480000,35.89,
RPTNMLQLLHGGFHH88DA,坡道平面,0,36.27,
RPPRMLTLLHGGFAH58EA,坡道平面,1500000,,
RPPSMLKMLHGGFAH87EA,坡道平面,1200000,,
RPPOMLLMLHGGFCH77EA,一樓平面,0,,一樓
RPOOMLLMLHGGFCH67EA,一樓平面,0,,一樓
RPWOMLLMLHGGFCH48EA,坡道平面,0,,
RPROMLKMLHGGFDH97EA,坡道平面,0,,
RPWNMLKMLHGGFEH48EA,坡道平面,0,,
RPXNMLKMLHGGFEH58EA,坡道平面,0,,
RPWOMLKMLHGGFFH68EA,坡道平面,0,29.67,
RPPNMLKMLHGGFEH77EA,坡道平面,0,31.78,
RPTNMLLMLHGGFEH28EA,坡道平面,1000000,24.51,
RPTNMLLMLHGGFEH28EA,坡道平面,1000000,24.51,
RPTNMLLMLHGGFEH28EA,坡道平面,1000000,24.51,
RPTNMLLMLHGGFEH28EA,坡道平面,1000000,24.51,
RPTPMLLMLHGGFEH48EA,坡道平面,0,,
RPXOMLLMLHGGFBH48EA,坡道平面,0,,
RPQPMLLMLHGGFBH87EA,坡道機械,700000,18.15,
RPPPMLLMLHGGFCH87EA,坡道平面,0,11.64,
RPRPMLLMLHGGFBH97EA,一樓平面,0,,
RPUNMLLMLHGGFHH58DA,坡道平面,0,36.25,
RPUQMLKMLHGGFBH28EA,一樓平面,0,,
RPXQMLLMLHGGFAH58EA,坡道平面,0,,地下二樓
RPXQMLLMLHGGFAH58EA,坡道平面,0,,地下二樓
RPTSMLMLLHGGFHH98DA,坡道平面,0,23.40,
RPWNMLOLLHGGFGH88DA,坡道平面,1450000,32.05,
RPWOMLNLLHGGFGH88DA,坡道平面,1650000,32.05,
RPOOMLQLLHGGFGH38DA,坡道平面,1450000,32.05,
RPWNMLQLLHGGFGH09DA,坡道平面,1500000,38.64,
RPWNMLQLLHGGFGH09DA,坡道平面,1500000,38.64,
RPSPMLTJLHGGFGH98DA,坡道平面,0,,
RPRNMLLJMHGGFFH87DA,坡道平面,0,,
RPUOMLKMLHGGFFH38DA,坡道平面,0,,
RPVNMLOLKHGGFFH58DA,一樓平面,0,,
RPUNMLTJLHGGFFH88DA,坡道平面,0,,
RPPNMLNJLHGGFFH77DA,坡道平面,0,23.28,
RPTPMLLMLHGGFEH38DA,坡道平面,1000000,35.51,
RPTPMLLMLHGGFEH38DA,坡道平面,1000000,35.51,
RPTPMLLMLHGGFEH38DA,坡道平面,1000000,35.51,
RPSOMLKMLHGGFEH08DA,坡道平面,1000000,30.24,
RPRNMLKMLHGGFEH87DA,坡道平面,0,26.28,
RPTNMLKMLHGGFEH08DA,坡道平面,0,,地下二樓
RPROMLKLKHGGFEH77DA,坡道平面,0,29.71,
RPQNMLKMLHGGFDH67DA,坡道平面,0,31.74,
RPTNMLLMLHGGFDH08DA,坡道平面,0,,
RPQOMLSJLHGGFEH38DA,坡道平面,0,,
RPTNMLQLLHGGFDH48DA,坡道平面,1300000,29.39,
RPVQMLPJLHGGFDH68DA,坡道平面,1300000,29.39,
RPPNMLTLLHGGFDH38DA,坡道機械,0,,
RPPNMLTLLHGGFDH38DA,坡道機械,0,,
RPRNMLQKLHGGFDH18DA,坡道平面,1200000,27.32,
RPVOMLQKLHGGFDH68DA,坡道平面,1250000,27.32,
RPXNMLQKLHGGFDH78DA,坡道平面,1150000,27.32,
RPXOMLKKLHGGFCH18DA,坡道平面,0,,
RPURMLKMLHGGFBH28DA,坡道平面,0,,
RPPQMLLMLHGGFBH77DA,坡道機械,0,,
RPSPMLKMLHGGFBH87DA,坡道平面,0,,
RPTSMLMLLHGGFBH38DA,升降機械,400000,12.11,地下一樓
RPPRMLLKLHGGFBH67DA,坡道平面,1700000,40.81,
RPRRMLLKLHGGFBH87DA,坡道平面,1650000,40.81,
RPTRMLLKLHGGFBH08DA,坡道平面,1700000,40.81,
RPQRMLRKLHGGFBH38DA,坡道平面,1700000,36.76,
RPSRMLLKLHGGFBH97DA,坡道平面,1650000,40.81,
RPURMLTJLHGGFBH88DA,坡道平面,0,,
RPSOMLTJLHGGFBH38DA,坡道平面,0,,
RPURMLLKLHGGFBH18DA,坡道平面,1700000,40.81,
RPTRMLMJLHGGFBH08DA,坡道平面,1200000,35.04,
RPVRMLLKLHGGFBH28DA,坡道平面,1550000,40.81,
RPQPMLSJLHGGFBH18DA,坡道平面,0,26.47,
RPQPMLSJLHGGFBH18DA,坡道平面,0,26.47,
RPUOMLLMLHGGFAH97DA,坡道平面,0,27.63,
RPVOMLLMLHGGFAH08DA,升降機械,0,,
RPSRMLLMLHGGFAH08DA,坡道平面,1700000,41.41,
RPQRMLKMLHGGFAH77DA,坡道平面,0,37.63,
RPTSMLTLLHGGFAH98DA,坡道平面,1750000,25.57,
RPUSMLTLLHGGFAH09DA,坡道平面,1850000,24.48,
RPVSMLTLLHGGFAH56DA,坡道平面,1650000,24.48,
RPPNMLKMLHGGFAH27DA,坡道平面,1950000,25.57,
RPWSMLTLLHGGFAH66DA,坡道平面,1850000,25.57,
RPWSMLTLLHGGFAH66DA,坡道平面,1850000,25.57,
RPSNMLKMLHGGFAH57DA,坡道平面,1850000,25.57,
RPTNMLKMLHGGFAH67DA,坡道平面,1850000,25.57,
RPRNMLKMLHGGFAH47DA,坡道平面,1850000,25.57,
RPUNMLKMLHGGFAH77DA,坡道平面,1850000,25.57,
RPQNMLKMLHGGFAH37DA,坡道平面,1750000,25.57,
RPVNMLKMLHGGFAH87DA,坡道平面,1850000,25.57,
RPWNMLKMLHGGFAH97DA,坡道平面,1850000,25.57,
RPQOMLKMLHGGFAH47DA,坡道平面,1750000,25.57,
RPXNMLKMLHGGFAH08DA,坡道平面,1850000,25.57,
RPPOMLKMLHGGFAH37DA,坡道平面,1750000,25.57,
RPPQMLTLLHGGFAH38DA,坡道平面,1600000,28.22,
RPXQMLTLLHGGFAH56DA,坡道平面,1600000,28.22,
RPXQMLPLLHGGFAH78DA,坡道平面,0,,
RPSTMLNLLHGGFAH38DA,坡道平面,1700000,33.52,
RPOTMLNLLHGGFAH97DA,坡道平面,1700000,33.52,
RPXUMLSJLHGGFAH66DA,其他,0,,
RPTTMLNLLHGGFAH48DA,坡道平面,1900000,25.32,
RPPNMLTJLHGGFAH87DA,坡道平面,0,22.80,
RPVPMLTKLHGGFAH78DA,坡道平面,0,,地下一樓
RPRRMLTJKHGGFAH38DA,坡道平面,1900000,24.71,
RPOSMLOJLHGGFAH77DA,坡道平面,0,37.68,地下三樓
RPUOMLSKLHGGFAH48DA,坡道平面,0,31.88,地下二樓
RPQPMLKMJIPFFAH28DA,坡道平面,0,,地下二樓
RPXPMLMLKHGGFAH28DA,坡道平面,1300000,29.49,地下二樓
RPVSMLNLLHGGFAH58DA,坡道平面,1300000,29.49,地下二樓
RPOPMLOLLHGGFAH67DA,坡道平面,1750000,30.89,地下二樓
RPOQMLQLLHGGFAH97DA,坡道平面,0,24.98,
RPOQMLQLLHGGFAH97DA,坡道平面,0,24.98,
RPOQMLQLLHGGFAH97DA,坡道平面,0,24.98,
RPPQMLQLLHGGFAH08DA,坡道平面,0,24.98,地下四樓
RPPQMLQLLHGGFAH08DA,坡道平面,0,24.98,地下四樓
RPPQMLQLLHGGFAH08DA,坡道平面,0,24.98,地下四樓
RPPNMLLMLHGGFAH37DA,坡道平面,1500000,32.84,地下四樓
RPTSMLKMLHGGFAH18DA,坡道平面,0,38.93,地下二樓
RPSNMLLMLHGGFAH67DA,坡道平面,1600000,32.84,地下三樓
RPTNMLLMLHGGFAH77DA,坡道平面,1600000,32.84,地下二樓
RPUNMLLMLHGGFAH87DA,坡道平面,1700000,32.84,地下四樓
RPWNMLLMLHGGFAH08DA,坡道平面,1500000,32.84,地下三樓
RPTRMLLMLHGGFAH18DA,坡道平面,1900000,41.41,地下一樓
RPRUMLLMLHGGFAH28DA,坡道平面,0,,地下一樓
RPQOMLLMLHGGFAH57DA,坡道平面,1600000,32.84,地下三樓
RPSNMLQJLHGGFBH97DA,坡道平面,1200000,,
RPRNMLRJLHGGFBH97DA,坡道平面,1300000,27.06,
RPSOMLQKLHGGFBH18DA,坡道平面,1300000,43.63,
RPTSMLOLLHGGFBH58DA,坡道平面,0,32.24,
RPTSMLOLLHGGFBH58DA,坡道平面,0,32.24,
RPSRMLRKLHGGFBH58DA,坡道平面,1700000,36.76,
RPTPMLPLLHGGFBH38DA,坡道平面,0,,
RPTNMLLJMHGGFBH67DA,坡道平面,1250000,21.01,
RPOPMLLJMHGGFBH37DA,坡道平面,1700000,32.58,
RPOPMLLJMHGGFBH37DA,坡道平面,1700000,28.51,
RPOPMLLJMHGGFBH37DA,坡道平面,1700000,28.51,
RPRNMLNJLHGGFCH67DA,一樓平面,0,,
RPOQMLQJMHGGFBH97DA,坡道平面,0,,
RPQNMLLJMHGGFBH37DA,坡道平面,0,22.41,
RPOOMLSJLHGGFCH97DA,坡道平面,0,30.78,
RPSOMLPJLHGGFDH18DA,坡道平面,0,,
RPOOMLKKLHGGFDH37DA,坡道平面,0,,
RPPNMLKLLHGGFDH47DA,坡道平面,0,,
RPROMLLJMHGGFDH77DA,坡道平面,0,25.02,
RPSPMLLMLHGGFEH28DA,坡道平面,0,,地下一樓
RPQNMLTLLHGGFEH58DA,一樓平面,0,,
RPVPMLLMLHGGFEH58DA,升降平面,1200000,47.94,
RPSOMLLMLHGGFFH28DA,坡道平面,0,,
RPXNMLLJMHGGFFH48DA,坡道平面,0,,
RPOPMLLMLHGGFFH97DA,坡道平面,0,,
RPPNMLNLLHGGFGH08DA,坡道平面,0,41.84,
RPXNMLOJLHGGFGH78DA,坡道平面,0,,
RPWNMLOLLHGGFHH98DA,坡道平面,0,,
RPPQMLLJMHGGFAH57EA,坡道平面,0,,地下一樓
RPPPMLLJMHGGFAH47EA,坡道平面,0,,地下三樓
RPWQMLKMLHGGFBH48EA,一樓平面,0,,
RPTQMLKMLHGGFBH18EA,坡道平面,1200000,13.35,
RPVNMLQJMHGGFBH48EA,坡道平面,0,,
RPUNMLLJMHGGFGH38EA,坡道平面,0,,
RPROMLLJMHGGFGH18EA,坡道平面,0,37.69,
RPPOMLLJMHGGFDH67EA,坡道平面,0,,
RPXNMLRJMHGGFDH98EA,一樓平面,0,,
RPSNMLRJMHGGFCH38EA,坡道平面,0,,
RPSQMLQJMHGGFCH58EA,坡道平面,0,36.44,地下三樓
RPXPMLQJMHGGFCH98EA,坡道平面,0,,地下一樓
RPSPMLQJMHGGFCH48EA,坡道平面,0,,
RPSRMLQJMHGGFAH48EA,坡道平面,1500000,27.10,
RPRNMLQJMHGGFBH08EA,坡道平面,0,,
